PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,2,2,2,2,6,J'Marcus,Webb,0,79,0,0,11,78,0,4,6,1009,6,59,28,0,0,75,0,4,4,21,0,0,65,2,11,28,93,35,70,72,0,12,13,0,0,0,0,0,0,0,247,45,0,0,0,0,4,55,0,0,73,1,0,0,3,0,0,7,18,95,40,6,217,40,0,1,100,12,86,66,68,3,3,3,3,12,35,28,21,39,35,11,17,28,0,9,9,100,26,28,29,0,1,79,171,999,10,0,-19,0,0,477
45,7,7,7,7,6,Julius,Peppers,2600,87,0,750,11,84,0,4,14,20,14,75,36,0,0,90,2,4,4,71,0,0,83,2,2,1009,90,81,45,45,0,3,25,2,0,0,0,0,0,0,135,45,13,0,0,1,3,40,0,1,56,0,3,750,3,85,0,1,25,94,86,14,871,62,6,1,100,16,82,90,90,0,0,0,0,6,32,32,19,20,22,12,19,18,2,13,15,14,7,40,23,2600,0,79,127,348,10,2,-31,0,0,374
45,0,0,0,0,30,Robbie,Gould,98,75,0,0,85,54,0,6,29,16,29,55,35,0,0,65,1,4,4,15,0,0,52,0,63,1,90,23,16,20,0,0,18,0,2,0,0,0,0,0,164,45,22,2,2,1,0,0,0,0,5,1,1,0,1,0,0,15,29,71,27,11,3378,40,0,1,99,94,25,81,57,0,0,0,0,1,2,90,10,5,20,7,10,5,0,19,19,5,5,9,5,98,0,72,25,999,10,0,-31,0,0,150
45,4,4,4,4,10,Devin,Hester Sr.,98,95,0,0,18,89,1,4,31,28,31,91,34,2,1,70,1,4,4,74,0,0,88,2,25,1009,89,40,20,33,0,7,63,0,0,0,7,7,7,7,115,11,40,0,0,1,2,40,0,0,17,2,1,0,3,74,0,2,35,57,86,10,1820,64,0,0,99,22,52,78,80,0,0,0,0,4,16,70,10,0,20,8,10,5,1,3,3,5,5,7,8,98,0,71,30,999,86,0,-31,0,0,195
45,0,0,0,0,77,Jay,Cutler,12670,90,0,497,20,78,0,7,32,1,32,73,33,0,0,83,1,4,4,35,0,0,68,0,11,4,90,26,26,19,0,0,30,0,4,0,9,9,9,9,238,18,24,0,0,5,2,62,0,0,6,2,7,497,3,70,0,1,97,99,69,10,138,56,0,1,83,25,69,82,76,1,1,0,0,5,24,72,10,5,20,11,10,5,0,0,0,6,1,12,12,12670,0,75,60,826,10,7,5,0,0,450
45,4,4,4,4,10,Greg,Olsen,2250,98,0,1200,22,87,0,7,37,21,37,86,31,0,0,85,1,4,4,97,0,0,83,0,31,1,93,40,71,56,0,8,68,0,1,0,8,8,8,8,115,37,85,0,0,3,3,75,0,1,88,1,3,1200,3,55,0,1,20,62,88,9,37,73,0,1,85,26,67,99,98,0,0,0,0,5,24,39,0,0,10,11,0,0,0,4,4,8,3,45,24,2250,0,77,93,928,6,5,7,0,0,150
45,4,4,4,4,6,Corey,Graham,1630,94,0,400,20,89,0,5,39,3,39,86,31,0,0,85,1,4,4,73,0,0,86,2,31,1009,88,79,45,45,0,7,30,0,0,0,0,0,0,0,266,45,35,1,1,2,3,80,0,0,20,0,4,400,3,87,0,5,35,29,84,9,33,70,0,1,84,20,62,91,81,0,0,0,0,2,21,90,10,0,20,13,10,7,0,17,16,5,3,11,8,1630,0,72,36,999,68,2,-31,0,0,195
45,4,4,4,4,30,Matt,Forte,1200,99,0,300,25,90,2,0,45,18,45,86,31,2,0,85,1,4,4,69,0,0,88,2,13,1009,93,20,71,48,0,8,81,0,0,0,0,0,0,0,221,34,67,0,0,3,0,6,0,1,22,2,3,300,3,85,0,2,30,98,79,8,353,92,0,1,85,25,73,88,85,5,5,5,5,2,27,77,15,29,52,11,37,17,1,1,1,7,3,8,12,1200,0,74,58,999,20,0,-19,0,0,112
45,3,3,3,3,6,Zack,Bowman,0,89,0,0,25,92,0,0,46,37,46,88,32,0,0,87,0,4,4,75,0,0,87,2,7,12,79,47,45,45,0,7,35,4,0,0,0,0,0,0,142,45,0,0,0,0,3,52,0,0,30,0,0,0,3,87,0,5,38,17,89,8,183,66,0,1,100,25,56,81,73,3,3,3,3,4,18,87,0,12,52,10,14,8,0,16,16,25,4,8,5,0,0,73,36,999,65,0,-19,0,0,489
45,2,2,2,2,10,Kellen,Davis,97,80,0,0,30,88,0,0,49,36,49,81,31,0,1,84,1,4,4,69,0,0,70,2,23,18,90,48,61,53,0,0,50,0,4,0,0,0,0,0,118,45,0,0,0,1,2,46,0,0,47,2,1,0,3,90,0,5,35,28,81,8,187,71,0,1,100,30,77,77,71,0,0,0,0,4,29,52,27,21,45,13,23,27,0,4,4,77,5,23,26,97,0,79,105,999,10,1,-19,0,0,459
