PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,3,3,4,4,80,Trevor,Lawrence,3679,88,0,2412,23,88,0,9,1,17,1,84,22,0,0,91,0,4,4,50,0,0,86,0,1,1015,92,27,16,21,0,0,74,0,1,0,0,0,0,0,38,12,100,0,0,4,2,65,0,0,16,2,4,2412,1,75,0,1,91,74,81,0,4010,67,0,1,100,27,69,77,72,0,0,0,0,3,24,65,44,26,6,13,19,9,0,0,0,65,5,10,9,3679,0,78,53,1023,13,0,-19,0,0,474
45,0,0,0,0,78,Zach,Wilson,3515,81,0,2292,45,88,0,7,2,18,2,83,22,0,0,87,0,4,4,55,0,0,84,0,2,1015,84,23,15,18,0,0,63,0,4,0,0,0,0,0,26,12,100,0,0,4,3,65,0,0,2,0,4,2292,1,75,0,1,94,72,74,0,4030,66,0,1,100,57,61,74,65,0,0,0,0,0,20,77,18,16,9,9,0,0,0,0,0,8,3,5,6,3515,0,74,54,1023,10,0,-19,0,0,362
45,0,0,0,0,79,Trey,Lance,3410,84,0,2216,18,90,0,7,3,15,3,87,21,0,0,89,0,0,0,51,0,0,87,2,3,1015,89,52,18,27,0,0,77,0,0,0,8,8,8,8,315,12,71,0,0,4,3,60,0,0,5,1,4,2216,0,0,0,1,91,72,82,0,3951,68,0,1,100,29,71,72,61,1,1,0,0,0,26,60,6,9,18,10,3,11,1,0,0,10,4,25,12,3410,0,76,64,1023,43,0,-19,0,0,376
45,0,0,0,0,81,Justin,Fields,1887,83,0,1108,18,90,0,7,4,1,4,90,22,0,0,94,0,0,0,32,0,0,90,2,11,1015,91,24,16,30,0,0,78,0,0,0,0,0,0,0,156,12,84,0,0,4,3,60,0,0,1,1,4,1108,0,90,0,1,92,75,81,0,37,64,8,1,100,19,65,76,65,5,5,0,0,3,22,65,15,25,20,11,5,30,0,0,0,10,10,29,13,1887,0,75,68,1023,35,0,-30,0,0,480
45,0,0,0,0,84,Mac,Jones,1558,85,0,868,29,84,0,7,5,22,5,81,23,0,0,91,0,0,0,28,0,0,81,0,15,1015,90,22,14,32,0,0,26,0,4,0,9,9,9,9,3,12,0,0,0,4,3,47,0,0,10,2,4,868,0,77,0,1,85,77,75,0,4145,67,0,1,100,41,60,78,80,1,1,7,7,5,20,71,9,11,18,13,6,16,0,0,0,55,4,6,10,1558,0,75,57,1023,10,0,-19,0,0,68
45,0,0,3,3,77,Kyle,Trask,553,79,0,136,38,84,0,7,7,6,7,72,23,0,0,87,0,4,4,33,0,0,79,0,32,1015,87,26,14,17,0,11,44,0,1,0,0,0,0,0,62,45,100,0,0,4,4,65,0,0,2,2,4,136,1,75,0,2,84,63,77,0,1404,62,0,1,100,48,55,67,66,0,0,0,0,1,18,57,33,15,26,13,4,3,0,0,0,35,3,29,11,553,0,77,76,1023,14,0,-19,0,0,81
45,0,0,0,0,73,Kellen,Mond,522,87,0,116,16,87,0,4,8,31,8,85,22,0,0,93,0,4,4,36,0,0,86,2,2,1015,93,28,18,22,0,8,68,8,0,0,0,0,0,0,215,45,0,0,0,4,3,5,0,0,11,1,4,116,3,85,0,3,88,64,78,0,4328,59,8,1,100,20,66,67,61,0,0,0,0,3,23,77,6,11,52,12,9,21,0,0,0,36,1,5,7,522,0,75,52,1023,23,0,-19,0,0,416
45,0,0,0,0,79,Davis,Mills,522,77,0,116,41,82,0,4,9,32,9,78,23,0,0,88,0,0,0,22,0,0,78,0,3,1015,88,19,14,16,0,0,38,0,1,0,0,0,0,0,200,45,0,2,3,4,0,54,0,0,10,2,4,116,0,73,0,3,87,68,77,0,4314,61,0,1,100,53,55,72,69,2,0,2,0,1,18,52,8,23,19,13,7,9,0,0,0,54,9,16,14,522,0,76,65,1023,10,0,-19,0,0,145
45,3,3,0,0,69,Sam,Ehlinger,361,86,0,12,14,83,0,7,10,10,10,79,23,0,0,90,0,4,4,69,0,0,82,0,34,1015,86,27,18,25,0,0,72,0,1,0,0,0,0,0,214,45,100,0,0,4,3,65,0,0,4,2,4,12,1,75,0,6,83,58,85,0,3659,65,0,1,100,18,67,60,59,0,0,0,0,2,24,64,23,4,30,13,14,20,0,0,0,64,6,15,11,361,0,73,62,1023,10,0,-19,0,0,130
45,0,0,0,0,71,Feleipe,Franks,242,78,0,0,53,86,0,7,12,33,12,84,24,0,1,88,0,4,4,54,0,0,78,0,63,1009,89,26,17,24,0,8,59,0,0,0,8,8,8,8,10,45,0,0,0,3,3,47,0,0,15,1,3,0,3,80,0,15,90,59,79,0,0,60,0,1,100,61,64,64,55,0,0,0,0,4,22,75,10,5,41,13,10,5,0,0,0,6,6,22,11,242,0,78,74,1023,40,0,-19,0,0,359
45,0,0,3,3,70,Ian,Book,415,80,0,68,52,83,0,4,13,33,13,83,23,0,0,83,0,4,4,30,0,0,83,0,28,1015,91,23,17,24,0,0,57,0,2,0,0,0,0,0,152,45,100,0,0,4,2,65,0,0,16,1,4,68,1,75,0,4,82,59,79,0,4267,63,0,1,100,58,58,60,57,0,0,0,0,2,19,70,43,6,30,12,12,18,0,0,0,42,2,8,11,415,0,72,46,1023,31,0,-19,0,0,252
45,0,0,0,0,74,Shane,Buechele,0,76,0,0,21,83,0,5,15,33,15,75,23,0,0,86,0,4,4,32,0,0,72,0,63,1009,89,19,20,24,0,11,37,0,2,0,0,0,0,0,192,45,100,0,0,1,4,65,0,0,6,2,1,0,1,75,0,15,82,52,74,0,0,63,0,1,100,24,51,57,49,0,0,0,0,3,24,63,34,26,28,11,11,28,0,0,0,33,3,5,10,0,0,72,50,1023,10,0,-19,0,0,267
45,5,5,5,5,40,Travis,Etienne,1289,91,0,672,17,93,0,4,17,17,17,92,22,0,0,90,0,4,4,69,0,0,87,2,25,1015,91,34,49,34,0,7,79,0,0,0,0,0,0,0,38,12,100,0,0,4,1,65,0,0,1,1,4,672,1,75,0,1,49,76,84,0,4012,86,0,1,100,19,70,82,70,0,0,0,0,5,25,88,34,47,45,10,28,42,0,1,1,60,4,6,12,1289,0,70,55,1023,79,0,-19,0,0,384
45,7,7,7,7,10,Javonte,Williams,886,83,0,380,14,90,0,7,18,4,18,88,21,0,0,87,0,0,0,68,0,0,85,2,3,1015,89,35,61,52,0,8,94,0,0,0,0,0,0,0,135,45,70,0,0,4,3,16,0,0,33,0,4,380,0,70,0,2,32,81,87,0,992,92,0,1,100,18,80,90,78,0,0,0,0,3,30,85,16,30,40,12,35,25,0,1,1,1,5,10,11,886,0,70,60,1023,42,0,-19,0,0,400
45,7,7,7,7,36,Najee,Harris,1304,95,0,684,15,90,0,10,19,29,19,88,23,0,0,93,0,4,4,73,0,0,85,2,24,1015,92,44,55,50,0,7,88,0,0,0,0,0,0,0,3,12,100,0,0,4,1,65,0,0,22,0,4,684,1,75,0,1,43,83,94,0,4282,94,0,1,100,18,81,89,82,6,6,6,6,2,30,53,2,2,11,11,8,19,1,1,1,22,1,20,13,1304,0,73,72,1023,53,0,-19,0,0,374
45,5,5,5,5,31,Michael,Carter,428,87,0,80,16,86,1,5,20,18,20,88,22,0,0,84,0,4,4,68,0,0,89,2,2,1015,87,27,52,33,0,8,78,0,0,0,0,0,0,0,135,45,0,0,0,4,3,5,0,0,32,1,4,80,2,0,0,4,39,75,82,0,4033,91,0,1,100,20,66,82,73,0,0,0,0,3,23,63,38,39,47,12,48,36,0,1,1,19,4,5,9,428,0,68,41,1023,80,0,-19,0,0,386
