doc_id,stratum,path,title_as_filed,year_as_filed,has_text,format,klass,per_player,read_method,note,bytes,words,ev_year_min,ev_year_max,ev_year_modal,ev_football,ev_baseball,ev_hockey,ev_basketball,ev_college,ev_bio_labels,ev_bio_prose,ev_htwt,ev_roster_rows,ev_name_pos,ev_stat_heads,ev_stat_rows,dup_relation,dup_with,dup_containment,dup_n_partners
redskins-1934-media-guide-boston,nfl-books,nfl-books/text_all/redskins-1934-media-guide-boston.txt,Boston Redskins 1934 Media Guide,1934,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,"complete-stratum read: every pre-1950 held text carries per-man biography prose | MISSED by the automated window, found by reading: 'SURNAME, First---prose' entries under 'Player Histories'",17929,2884,1911,1935,1933,19,0,0,0,2,0,1,9,0,0,0,0,,,,0
detroit-lions-1935-media-guide-cover,nfl-books,,Detroit Lions 1935 Media Guide Cover,1935,0,no-text-layer,"club media guide, page 1 (mis-catalogued as a cover)",biography,read-2026-09-06-yearbooks,"2 men, one truncated at the page foot; year proved from the printed 1935 schedule, not the title | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
redskins-1935-media-guide-boston,nfl-books,nfl-books/text_all/redskins-1935-media-guide-boston.txt,Boston Redskins 1935 Media Guide,1935,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,21379,3528,1907,1955,1932,22,0,0,0,8,0,16,1,0,2,0,0,,,,0
packers-1936-media-guide-green-bay-c,nfl-books,nfl-books/text_all/packers-1936-media-guide-green-bay-c.txt,Green Bay Packers 1936 Media Guide,1936,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,58137,9748,1896,1996,1935,57,0,0,0,13,1,37,1,0,0,0,0,,,,0
packers-1937,nfl-books,,Green Bay Packers 1937 Media Guide Cover,1937,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
bears-1939-media-guide-chicago-c,nfl-books,nfl-books/text_all/bears-1939-media-guide-chicago-c.txt,Chicago Bears 1939 Media Guide,1939,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,41601,6670,1908,1939,1935,31,2,0,0,9,0,37,12,0,10,0,0,,,,0
cardinals-1939,nfl-books,,Chicago Cardinals 1939 Media Guide Cover,1939,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1939,nfl-books,,Green Bay Packers 1939 Media Guide Cover,1939,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
bears-1940,nfl-books,,Chicago Bears 1940 Media Guide Cover,1940,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
cardinals-1940,nfl-books,nfl-books/text_all/cardinals-1940.txt,Chicago Cardinals 1940 Media Guide,1940,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,28022,4651,1912,1956,1917,37,1,0,0,5,3,7,36,0,0,0,1,,,,0
packers-1940,nfl-books,nfl-books/text_all/packers-1940.txt,Green Bay Packers 1940 Media Guide,1940,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,148077,25272,1904,1994,1939,101,0,0,0,35,0,57,2,0,3,0,2,,,,0
bears-1941,nfl-books,,Chicago Bears 1941 Media Guide Cover,1941,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
new-york-giants-1941-media-guide-cover,nfl-books,,New York Giants 1941 Media Guide Cover,1941,0,no-text-layer,cover scan,none,read-2026-09-06-yearbooks,"all 302 textless items scanned by metadata and all 319 images OCR'd; the 10 over 150 words are schedules and broadcast listings, nothing per-man | textless scan; in index, no OCR layer",,,,,,,,,,,,,,,,,,,,,0
packers-1941,nfl-books,nfl-books/text_all/packers-1941.txt,Green Bay Packers 1941 Media Guide,1941,1,ocr-text,club media guide,biography,read-2026-09-07-yearbooks,complete-stratum read: every pre-1950 held text carries per-man biography prose,146117,24753,1877,1977,1940,83,0,1,0,31,0,36,0,0,1,0,2,,,,0
