league-year    tm  plyr         # Birth Dat    Height    Weight   College  Hometown        GP        GS
APFA-1920      14   367     60.3     88.8     85.3     92.6    100.0     85.3    100.0    100.0 
APFA-1921      21   466     82.8     95.1     86.5     92.3     99.8     94.0    100.0    100.0 
AAFC-1946       8   303     99.0     99.7    100.0    100.0    100.0     99.0    100.0    100.0 
AAFC-1947       8   314     99.7     99.4    100.0    100.0    100.0     98.7    100.0    100.0 
AAFC-1948       8   328     97.6     99.7    100.0    100.0    100.0     99.4    100.0    100.0 
AAFC-1949       7   246     99.6    100.0    100.0    100.0    100.0     99.2    100.0    100.0 
AFL-1960        8   374     99.7     99.2    100.0    100.0    100.0     96.5    100.0    100.0 
AFL-1961        8   343     99.7     99.4    100.0    100.0    100.0     98.0    100.0    100.0 
AFL-1962        8   333     99.7    100.0    100.0    100.0    100.0     98.8    100.0    100.0 
AFL-1963        8   325     99.7     99.7    100.0    100.0    100.0     98.5    100.0    100.0 
AFL-1964        8   339     99.7    100.0    100.0    100.0    100.0     98.8    100.0    100.0 
AFL-1965        8   356    100.0    100.0    100.0    100.0    100.0     98.9    100.0    100.0 
AFL-1966        9   428    100.0    100.0    100.0    100.0    100.0     99.5    100.0    100.0 
AFL-1967        9   441    100.0    100.0    100.0    100.0    100.0     99.5    100.0    100.0 
AFL-1968       10   503    100.0    100.0    100.0    100.0    100.0     99.2    100.0    100.0 
AFL-1969       10   473     99.8    100.0    100.0    100.0    100.0    100.0    100.0    100.0 
WFL-1974       14   901     89.8     99.3    100.0    100.0    100.0     93.1     21.6      7.8 
WFL-1975       11   629     91.7     99.0    100.0    100.0     99.8     93.8     45.8     25.2 
USFL-1983      12   840     86.5     99.3     99.9     99.9    100.0     93.5     86.7     77.9 
USFL-1984      18  1229     88.9     99.1     99.9     99.9    100.0     94.0     79.2     63.1 
USFL-1985      14   882     92.3     99.0     99.8     99.7    100.0     96.4     42.0     19.7 
USFL2-2022      8   449     99.1     99.1    100.0    100.0    100.0     80.2     91.5     47.7 
USFL2-2023      8   558    100.0     96.8    100.0    100.0    100.0     91.0     83.5     83.5 
XFL-2001        8   491     85.1     99.6    100.0    100.0    100.0     93.5     92.1     92.1 
XFL-2020        8   523    100.0     97.1    100.0    100.0    100.0     75.7     83.9     83.9 
XFL-2023        8   568     99.8     93.8    100.0    100.0    100.0     95.8     87.5     87.1 
WLAF-1991      10   487     97.1    100.0     98.6     98.6    100.0     93.0     96.3     96.3 
WLAF-1992      10   467     84.2     99.8     99.6     99.6    100.0     90.6     16.1     15.1 
UFL-2009        4   256     90.2    100.0    100.0    100.0    100.0     88.3     90.2     90.2 
UFL-2010        5   355     89.3    100.0    100.0    100.0    100.0     90.4     89.3     89.0 
UFL-2011        4   275     81.1    100.0    100.0    100.0    100.0     92.0     81.1     62.5 
UFL-2012        4   239     88.3    100.0    100.0    100.0    100.0     90.4     64.9      4.9 
UFL2-2024       8   503     99.8     99.8    100.0    100.0    100.0     93.8     92.0     92.0 
AAF-2019        8   485     99.8     95.1    100.0    100.0    100.0     75.9     96.3     96.3 
