source,kind,matched,accuracy,pski_middle_share,screen_verdict,rule
1976madden/1976_raidermike.ros,ros,429,0.569,0.292,REJECT,dark>=2
1979madden/1979-SB-XIV.ros,ros,701,0.730,0.429,REJECT,dark>=2
1979madden/NFL79.ros,ros,701,0.730,0.425,REJECT,dark>=2
1983madden/1983-SB-XVIII.ros,ros,990,0.903,0.237,pass,dark>=1
1986madden/1986_Roster_Mod_v1.0.ros,ros,1063,0.672,0.630,REJECT,dark>=1
1990madden/1990-SB-XXV.ros,ros,1654,0.703,0.307,REJECT,dark>=1
ros/2000.ros,ros,1380,0.904,0.105,pass,dark>=1
ros/2003.ros,ros,1480,0.672,0.288,REJECT,dark>=1
ros/2004.ros,ros,1583,0.694,0.315,REJECT,dark>=1
ros/2005.ros,ros,1545,0.973,0.071,pass,dark>=1
ros/2006.ros,ros,1561,0.980,0.062,pass,dark>=1
ros/2007.ros,ros,1629,0.984,0.055,pass,dark>=1
ros/2008.ros,ros,1548,0.985,0.064,pass,dark>=1
ros/2011 - NickyJ.ros,ros,2205,0.714,0.834,REJECT,dark>=1
ros/2012 - BKGiantsFan.ros,ros,2183,0.740,0.391,REJECT,dark>=1
ros/2013.ros,ros,2446,0.726,0.793,REJECT,dark>=1
ros/2014-SB-XLIX.ros,ros,2451,0.707,0.916,REJECT,dark>=1
ros/2015-SB-50 (2).ros,ros,3350,0.772,0.693,REJECT,dark>=1
ros/2016JINXROSTER_V8.1.ros,ros,1406,0.984,0.043,pass,dark>=1
ros/2017JINXROSTER_V21.0.ros,ros,1389,0.970,0.109,pass,dark>=1
ros/2020ROJOROSTER V22.ros,ros,1460,0.922,0.253,pass,dark>=1
ros/2021JINXROSTER V23.ros,ros,1591,0.921,0.254,pass,dark>=1
ros/2023JINXROSTER V1.0.ros,ros,1639,0.921,0.147,pass,dark>=1
ros/2025JINXROSTER V21.ros,ros,1070,0.904,0.081,pass,dark>=1
1958-1980SAVEGAME.DAT,2k5,478,0.975,,-,
1979-1980SAVEGAME.DAT,2k5,854,0.953,,-,
1980-2007SAVEGAME.DAT,2k5,1264,0.964,,-,
1981-1982SAVEGAME.DAT,2k5,804,0.945,,-,
1983-1984SAVEGAME.DAT,2k5,978,0.992,,-,
1984-1985SAVEGAME.DAT,2k5,999,0.998,,-,
1985-1986SAVEGAME.DAT,2k5,1010,0.999,,-,
1986-1987AVEGAME.DAT,2k5,1047,0.954,,-,
1988-1989SAVEGAME.DAT,2k5,970,0.974,,-,
1989-1990SAVEGAME.DAT,2k5,1101,0.957,,-,
1990-1991SAVEGAME.DAT,2k5,1114,0.969,,-,
1991-1992SAVEGAME.DAT,2k5,1122,0.958,,-,
1992-1993SAVEGAME.DAT,2k5,1070,0.981,,-,
1993-1994SAVEGAME.DAT,2k5,958,0.980,,-,
1994-1995SAVEGAME.DAT,2k5,967,0.963,,-,
1996-1997SAVEGAME.DAT,2k5,944,0.971,,-,
1997-1998SAVEGAME.DAT,2k5,974,0.938,,-,
1999-2000SAVEGAME.DAT,2k5,1309,0.989,,-,
2004-2005SAVEGAME.DAT,2k5,1496,1.000,,-,
2005-2006SAVEGAME.DAT,2k5,1517,0.999,,-,
2006-2007SAVEGAME.DAT,2k5,1554,0.995,,-,
2007-2008SAVEGAME.DAT,2k5,1584,0.978,,-,
2008-2009SAVEGAME.DAT,2k5,1492,0.996,,-,
2009-2010SAVEGAME.DAT,2k5,1423,0.992,,-,
2009-2010bSAVEGAME.DAT,2k5,1515,0.983,,-,
2010-2011SAVEGAME.DAT,2k5,1410,0.985,,-,
2011-2012SAVEGAME.DAT,2k5,1277,0.971,,-,
2012-2013SAVEGAME.DAT,2k5,1194,1.000,,-,
2014-2015SAVEGAME.DAT,2k5,1122,0.999,,-,
2015-2016SAVEGAME.DAT,2k5,1094,0.993,,-,
2016-2017SAVEGAME.DAT,2k5,1151,0.992,,-,
2017-2018SAVEGAME.DAT,2k5,1135,0.962,,-,
2018-2019SAVEGAME.DAT,2k5,1095,0.990,,-,
2020SAVEGAME.DAT,2k5,1240,0.967,,-,
2021SAVEGAME.DAT,2k5,1303,0.977,,-,
2022HEXSAVEGAME.DAT,2k5,1351,1.000,,-,
2022VANILLASAVEGAME.DAT,2k5,1351,1.000,,-,
2023SAVEGAME.DAT,2k5,1284,0.993,,-,
2024SAVEGAME.DAT,2k5,1036,0.989,,-,
2025SAVEGAME.DAT,2k5,940,0.990,,-,
2026SAVEGAME.DAT,2k5,824,0.915,,-,
GOATSSAVEGAME.DAT,2k5,1205,0.985,,-,
