file,iden,role,teamID,name_before,name_after,provenance,how
1979,1B940889-ED2B-14C2-7967-BF3874C46DE6,Head Coach,ATL,Leeman Bennett,Leeman Bennett,sourced,exact (wip/staff_1979.csv)
1979,0114588B-4E61-E430-4C2E-E5836C1CC840,Head Coach,BAL,Ted Marchibroda,Ted Marchibroda,sourced,exact (wip/staff_1979.csv)
1979,811E4A5C-69F1-B71C-B36A-C98C4E190F91,Head Coach,BUF,Chuck Knox,Chuck Knox,sourced,exact (wip/staff_1979.csv)
1979,5460FBFA-BEC6-AD81-37B6-ACFF1E635636,Head Coach,CHI,Neill Armstrong,Neill Armstrong,sourced,exact (wip/staff_1979.csv)
1979,D2BD1466-B307-B7CE-EF45-753F6CCD136C,Head Coach,CIN,Homer Rice,Homer Rice,sourced,exact (wip/staff_1979.csv)
1979,428AC5C7-B1C9-F2F7-12E2-5EB26AA5C43A,Head Coach,CLE,Sam Rutigliano,Sam Rutigliano,sourced,exact (wip/staff_1979.csv)
1979,6E2D08DA-7AE6-E0B4-5FC6-296C6B426827,Head Coach,DAL,Tom Landry,Tom Landry,sourced,exact (wip/staff_1979.csv)
1979,6AA77D0F-29F6-C641-E409-B9EB8DB3B282,Head Coach,DEN,Red Miller,Red Miller,sourced,exact (wip/staff_1979.csv)
1979,24CE4C70-66D0-382F-6BB4-C433E2F7EDF4,Head Coach,DET,Monte Clark,Monte Clark,sourced,exact (wip/staff_1979.csv)
1979,A622CEFB-A4C4-E8E9-D18E-9953679E7C88,Head Coach,GB,Bart Starr,Bart Starr,sourced,exact (wip/staff_1979.csv)
1979,9EE9324B-D8AF-8207-429D-47C29F85AE49,Head Coach,HOU,Bum Phillips,Bum Phillips,sourced,exact (wip/staff_1979.csv)
1979,54AE8F7F-DFB0-C229-A6A0-CBA512F5BFD3,Head Coach,KC,Marv Levy,Marv Levy,sourced,exact (wip/staff_1979.csv)
1979,5E82D0DD-8409-E63C-24BA-7E65502B0D6E,Head Coach,LAR,Ray Malavasi,Ray Malavasi,sourced,exact (wip/staff_1979.csv)
