player,key,old,new,band
Al Harris,al harris|CB,Head2c,Head5c,dark (4-5)
Aldon Smith,aldon smith|OLB,Head2a,Head5a,dark (4-5)
Alge Crumpler,alge crumpler|TE,Head3d,Head5d,dark (4-5)
Andre Gurode,andre gurode|C,Head3d,Head4d,dark (4-5)
Andre Smith,andre smith|OT,Head2d,Head5d,dark (4-5)
Antoine Winfield,antoine winfield|CB,Head3c,Head4c,dark (4-5)
Antonio Cromartie,antonio cromartie|CB,Head3a,Head5a,dark (4-5)
Aqib Talib,aqib talib|CB,Head2c,Head4c,dark (4-5)
Arian Foster,arian foster|RB,Head3a,Head4a,dark (4-5)
Aubrayo Franklin,aubrayo franklin|DT,Head3d,Head4d,dark (4-5)
Ben Grubbs,ben grubbs|OG,Head3b,Head5b,dark (4-5)
Ben Roethlisberger,ben roethlisberger|QB,Head4c,Head3c,light (1-3)
Bob Sanders,bob sanders|S,Head3a,Head5a,dark (4-5)
Brandon Flowers,brandon flowers|CB,Head3a,Head4a,dark (4-5)
Brandon Moore,brandon moore|OG,Head3d,Head5d,dark (4-5)
Brian Westbrook,brian westbrook|RB,Head3c,Head5c,dark (4-5)
Bryant McKinnie,bryant mckinnie|OT,Head3d,Head5d,dark (4-5)
Budda Baker,budda baker|S,Head1a,Head5a,dark (4-5)
Calvin Johnson,calvin johnson|WR,Head3a,Head4a,dark (4-5)
Cameron Wake,cameron wake|DE,Head2c,Head5c,dark (4-5)
Carl Nicks,carl nicks|OG,Head3b,Head5b,dark (4-5)
Casey Hampton,casey hampton|DT,Head3d,Head4d,dark (4-5)
Chad Johnson,chad johnson|WR,Head3c,Head5c,dark (4-5)
Chad Ochocinco,chad ochocinco|WR,Head3c,Head5c,dark (4-5)
Champ Bailey,champ bailey|CB,Head2c,Head4c,dark (4-5)
Charles Woodson,charles woodson|CB,Head3c,Head4c,dark (4-5)
Chris Johnson,chris johnson|RB,Head2c,Head5c,dark (4-5)
Chris Jones,chris jones|DT,Head3a,Head5a,dark (4-5)
D'Brickashaw Ferguson,dbrickashaw ferguson|OT,Head3d,Head4d,dark (4-5)
