name,TGID,pos,skin,fam,variant,hairfam,appearance
Jay Hilgenberg,1,C,0,3,a,3,"['Head3a', 'Eyes1e', 'Hair3g', 'Beard3g', 'Eyebrows3b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Larry Rubens,1,C,1,3,b,1,"['Head3b', 'Eyes1a', 'Hair1e', 'Beard1g', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Reggie Phillips,1,CB,1,3,a,1,"['Head3a', 'Eyes1c', 'Hair1h', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Shaun Gayle,1,CB,1,3,a,1,"['Head3a', 'Eyes1b', 'Hair1l', 'Beard1a', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Leslie Frazier,1,CB,2,3,a,1,"['Head3a', 'Eyes1e', 'Hair1a', 'Beard1a', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Blair Bush,28,C,0,3,b,1,"['Head3b', 'Eyes1a', 'Hair1s', 'Beard1g', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Mike Richardson,1,CB,1,3,a,1,"['Head3a', 'Eyes1e', 'Hair1f', 'Beard1e', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
William Perry,1,DT,1,3,b,3,"['Head3b', 'Eyes1b', 'Hair3a', 'Beard3c', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Brian Watson,1,DT,1,4,b,1,"['Head4b', 'Eyes1e', 'Hair1g', 'Beard1f1', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Steve McMichael,1,DT,0,3,b,3,"['Head3b', 'Eyes1d', 'Hair3e', 'Beard3a', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Calvin Thomas,1,RB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1e', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Barton Hundley,1,S,1,4,a,1,"['Head4a', 'Eyes1b', 'Hair1q', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Gary Fencik,1,S,1,4,c,1,"['Head4c', 'Eyes1d', 'Hair1c', 'Beard1c', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Neal Anderson,1,RB,1,4,a,1,"['Head4a', 'Eyes1e', 'Hair1g', 'Beard1a', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Thomas Sanders,1,RB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1f', 'Beard1f1', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes2']"
Kevin Butler,1,K,0,3,a,1,"['Head3a', 'Eyes1d', 'Hair1a', 'Beard1b', 'Eyebrows1a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Dan Hampton,1,DE,0,3,b,3,"['Head3b', 'Eyes1e', 'Hair3e', 'Beard3a', 'Eyebrows3a', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Stefan Humphries,1,OG,0,3,b,1,"['Head3b', 'Eyes1e', 'Hair1n', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Brian Cabral,1,OLB,1,4,c,1,"['Head4c', 'Eyes1d', 'Hair1e', 'Beard1e', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Al Harris,1,OLB,0,2,a,3,"['Head2a', 'Eyes1e', 'Hair3i', 'Beard3e', 'Eyebrows3b', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
Andy Frederick,1,OT,0,1,d,2,"['Head1d', 'Eyes1e', 'Hair2i', 'Beard2g', 'Eyebrows2a', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes2']"
Paul Blair,1,OT,0,3,b,1,"['Head3b', 'Eyes1a', 'Hair1h', 'Beard1b', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Karl Swanke,20,C,0,3,a,5,"['Head3a', 'Eyes1a', 'Hair5d', 'Beard5e', 'Eyebrows5b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes2']"
Mike Singletary,1,MLB,1,4,a,1,"['Head4a', 'Eyes1a', 'Hair1c', 'Beard1d', 'Eyebrows1b', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Dan Raines,1,MLB,1,4,c,1,"['Head4c', 'Eyes1d', 'Hair1i', 'Beard1e', 'Eyebrows1a', 'Nose4a', 'Mouth4a', 'Glasses1e', 'Clothes1']"
Maury Buford,1,P,0,1,a,3,"['Head1a', 'Eyes1b', 'Hair3j', 'Beard3e', 'Eyebrows3b', 'Nose1a', 'Mouth1a', 'Glasses1e', 'Clothes1']"
Jim McMahon,1,QB,0,3,a,1,"['Head3a', 'Eyes1a', 'Hair1j', 'Beard1d', 'Eyebrows1b', 'Nose3a', 'Mouth3a', 'Glasses1e', 'Clothes1']"
Steve Fuller,1,QB,0,2,a,3,"['Head2a', 'Eyes1d', 'Hair3a', 'Beard3e', 'Eyebrows3a', 'Nose2a', 'Mouth2a', 'Glasses1e', 'Clothes1']"
