name,TGID,pos,POVR,PAGE,PYRP,length,salary,guarantee
Jay Hilgenberg,1,C,90,27,5,5,3903000.0,0.0
Larry Rubens,1,C,70,27,2,1,781000.0,174000.0
Reggie Phillips,1,CB,77,25,1,1,2478000.0,0.0
Shaun Gayle,1,CB,84,24,2,4,5326000.0,1221000.0
Leslie Frazier,1,CB,76,27,5,3,1002000.0,141000.0
Blair Bush,28,C,87,29,8,1,7332000.0,1636000.0
Mike Richardson,1,CB,88,25,3,2,4768000.0,0.0
William Perry,1,DT,82,23,1,2,9261000.0,2749000.0
Brian Watson,1,DT,69,27,2,1,167000.0,0.0
Steve McMichael,1,DT,93,28,6,5,3095000.0,2619000.0
Calvin Thomas,1,RB,77,27,4,3,3588000.0,3009000.0
Barton Hundley,1,S,69,23,0,2,328000.0,102000.0
Gary Fencik,1,S,86,32,10,1,10744000.0,1508000.0
Neal Anderson,1,RB,80,22,0,4,923000.0,101000.0
Thomas Sanders,1,RB,74,24,1,3,781000.0,0.0
Kevin Butler,1,K,93,24,1,3,3144000.0,239000.0
Dan Hampton,1,DE,92,29,7,5,17186000.0,1876000.0
Stefan Humphries,1,OG,70,24,2,1,1022000.0,258000.0
Brian Cabral,1,OLB,75,30,7,1,905000.0,123000.0
Al Harris,1,OLB,81,29,7,3,2592000.0,4089000.0
Andy Frederick,1,OT,65,32,9,1,1022000.0,258000.0
Paul Blair,1,OT,70,23,0,3,216000.0,0.0
Karl Swanke,20,C,83,29,6,2,3403000.0,1848000.0
Mike Singletary,1,MLB,94,27,5,2,1337000.0,0.0
Dan Raines,1,MLB,73,30,3,1,1071000.0,170000.0
Maury Buford,1,P,89,26,4,1,5462000.0,582000.0
Jim McMahon,1,QB,82,27,4,1,3467000.0,0.0
Steve Fuller,1,QB,74,29,6,1,2266000.0,0.0
Mike Tomczak,1,QB,75,23,1,3,913000.0,28000.0
Mike Hartenstine,1,DE,77,33,11,1,732000.0,488000.0
Henry Waechter,1,DE,74,27,4,1,957000.0,0.0
Kurt Becker,1,OG,75,28,4,4,1078000.0,0.0
Jim Morrissey,1,OLB,76,23,1,2,1312000.0,0.0
Wilbur Marshall,1,OLB,89,24,2,2,4088000.0,3191000.0
Keith Van Horne,1,OT,88,28,5,3,9457000.0,5287000.0
Dave Duerson,1,S,90,25,3,1,1472000.0,0.0
Todd Bell,1,S,77,27,5,1,1085000.0,0.0
Tim Wrightman,1,TE,75,26,1,3,1707000.0,1030000.0
Pat Dunsmore,1,TE,67,26,3,1,781000.0,0.0
Clay Pickering,1,WR,64,25,2,2,296000.0,0.0
Lew Barnes,1,WR,63,23,0,2,205000.0,0.0
Ken Margerum,1,WR,71,27,5,2,621000.0,269000.0
Keith Ortego,1,WR,73,23,1,3,968000.0,0.0
Dennis Gentry,1,WR,75,27,4,1,4161000.0,358000.0
Mark Bortz,1,OG,83,25,3,5,1228000.0,579000.0
Walter Payton,1,RB,92,32,11,4,2192000.0,1082000.0
Emery Moorehead,1,TE,84,32,9,4,7044000.0,3080000.0
Jimbo Covert,1,OT,90,26,3,1,3230000.0,0.0
Tom Thayer,1,OG,82,25,1,3,1747000.0,0.0
Richard Dent,1,DE,89,25,3,1,27422000.0,0.0
Mike Baab,5,C,83,27,4,1,6959000.0,3784000.0
Vestee Jackson,1,CB,80,23,0,4,3906000.0,1947000.0
Mark Johnson,2,C,65,23,0,4,658000.0,292000.0
John Harty,15,DT,74,27,4,3,1087000.0,0.0
Steve Mott,19,C,80,25,3,1,911000.0,203000.0
Mark Walen,11,DT,68,23,0,3,1022000.0,186000.0
Matt Suhey,1,RB,87,28,6,2,4887000.0,2413000.0
Maurice  Douglass,1,S,78,22,0,3,1829000.0,119000.0
Greg Hill,9,S,77,25,3,1,971000.0,0.0
Lionel James,8,RB,73,24,2,2,1617000.0,0.0
Robert Lavette,11,RB,65,23,1,1,56000.0,11333000.0
Jeff Bostic,26,C,85,28,6,1,3239000.0,243000.0
David Frye,12,OLB,74,25,3,1,1001000.0,0.0
Ty Allert,8,OLB,73,23,0,4,609000.0,362000.0
Buddy Curry,14,MLB,79,28,6,2,928000.0,0.0
Carl Zander,2,MLB,78,23,1,2,912000.0,0.0
Van Hughes,7,DE,70,25,0,4,1022000.0,0.0
Dino Hackett,9,MLB,83,26,0,4,1420000.0,629000.0
Ron Rivera,1,OLB,79,30,3,1,832000.0,0.0
Keith Bostic,30,S,84,25,3,2,5014000.0,583000.0
Vann McElroy,23,S,88,26,4,2,3992000.0,3182000.0
K.D. Dunn,6,TE,69,23,1,3,932000.0,62000.0
Gary Clark,26,WR,87,24,1,3,16674000.0,4718000.0
Billy Johnson,14,WR,73,28,6,1,766000.0,171000.0
Willie Gault,1,WR,82,26,3,4,5983000.0,13141000.0
Roy Green,7,WR,87,29,7,3,1889000.0,425000.0
Earnest Byner,5,RB,84,24,2,2,1514000.0,120000.0
Ted Watts,32,CB,79,34,10,3,1745000.0,0.0
Isaac Holt,31,CB,81,24,1,3,8610000.0,5060000.0
