name,TGID,POVR,PAGE,PYRP,length
Jay Hilgenberg,1,90,27,5,5
Larry Rubens,1,70,27,2,1
Reggie Phillips,1,77,25,1,1
Shaun Gayle,1,84,24,2,4
Leslie Frazier,1,76,27,5,3
Blair Bush,28,87,29,8,1
Mike Richardson,1,88,25,3,2
William Perry,1,82,23,1,2
Brian Watson,1,69,27,2,1
Steve McMichael,1,93,28,6,5
Calvin Thomas,1,77,27,4,3
Barton Hundley,1,69,23,0,2
Gary Fencik,1,86,32,10,1
Neal Anderson,1,80,22,0,4
Thomas Sanders,1,74,24,1,3
Kevin Butler,1,93,24,1,3
Dan Hampton,1,92,29,7,5
Stefan Humphries,1,70,24,2,1
Brian Cabral,1,75,30,7,1
Al Harris,1,81,29,7,3
Andy Frederick,1,65,32,9,1
Paul Blair,1,70,23,0,3
Karl Swanke,20,83,29,6,2
Mike Singletary,1,94,27,5,2
Dan Raines,1,73,30,3,1
Maury Buford,1,89,26,4,1
Jim McMahon,1,82,27,4,1
Steve Fuller,1,74,29,6,1
Mike Tomczak,1,75,23,1,3
Mike Hartenstine,1,77,33,11,1
Henry Waechter,1,74,27,4,1
Kurt Becker,1,75,28,4,4
Jim Morrissey,1,76,23,1,2
Wilbur Marshall,1,89,24,2,2
Keith Van Horne,1,88,28,5,3
Dave Duerson,1,90,25,3,1
Todd Bell,1,77,27,5,1
Tim Wrightman,1,75,26,1,3
Pat Dunsmore,1,67,26,3,1
Clay Pickering,1,64,25,2,2
Lew Barnes,1,63,23,0,2
Ken Margerum,1,71,27,5,2
Keith Ortego,1,73,23,1,3
Dennis Gentry,1,75,27,4,1
Mark Bortz,1,83,25,3,5
Walter Payton,1,92,32,11,4
Emery Moorehead,1,84,32,9,4
Jimbo Covert,1,90,26,3,1
Tom Thayer,1,82,25,1,3
Richard Dent,1,89,25,3,1
Mike Baab,5,83,27,4,1
Vestee Jackson,1,80,23,0,4
Mark Johnson,2,65,23,0,4
John Harty,15,74,27,4,3
Steve Mott,19,80,25,3,1
Mark Walen,11,68,23,0,3
Matt Suhey,1,87,28,6,2
Maurice  Douglass,1,78,22,0,3
Greg Hill,9,77,25,3,1
Lionel James,8,73,24,2,2
Robert Lavette,11,65,23,1,1
Jeff Bostic,26,85,28,6,1
David Frye,12,74,25,3,1
Ty Allert,8,73,23,0,4
Buddy Curry,14,79,28,6,2
Carl Zander,2,78,23,1,2
Van Hughes,7,70,25,0,4
Dino Hackett,9,83,26,0,4
Ron Rivera,1,79,30,3,1
Keith Bostic,30,84,25,3,2
Vann McElroy,23,88,26,4,2
K.D. Dunn,6,69,23,1,3
Gary Clark,26,87,24,1,3
Billy Johnson,14,73,28,6,1
Willie Gault,1,82,26,3,4
Roy Green,7,87,29,7,3
Earnest Byner,5,84,24,2,2
Ted Watts,32,79,34,5,2
Isaac Holt,31,81,24,1,3
Chris Doleman,31,85,24,1,3
Ron Pitts,3,75,23,0,4
Ken Huff,26,69,33,11,2
Donovan Rose,12,73,29,1,2
Stanley Morgan,22,91,31,9,1
Steve Largent,28,90,32,10,2
Phil McConkey,16,71,29,2,2
Stanley Wilson,2,75,25,2,3
Bart Oates,16,87,27,1,3
Mark Collins,16,80,22,0,5
Todd Fowler,11,73,24,1,3
Reyna Thompson,12,72,23,0,3
Terry Kinard,16,83,26,3,1
William Andrews,14,80,30,5,2
