name,birth_year,source
Nick Rallis,1993,wikidata:P569 occupation=coach-type
Mike LaFleur,1987,wikidata:P569 occupation=American football coach
Nathaniel Hackett,1979,wikidata:P569 occupation=American football coach
Michael Ghobrial,,"UNRESOLVED — role median, tagged"
Jeff Ulbrich,1977,wikidata:P569 occupation=American football coach
Kevin Stefanski,1982,wikidata:P569 occupation=American football coach
Tommy Rees,,"UNRESOLVED — role median, tagged"
Craig Aukerman,,"UNRESOLVED — role median, tagged"
Anthony Weaver,,"UNRESOLVED — role median, tagged"
Jesse Minter,1983,wikidata:P569 occupation=Q42331263
Declan Doyle,,"UNRESOLVED — role median, tagged"
Anthony Levine,,"UNRESOLVED — role median, tagged"
Jim Leonhard,,"UNRESOLVED — role median, tagged"
Joe Brady,1989,wikidata:P569 occupation=American football coach
Pete Carmichael Jr.,1941,wikidata:P569 occupation=American football coach
Jeff Rodgers,,"UNRESOLVED — role median, tagged"
Ejiro Evero,1981,wikidata:P569 occupation=Q42331263
Dave Canales,1981,wikidata:P569 occupation=Q42331263
Brad Idzik,,"UNRESOLVED — role median, tagged"
Tracy Smith,,"UNRESOLVED — role median, tagged"
Dennis Allen,1972,wikidata:P569 occupation=American football coach
Ben Johnson,1986,wikidata:P569 occupation=Q42331263
Press Taylor,,"UNRESOLVED — role median, tagged"
Richard Hightower,,"UNRESOLVED — role median, tagged"
Al Golden,,"UNRESOLVED — role median, tagged"
Zac Taylor,1983,wikidata:P569 occupation=American football coach
Dan Pitcher,1987,wikidata:P569 occupation=Q42331263
Darrin Simmons,1973,wikidata:P569 occupation=American football coach
Mike Rutenberg,,"UNRESOLVED — role median, tagged"
Todd Monken,,"UNRESOLVED — role median, tagged"
Travis Switzer,1992,wikidata:P569 occupation=coach-type
Byron Storer,,"UNRESOLVED — role median, tagged"
Christian Parker,1991,wikidata:P569 occupation=Q42331263
Brian Schottenheimer,1973,wikidata:P569 occupation=American football coach
Klayton Adams,1983,wikidata:P569 occupation=Q42331263
Nick Sorensen,1978,wikidata:P569 occupation=American football coach
Vance Joseph,1972,wikidata:P569 occupation=American football coach
Sean Payton,1963,wikidata:P569 occupation=American football coach
Davis Webb,,"UNRESOLVED — role median, tagged"
Darren Rizzi,,"UNRESOLVED — role median, tagged"
Kelvin Sheppard,,"UNRESOLVED — role median, tagged"
Dan Campbell,1976,wikidata:P569 occupation=American football coach
Drew Petzing,1987,wikidata:P569 occupation=Q42331263
Dave Fipp,1974,wikidata:P569 occupation=American football coach
Jonathan Gannon,1983,wikidata:P569 occupation=American football coach
Matt LaFleur,1979,wikidata:P569 occupation=American football coach
Adam Stenavich,,"UNRESOLVED — role median, tagged"
Cameron Achord,1987,wikidata:P569 occupation=Q42331263
Matt Burke,1976,wikidata:P569 occupation=American football coach
DeMeco Ryans,1984,wikidata:P569 occupation=American football coach
Nick Caley,,"UNRESOLVED — role median, tagged"
Frank Ross,1987,wikidata:P569 occupation=coach-type
Lou Anarumo,,"UNRESOLVED — role median, tagged"
Shane Steichen,1985,wikidata:P569 occupation=American football coach
Jim Bob Cooter,1984,wikidata:P569 occupation=American football coach
Brian Mason,1950,wikidata:P569 occupation=coach-type
Anthony Campanile,1982,wikidata:P569 occupation=coach-type
Liam Coen,1985,wikidata:P569 occupation=Q42331263
Grant Udinski,,"UNRESOLVED — role median, tagged"
Heath Farwell,1981,wikidata:P569 occupation=American football coach
Steve Spagnuolo,,"UNRESOLVED — role median, tagged"
Andy Reid,1958,wikidata:P569 occupation=American football coach
Eric Bieniemy,1969,wikidata:P569 occupation=American football coach
Dave Toub,,"UNRESOLVED — role median, tagged"
Chris O'Leary,,"UNRESOLVED — role median, tagged"
Jim Harbaugh,1963,wikidata:P569 occupation=American football coach
Mike McDaniel,1983,wikidata:P569 occupation=American football coach
Ryan Ficken,,"UNRESOLVED — role median, tagged"
Chris Shula,1986,wikidata:P569 occupation=Q42331263
Sean McVay,1986,wikidata:P569 occupation=American football coach
Nate Scheelhaase,,"UNRESOLVED — role median, tagged"
Ray Ventrone,,"UNRESOLVED — role median, tagged"
Rob Leonard,1987,wikidata:P569 occupation=Q42331263
Klint Kubiak,1987,wikidata:P569 occupation=American football coach
Andrew Janocko,1988,wikidata:P569 occupation=Q42331263
Joe DeCamillis,1965,wikidata:P569 occupation=American football coach
Sean Duggan,1993,wikidata:P569 occupation=coach-type
Jeff Hafley,1979,wikidata:P569 occupation=Q42331263
Bobby Slowik,1987,wikidata:P569 occupation=Q42331263
Chris Tabor,1971,wikidata:P569 occupation=American football coach
Brian Flores,1981,wikidata:P569 occupation=American football coach
Kevin O'Connell,1985,wikidata:P569 occupation=American football coach
Wes Phillips,1979,wikidata:P569 occupation=coach-type
Matt Daniels,,"UNRESOLVED — role median, tagged"
Zak Kuhr,1988,wikidata:P569 occupation=coach-type
Mike Vrabel,1975,wikidata:P569 occupation=American football coach
Josh McDaniels,1976,wikidata:P569 occupation=American football coach
Jeremy Springer,,"UNRESOLVED — role median, tagged"
Brandon Staley,1982,wikidata:P569 occupation=American football coach
Kellen Moore,1988,wikidata:P569 occupation=Q42331263 CONFLICTED
Doug Nussmeier,,"UNRESOLVED — role median, tagged"
Phil Galiano,1977,wikidata:P569 occupation=coach-type
Dennard Wilson,1982,wikidata:P569 occupation=coach-type
John Harbaugh,1962,wikidata:P569 occupation=American football coach
Matt Nagy,1978,wikidata:P569 occupation=American football coach
Chris Horton,1984,wikidata:P569 occupation=American football coach
Brian Duker,,"UNRESOLVED — role median, tagged"
Aaron Glenn,1972,wikidata:P569 occupation=American football coach
Frank Reich,1961,wikidata:P569 occupation=American football coach
Chris Banjo,,"UNRESOLVED — role median, tagged"
Vic Fangio,1958,wikidata:P569 occupation=American football coach
Nick Sirianni,1981,wikidata:P569 occupation=American football coach
Sean Mannion,,"UNRESOLVED — role median, tagged"
Michael Clay,1991,wikidata:P569 occupation=American football coach
Patrick Graham,1979,wikidata:P569 occupation=American football coach
Mike McCarthy,1963,wikidata:P569 occupation=American football coach
Brian Angelichio,1972,wikidata:P569 occupation=coach-type
Danny Crossman,1967,wikidata:P569 occupation=American football coach
Aden Durde,,"UNRESOLVED — role median, tagged"
Mike Macdonald,1987,wikidata:P569 occupation=Q42331263
Brian Fleury,,"UNRESOLVED — role median, tagged"
Jay Harbaugh,1989,wikidata:P569 occupation=Q42331263
Raheem Morris,1976,wikidata:P569 occupation=American football coach
Kyle Shanahan,1979,wikidata:P569 occupation=American football coach
Klay Kubiak,1988,wikidata:P569 occupation=Q42331263
Brant Boyer,1971,wikidata:P569 occupation=American football coach
George Edwards,1967,wikidata:P569 occupation=American football coach
Todd Bowles,1963,wikidata:P569 occupation=American football coach
Zac Robinson,,"UNRESOLVED — role median, tagged"
Danny Smith,1953,wikidata:P569 occupation=American football coach
Gus Bradley,1966,wikidata:P569 occupation=American football coach
Robert Saleh,1979,wikidata:P569 occupation=American football coach
Brian Daboll,1975,wikidata:P569 occupation=American football coach
John Fassel,1974,wikidata:P569 occupation=American football coach
Daronte Jones,1978,wikidata:P569 occupation=Q42331263
Dan Quinn,1970,wikidata:P569 occupation=American football coach
David Blough,1995,wikidata:P569 occupation=Q42331263
Larry Izzo,1974,wikidata:P569 occupation=American football coach
