coach,team,reg_w,reg_l,reg_t,playoff_w,playoff_l,super_bowl_wins,coach_of_year,seasons,first_year,note
Dave McGinnis,ARI,0,0,0,0,0,0,0,0,,No NFL head-coaching games before 2000
Dan Reeves,ATL,167,128,1,10,8,0,2,19,1981,AP Coach of the Year 1993 and 1998
Brian Billick,BAL,8,8,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999
Wade Phillips,BUF,38,30,0,0,3,0,0,5,1985,Includes 1-3 as New Orleans interim head coach for final four games of 1985
George Seifert,CAR,106,38,0,10,5,2,0,9,1989,San Francisco 1989-1996 plus Carolina 1999
Dick Jauron,CHI,6,10,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999
Dick LeBeau,CIN,0,0,0,0,0,0,0,0,,First NFL head-coaching games came in 2000
Chris Palmer,CLE,2,14,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999
Dave Campo,DAL,0,0,0,0,0,0,0,0,,First NFL head-coaching season was 2000
Mike Shanahan,DEN,61,39,0,7,1,2,0,7,1988,Includes 1988 and four games of 1989 with Raiders; Denver tenure began 1995
Bobby Ross,DET,69,59,0,3,5,0,0,8,1992,Won 1992 PFWA/UPI/Greasy Neale honours but not AP; AP-only convention gives 0
Mike Sherman,GB,0,0,0,0,0,0,0,0,,First NFL head-coaching season was 2000
Jim Mora,IND,109,90,0,0,5,0,1,13,1986,Jim Mora Sr born 1935; AP Coach of the Year 1987; NOT his son Jim Mora Jr
Tom Coughlin,JAX,49,31,0,4,4,0,0,5,1995,Won 1996 UPI Coach of the Year; AP-only convention gives 0
Gunther Cunningham,KC,9,7,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999
Dave Wannstedt,MIA,40,56,0,1,1,0,0,6,1993,Chicago 1993-1998 only; Miami assistant head coach in 1999; won 1994 UPI not AP
Dennis Green,MIN,81,47,0,3,7,0,0,8,1992,Won 1992 UPI and 1998 Greasy Neale; AP-only convention gives 0
Bill Belichick,NE,36,44,0,1,1,0,0,5,1991,Cleveland 1991-1995 only; no head-coaching games 1996-1999
Jim Haslett,NO,0,0,0,0,0,0,0,0,,First NFL head-coaching season was 2000
Jim Fassel,NYG,25,22,1,0,1,0,1,3,1997,AP Coach of the Year 1997
Al Groh,NYJ,0,0,0,0,0,0,0,0,,First NFL head-coaching season was 2000
Jon Gruden,OAK,16,16,0,0,0,0,0,2,1998,Oakland 1998-1999
Andy Reid,PHI,5,11,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999; post-1999 career excluded
Bill Cowher,PIT,77,51,0,6,6,0,1,8,1992,AP Coach of the Year 1992
Mike Riley,SD,8,8,0,0,0,0,0,1,1999,First NFL head-coaching season was 1999
Mike Holmgren,SEA,84,44,0,9,6,1,0,8,1992,Green Bay 1992-1998 plus Seattle 1999; Super Bowl XXXI
Steve Mariucci,SF,29,19,0,2,2,0,0,3,1997,San Francisco 1997-1999
Mike Martz,STL,0,0,0,0,0,0,0,0,,Rams offensive coordinator in 1999; first head-coaching season was 2000
Tony Dungy,TB,35,29,0,2,2,0,0,4,1996,Tampa Bay 1996-1999
Jeff Fisher,TEN,45,41,0,3,1,0,0,6,1994,Includes 1-5 after taking over Houston during the 1994 season
Norv Turner,WAS,42,53,1,1,1,0,0,6,1994,Washington 1994-1999; 1997 included an 8-7-1 record
