name,team,role,birth_year,age_2000,source
Larry Marmie,ARI,Def Co-ord,1942,58,wikidata:P569 occupation=American football coach
Dave McGinnis,ARI,Head Coach,1951,49,wikidata:P569 occupation=American football coach
Marc Trestman,ARI,Off Co-ord,1956,44,wikidata:P569 occupation=American football coach
Hank Kuhlmann,ARI,Special Teams,1937,63,wikidata:P569 occupation=American football coach
Rich Brooks,ATL,Def Co-ord,1941,59,wikidata:P569 occupation=American football coach
Dan Reeves,ATL,Head Coach,1944,56,wikidata:P569 occupation=American football coach
George Sefcik,ATL,Off Co-ord,1939,61,wikidata:P569 occupation=American football coach
Joe DeCamillis,ATL,Special Teams,1965,35,wikidata:P569 occupation=American football coach
Marvin Lewis,BAL,Def Co-ord,1958,42,wikipedia:Marvin_Lewis
Brian Billick,BAL,Head Coach,1954,46,wikidata:P569 occupation=American football coach
Matt Cavanaugh,BAL,Off Co-ord,1956,44,wikidata:P569 occupation=American football coach
Russ Purnell,BAL,Special Teams,1948,52,wikidata:P569 occupation=American football coach
Ted Cottrell,BUF,Def Co-ord,1947,53,wikidata:P569 occupation=American football coach
Wade Phillips,BUF,Head Coach,1947,53,wikidata:P569 occupation=American football coach
Joe Pendry,BUF,Off Co-ord,1947,53,wikidata:P569 occupation=American football coach
Ronnie Jones,BUF,Special Teams,1955,45,wikidata:P569 occupation=American football coach
John Marshall,CAR,Def Co-ord,1945,55,wikipedia:John_Marshall_(American_football)
George Seifert,CAR,Head Coach,1940,60,wikidata:P569 occupation=American football coach
Bill Musgrave,CAR,Off Co-ord,1967,33,wikidata:P569 occupation=American football coach
Scott O'Brien,CAR,Special Teams,1957,43,wikidata:P569 occupation=American football coach
Greg Blache,CHI,Def Co-ord,1949,51,wikipedia:intro extract
Dick Jauron,CHI,Head Coach,1950,50,wikidata:P569 occupation=American football coach
Gary Crowton,CHI,Off Co-ord,1957,43,wikipedia:intro extract
Keith Armstrong,CHI,Special Teams,1965,35,wikidata:P569 occupation=American football coach
Dick LeBeau,CIN,Def Co-ord,1937,63,wikidata:P569 occupation=American football coach
Dick LeBeau,CIN,Head Coach,1937,63,wikidata:P569 occupation=American football coach
Ken Anderson,CIN,Off Co-ord,1949,51,wikipedia:Ken_Anderson_(quarterback)
Al Roberts,CIN,Special Teams,1944,56,wikidata:P569 occupation=American football coach
