PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,21,Karim,Abdul-Jabbar,573,99,0,121,25,91,0,0,1,10,1,87,25,0,0,50,1,0,0,76,0,0,88,3,11,1009,88,35,26,26,0,8,92,0,0,0,0,7,0,7,226,21,71,0,0,1,0,22,0,0,33,0,1,121,3,49,0,2,24,88,75,4,0,96,0,1,100,26,70,91,85,4,4,4,4,3,25,83,8,11,44,11,5,23,0,1,1,22,3,6,4,573,0,70,34,1023,0,0,-19,0,0,204
45,2,7,2,7,29,Rahim,Abdullah,328,83,0,20,17,84,1,7,2,5,2,80,21,0,0,83,0,0,0,49,0,0,81,1,5,1015,71,62,19,15,0,3,30,0,2,0,0,8,0,8,38,45,100,2,3,2,0,26,0,0,55,1,2,20,2,66,0,3,26,36,61,1,0,22,0,1,56,14,73,67,61,2,0,2,0,1,26,51,39,36,33,12,0,5,0,13,13,20,5,32,14,164,0,77,73,1023,5,0,-19,0,0,58
45,6,6,6,6,16,Clifton,Abraham,0,88,0,0,11,88,0,5,3,1009,3,87,27,0,0,80,1,0,0,55,0,0,86,1,33,20,79,56,23,24,0,7,25,0,0,0,0,0,0,0,64,45,0,0,0,0,0,60,0,0,24,2,0,0,2,25,0,5,17,34,84,5,0,25,0,0,23,13,55,70,63,3,3,3,3,4,18,97,5,15,15,9,0,20,0,16,16,20,0,4,0,20,0,69,24,1023,20,1,-30,0,0,354
45,3,7,3,7,20,Donnie,Abraham,1654,99,0,260,12,96,0,0,4,6,4,93,26,0,0,91,1,0,0,62,0,0,94,2,9,1015,84,70,21,21,0,1,25,0,0,0,8,8,8,8,57,30,39,0,0,1,0,43,0,0,21,0,4,260,3,69,0,4,19,71,93,4,0,48,0,1,100,21,62,88,82,2,3,2,3,3,21,76,8,12,47,7,8,9,0,16,16,36,3,8,9,1654,0,70,30,1023,0,3,-19,0,0,204
45,4,6,4,6,28,Kevin,Abrams,100,87,0,0,23,96,2,5,5,1014,5,91,24,0,0,89,0,0,0,62,0,0,83,1,28,1015,81,68,18,20,0,8,28,0,0,0,0,0,0,0,205,30,33,2,2,1,0,48,0,0,24,2,3,0,0,98,0,7,36,54,91,3,0,44,0,1,99,37,53,83,79,0,0,0,0,0,16,90,8,11,27,8,3,10,0,16,16,29,2,4,2,100,0,68,10,1023,1,1,-19,0,0,204
45,1,1,1,1,31,Tom,Ackerman,400,72,0,0,24,68,0,7,6,27,6,56,27,0,0,80,1,0,0,18,0,0,55,0,6,26,83,12,77,82,0,2,25,0,4,0,0,0,0,0,59,8,23,0,0,3,0,1,0,0,69,0,4,0,2,94,0,6,17,40,29,4,0,16,0,1,0,21,87,75,70,2,2,2,2,5,34,29,16,20,27,13,18,21,0,7,6,42,6,30,27,400,0,75,130,1023,0,1,-19,0,0,150
45,0,2,0,2,32,Flozell,Adams,1843,65,0,310,17,86,0,4,7,11,7,50,24,0,0,80,0,1,0,18,0,0,61,3,25,1015,82,15,91,87,0,3,35,0,0,0,0,0,0,0,118,25,73,0,0,4,0,26,0,0,77,1,5,310,3,98,0,2,24,73,37,2,0,14,0,1,85,29,89,77,53,2,2,2,2,28,34,2,34,10,33,10,34,27,0,5,9,104,35,35,24,1843,0,79,180,1023,2,1,-19,0,0,204
40,6,6,6,6,8,Sam,Adams,1010,65,0,255,8,75,0,5,8,25,8,66,25,0,0,93,1,0,0,48,0,0,47,2,8,1015,89,85,40,41,0,3,31,0,0,0,0,0,0,0,215,12,48,0,0,1,0,60,0,0,95,2,2,255,3,70,0,1,14,66,50,6,0,42,0,0,100,11,95,88,71,3,3,3,3,9,38,40,17,25,31,7,18,30,0,12,12,30,9,38,30,1377,0,75,135,1023,0,5,-30,0,0,317
45,6,6,6,6,10,Mel,Agee,0,60,0,42,10,55,0,5,9,1009,9,48,30,0,0,87,2,0,0,20,0,0,46,2,33,13,83,83,33,34,0,3,33,0,0,0,0,0,0,0,84,45,0,0,0,0,0,60,0,0,68,1,0,42,2,25,0,6,14,50,46,9,0,24,0,0,97,11,88,72,66,3,3,3,3,7,34,42,19,25,22,13,15,30,0,12,12,30,5,33,24,266,0,77,140,1023,0,3,-30,0,0,113
4,6,6,6,6,8,Ray,Agnew,680,69,0,129,8,65,0,5,10,24,10,56,31,0,0,88,2,0,0,28,0,0,50,2,10,1009,84,80,35,36,0,3,41,0,0,0,0,0,0,0,138,40,0,0,0,2,0,60,0,0,99,2,3,129,3,25,0,1,14,50,54,10,0,32,0,0,83,11,88,76,69,3,3,3,3,7,34,35,23,25,27,7,25,30,0,12,12,30,6,38,28,680,0,75,125,1023,0,1,-30,0,0,335
45,0,0,0,0,19,Louie,Aguiar,541,99,0,37,93,55,0,7,11,1,11,53,32,0,0,70,1,0,0,15,0,0,52,0,33,1009,75,24,13,13,0,1,26,0,2,0,0,0,0,0,234,6,75,0,0,1,0,60,0,0,10,1,1,37,1,0,0,15,22,48,35,9,0,16,0,0,100,87,48,93,98,2,2,2,2,3,14,71,10,15,15,7,5,20,0,20,20,15,2,12,7,541,0,74,56,1023,0,0,-30,0,0,46
45,6,6,6,6,11,Chidi,Ahanotu,1133,65,0,204,9,75,0,5,12,6,12,61,28,0,0,88,1,0,0,48,0,0,60,2,33,1015,82,87,33,37,0,3,38,0,0,0,0,0,0,0,28,45,30,0,0,2,0,60,0,0,72,1,4,204,3,25,0,6,15,73,55,7,0,33,0,0,100,11,83,85,85,3,3,3,3,8,32,31,21,25,31,9,20,30,0,11,10,25,31,30,23,1133,0,74,123,1023,0,6,-30,0,0,282
13,0,0,0,0,92,Troy,Aikman,130,87,0,0,10,73,0,7,13,11,13,67,32,0,0,82,2,0,0,13,0,0,65,0,1,1015,77,21,22,26,0,1,57,0,2,0,0,0,0,0,226,20,59,0,0,1,0,60,0,1,8,1,6,0,0,30,0,1,93,92,55,11,0,56,0,0,73,12,62,95,90,2,2,2,2,2,21,90,5,10,15,11,0,20,0,0,0,20,3,11,11,130,0,76,59,1023,0,10,-30,0,0,133
45,0,0,0,0,18,David,Akers,647,71,0,84,82,55,0,7,14,13,14,57,25,0,0,41,0,0,0,10,0,0,42,0,7,1009,81,19,12,12,0,4,20,0,2,0,0,0,0,0,105,45,0,3,3,7,0,54,0,0,2,0,7,84,3,7,0,6,27,37,30,3,0,20,0,1,88,97,22,82,67,0,2,0,2,4,1,63,0,15,20,11,3,22,0,19,19,2,3,13,9,647,0,70,45,1023,9,0,-19,0,0,150
45,7,3,7,3,16,Chris,Akins,0,90,0,0,20,81,0,5,15,1009,15,82,22,0,0,85,0,0,0,64,0,0,78,3,25,1015,89,86,24,32,0,8,29,0,0,0,0,8,0,8,11,45,100,3,3,0,0,51,0,0,29,1,0,0,3,76,0,6,15,35,72,1,0,45,0,1,95,17,55,75,62,0,0,0,0,1,18,73,14,43,30,13,4,31,3,18,18,46,3,9,7,198,0,71,40,1023,3,0,-19,0,0,204
45,5,5,5,5,22,Ethan,Albright,198,75,0,0,19,65,0,7,16,3,16,59,28,0,0,74,1,0,0,21,0,0,56,0,33,1009,69,35,75,75,0,3,30,0,2,0,0,0,0,0,135,45,0,0,0,2,0,60,0,0,76,2,3,0,2,0,0,15,24,25,34,5,0,32,0,0,99,21,79,63,61,2,2,2,2,6,30,34,18,25,26,7,25,25,0,9,7,10,9,27,25,198,0,77,123,1023,0,1,-30,0,0,163
2,5,5,5,5,13,Allen,Aldridge,2288,89,0,528,13,75,0,7,17,19,17,73,26,0,0,91,1,0,0,32,0,0,75,1,33,1009,86,89,31,35,0,3,30,0,2,0,0,0,0,0,80,6,36,0,0,3,0,60,0,0,55,1,4,528,3,25,0,2,18,67,73,6,0,32,0,0,99,18,76,88,99,2,2,2,2,7,28,48,15,25,20,12,10,30,0,15,15,20,4,34,20,2288,0,73,88,1023,0,1,-30,0,0,314
45,6,6,6,6,13,Brent,Alexander,200,86,0,0,10,85,0,5,18,29,18,83,30,0,0,87,1,0,0,56,0,0,83,2,33,6,82,65,23,25,0,8,29,0,0,0,0,0,0,0,212,45,0,0,0,1,0,60,0,0,27,2,2,0,2,25,0,15,14,48,87,6,0,29,0,0,39,15,62,74,66,3,3,3,3,1,21,85,5,20,15,11,5,20,0,17,17,15,1,6,5,200,0,71,24,1023,15,1,-30,0,0,238
