PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,83,Alex,Van Pelt,750,84,0,95,18,42,0,7,1,3,1,46,33,0,0,81,2,0,0,15,0,0,47,1,20,1009,85,21,15,16,0,0,33,0,2,0,0,0,0,0,166,45,100,0,0,5,0,50,0,0,10,0,5,95,5,75,0,7,83,51,44,8,0,47,0,1,95,29,57,69,72,2,2,2,2,1,18,86,0,0,0,10,0,0,0,0,0,0,2,13,7,750,0,73,58,458,0,0,-31,0,0,150
45,0,0,0,0,83,Shane,Matthews,65,85,0,0,10,40,0,7,4,2,4,45,33,0,1,64,2,0,0,15,0,0,48,0,63,1009,75,21,15,16,0,0,38,0,2,0,0,0,0,0,62,45,100,2,2,1,0,32,0,0,6,0,1,0,1,75,0,15,84,56,50,9,0,35,0,1,95,10,53,72,77,2,2,2,2,5,16,84,0,0,0,8,0,0,0,0,0,0,1,8,9,0,0,75,36,296,0,0,-31,0,0,150
45,0,0,2,2,81,Danny,Wuerffel,0,85,0,0,21,53,0,7,9,1009,9,49,29,0,0,79,1,0,0,15,0,0,49,0,3,26,82,21,15,16,0,0,25,0,2,0,0,0,0,0,62,45,100,3,0,0,0,50,0,0,17,0,0,0,0,75,0,4,78,71,23,6,0,41,0,1,95,26,45,67,74,0,0,0,0,1,12,70,0,0,0,11,0,0,0,0,0,0,1,11,7,0,0,73,52,999,0,0,-31,0,0,150
45,0,0,0,0,76,Rick,Mirer,75,74,0,0,10,54,0,7,10,23,10,57,33,0,0,82,2,0,0,15,0,0,58,0,2,1009,70,21,15,16,0,0,47,0,4,0,6,0,6,0,152,45,100,0,0,1,0,46,0,0,3,0,1,0,1,75,0,1,82,36,36,10,0,36,0,1,95,10,52,63,58,4,1,4,0,0,16,74,0,0,0,7,0,0,0,0,0,0,1,11,10,0,0,75,50,999,0,0,-31,0,0,150
45,0,0,0,0,83,Rodney,Peete,400,86,0,90,21,53,0,4,11,21,11,54,37,0,0,84,2,0,0,10,0,0,55,1,2,1009,77,20,10,10,0,1,43,0,0,0,0,0,0,0,231,45,100,1,1,3,0,32,0,0,9,0,3,90,3,75,0,6,84,63,43,13,0,42,0,1,95,19,56,75,78,1,1,0,0,3,18,69,0,0,0,11,0,0,0,0,0,0,4,24,10,0,0,72,70,616,0,0,-31,0,0,188
45,0,0,0,0,40,Brian,Mitchell,383,80,0,36,33,84,0,0,13,16,13,86,35,0,0,80,2,0,0,63,0,0,84,2,21,1009,74,12,29,35,0,0,61,0,0,0,3,3,3,3,228,45,100,0,0,4,0,1,0,0,30,2,4,36,4,75,0,5,49,44,68,13,0,75,0,1,95,36,59,67,63,2,2,2,2,3,20,69,0,0,0,7,0,0,0,1,1,0,7,22,14,0,0,70,61,999,95,0,-31,0,0,189
45,3,3,3,3,22,Ki-Jana,Carter,53,79,0,0,15,80,0,0,14,27,14,78,28,0,1,70,2,0,0,65,0,0,78,0,1,1009,28,22,31,34,0,8,79,0,0,0,0,0,0,0,164,45,100,0,0,1,0,40,0,0,32,2,1,0,1,75,0,1,35,50,71,8,0,73,0,1,95,32,59,68,65,2,2,2,2,5,20,55,0,0,0,12,0,0,0,1,1,0,8,23,13,0,0,70,62,999,20,0,-31,0,0,187
45,3,4,3,4,23,Rashaan,Salaam,0,68,0,0,15,80,0,7,20,1009,20,82,28,1,1,69,1,0,0,58,0,0,79,0,21,15,70,27,26,29,0,0,68,0,0,0,6,0,6,0,41,45,100,0,0,0,0,55,0,0,39,2,0,0,0,75,0,1,30,52,59,5,0,66,0,1,95,31,63,63,60,4,3,4,3,1,22,85,0,0,0,11,0,0,0,1,1,0,5,11,9,0,0,71,60,999,55,0,-31,0,0,187
45,4,2,4,2,24,Sam,Gash,75,75,0,0,10,46,0,4,30,3,30,53,34,1,0,96,2,0,0,48,0,0,43,1,9,1009,58,27,53,77,3,2,65,0,0,0,0,0,0,0,164,45,100,0,0,1,0,1,0,0,33,2,1,0,1,75,0,8,24,51,37,11,0,65,0,1,95,10,76,76,82,2,2,2,2,1,28,76,0,0,0,11,0,0,0,2,2,0,3,35,13,0,0,72,75,999,0,0,-31,0,0,188
45,3,3,3,3,15,Desmond,Howard,0,76,0,0,23,89,0,7,41,1009,41,86,33,0,0,59,2,5,5,63,0,0,90,1,4,19,78,11,19,32,0,1,48,0,0,0,0,0,0,0,117,45,100,3,3,0,2,85,0,0,80,2,0,0,0,75,0,1,19,52,73,11,0,55,0,1,95,21,41,64,62,0,0,0,0,4,10,98,0,0,0,11,0,0,2,3,3,0,0,8,1,0,0,70,25,999,99,0,-31,0,0,188
