CFDA,CFFA,CLNA,CRSA,CDTA,COTA,CRDB,CRLB,CRQB,CRRB,CSPC,CCTC,CFUC,CCID,CDID,TGID,CHID,CPID,CHSD,CAGE,CDEF,COFF,CPSF,CLTF,CFSH,CETH,CSKI,CCTI,CCWI,CSAL,CSBL,CRDL,CFHL,CROL,CCPL,CWPL,CCHM,CCPM,CCLN,CFCO,CCLO,CFDP,CFRP,CSXP,CHAR,CFFR,CFRR,CDTR,CLTR,COTR,CRWR,CRKS,COPS,CRPS,CCWS,CRBT,CHGT,CMOT,CSBW,CKNW,CCPW,CFEX,CDTY,CHTY,COTY,CBSZ,CThg,CTgw
1,1,D.Jauron,83,50,52,85,73,65,60,1,1,0,0,2,3,105,2,31,54,88,70,0,1023,17,79,0,0,43,250,0,72,1,68,2,0,63,1,1,0,59,1,1,1,2,1,1,51,1023,48,55,38,0,40,1,90,72,73,0,87,0,1,95,1,0,0,0,0
1,1,D.LeBeau,90,42,51,84,95,45,55,1,0,0,1,28,29,0,28,31,70,95,44,1,1023,5,86,0,0,12,120,0,83,1,48,0,0,45,0,2,0,33,1,1,2,0,1,1,47,1023,44,50,35,2,39,0,90,74,80,0,93,0,1,95,0,0,4,0,0
1,1,G.Williams,85,52,51,85,90,65,60,1,0,0,2,25,1023,1,25,31,49,94,55,2,1023,5,90,0,0,11,100,0,78,0,60,0,0,72,0,0,0,21,1,1,3,0,1,1,51,1023,52,62,45,0,42,0,90,74,76,0,90,0,1,95,0,0,4,0,0
1,1,M.Shanahan,62,53,52,65,60,92,88,0,3,0,3,3,4,2,3,31,55,70,85,3,1023,33,95,0,0,130,410,0,55,0,70,5,0,77,7,3,0,79,1,1,4,0,1,1,51,1023,52,87,40,0,35,9,60,72,79,2,90,8,1,95,0,0,8,0,0
1,1,T.Dungy,95,49,51,90,88,54,60,1,1,0,5,9,10,102,9,31,51,95,60,5,1023,14,92,1,0,114,500,0,95,1,75,8,0,96,9,3,0,62,1,1,6,0,1,1,52,1023,57,63,43,0,48,9,90,73,87,1,93,9,1,95,1,0,16,2,0
1,1,A.Reid,90,58,48,92,84,80,76,0,2,0,12,12,13,106,12,1,49,78,83,8,1023,31,95,0,0,88,400,1,77,1,75,6,0,90,6,4,0,54,1,1,9,2,1,1,48,1023,54,77,37,0,39,6,90,76,90,0,92,8,1,95,1,0,24,2,0
1,1,J.Fassel,68,52,51,70,72,84,75,0,1,0,15,24,1023,3,24,31,57,70,84,9,1023,5,75,0,1,56,75,1,71,0,75,2,0,65,2,0,0,44,1,1,10,2,1,1,49,1023,48,73,41,1,43,2,90,73,70,0,83,2,1,95,0,0,4,0,0
1,1,T.Coughlin,67,50,46,61,65,75,71,0,0,0,16,15,16,110,15,31,60,63,75,10,1023,28,80,0,0,93,300,0,75,0,70,6,0,51,6,2,0,83,1,1,11,5,1,1,49,1023,48,75,38,0,35,5,90,72,90,0,80,4,1,95,1,0,28,0,0
1,1,H.Edwards,83,51,52,88,71,72,83,1,2,0,17,8,9,103,8,5,53,76,70,11,1023,35,92,1,0,48,500,0,70,1,71,3,0,88,3,4,0,48,1,1,12,0,1,1,53,1023,54,77,40,0,41,3,70,73,96,0,88,2,1,95,1,0,32,3,0
1,1,M.Mornhinweg,48,51,51,50,53,75,68,0,1,0,18,12,13,4,12,31,45,70,75,12,1023,2,70,0,0,5,65,0,55,0,85,0,0,60,0,2,0,27,1,1,13,2,1,1,52,1023,55,69,38,1,35,0,90,71,65,0,75,0,1,95,0,0,36,0,0
1,1,M.Sherman,65,48,52,68,72,74,73,0,0,0,19,31,32,5,31,31,52,60,81,13,1023,5,81,0,0,55,75,0,72,0,75,4,0,70,4,3,0,30,1,1,14,2,1,1,49,1023,51,71,45,1,42,5,90,74,75,0,75,2,1,95,0,0,4,0,1
1,1,B.Belichick,88,54,51,88,96,80,70,1,1,0,21,21,22,6,21,31,55,99,75,14,1023,2,98,2,0,0,450,0,90,0,50,0,0,74,0,3,0,0,1,1,15,0,1,1,52,1023,56,60,45,0,44,0,90,72,95,0,99,0,1,5,0,0,36,0,0
1,1,J.Gruden,72,51,54,70,68,82,85,0,1,0,22,5,6,109,5,31,44,65,80,16,1023,19,98,0,0,77,425,0,70,1,78,3,0,88,4,2,0,67,1,1,16,4,1,1,54,1023,56,80,45,0,38,4,76,71,90,1,95,5,1,95,1,0,44,0,0
1,1,M.Martz,59,52,63,55,58,95,92,0,1,0,23,18,19,7,18,31,56,50,96,17,1023,1,70,0,0,54,175,1,55,0,78,4,0,65,4,3,0,33,1,1,17,2,1,1,54,1023,58,94,38,1,35,3,90,74,65,0,92,3,1,95,0,0,48,0,1
1,1,B.Billick,55,48,52,65,75,80,74,1,1,0,24,24,25,8,24,2,53,71,81,18,1023,7,82,0,0,75,300,0,72,0,70,3,0,83,4,1,0,53,1,1,18,0,1,1,51,1023,47,83,39,0,40,5,76,72,90,1,85,5,1,95,0,0,52,0,0
1,1,M.Schottenheimer,64,52,48,68,65,75,81,0,0,0,25,7,1023,107,7,9,63,83,50,19,1023,32,85,0,1,200,425,0,68,1,72,13,0,61,13,0,0,126,1,1,19,0,1,1,49,1023,47,69,38,0,35,15,90,77,90,0,85,5,1,5,1,0,56,6,1
1,1,J.Haslett,76,50,50,77,75,64,63,1,2,0,26,23,24,9,23,7,51,76,65,20,1023,1,80,0,0,42,75,0,72,0,65,1,0,59,1,3,0,38,1,1,20,2,1,1,49,1023,52,62,38,2,35,2,90,73,85,0,68,1,1,95,0,0,60,0,0
1,1,M.Holmgren,50,47,50,55,63,92,85,0,1,0,27,27,28,10,27,31,59,45,85,21,1023,21,70,0,0,147,765,2,68,0,88,10,0,83,11,2,0,93,1,1,21,4,1,1,54,1023,53,88,37,0,41,13,90,75,85,1,95,12,1,95,0,0,64,0,1
1,1,J.Fisher,65,48,50,73,75,75,70,0,2,0,29,29,30,11,29,6,49,65,70,22,1023,16,88,0,0,105,500,1,75,0,77,4,0,90,4,1,0,93,1,1,23,2,1,1,47,1023,48,65,48,0,50,4,70,73,83,0,85,5,1,95,0,0,68,0,0
1,1,D.Green,63,49,51,61,65,90,86,0,0,0,30,6,1023,12,6,31,57,70,85,23,1023,22,85,2,0,113,275,0,70,0,77,8,0,90,8,0,0,94,1,1,24,0,1,1,49,1023,51,85,41,0,42,8,90,72,82,0,85,4,1,95,0,0,72,0,0
1,1,D.Capers,83,50,50,82,77,70,62,1,1,0,31,11,12,100,11,16,57,80,65,24,1023,1,75,0,0,47,75,0,78,1,51,1,0,70,1,2,0,67,1,1,25,5,1,1,51,1023,52,65,35,2,40,1,90,70,70,0,74,1,1,5,1,0,76,0,0
1,1,D.Anderson,81,50,47,85,72,35,36,0,0,0,37,0,1023,13,32,31,45,78,35,29,1023,5,70,2,0,0,75,0,70,0,42,0,0,65,0,0,0,0,1,1,15,1,1,1,55,1023,51,38,37,0,39,0,62,72,71,0,52,0,1,95,0,1,4,0,1
1,1,L.Barton,70,50,47,65,75,38,43,0,0,0,40,0,1023,14,32,31,45,80,37,27,1023,2,72,0,0,0,75,0,74,0,42,0,0,67,0,0,0,0,1,1,15,2,1,1,55,1023,51,42,35,0,41,0,90,67,70,0,58,0,1,95,0,1,36,0,1
1,1,J.Trenton,65,50,47,68,72,74,73,0,0,0,45,0,1023,15,32,31,45,60,81,29,1023,2,81,2,0,0,75,0,72,0,75,0,0,70,0,0,0,0,1,1,15,2,1,1,55,1023,51,71,45,0,42,0,90,72,75,0,75,0,1,95,0,1,36,0,0
1,1,P.Henderson,11,50,47,11,11,11,11,0,0,0,47,1,1023,14,32,31,45,1,1,14,1023,2,1,0,0,0,75,0,11,0,11,0,0,1,0,0,0,0,1,1,15,2,1,1,55,1023,51,11,11,0,11,0,90,71,1,0,1,0,1,5,0,1,36,0,0
1,1,J.Fox,86,53,48,88,92,58,63,1,1,0,50,20,21,16,20,31,52,93,75,33,1023,18,96,0,0,44,475,1,90,0,53,2,0,90,2,4,0,36,1,1,26,5,1,1,49,1023,47,65,40,0,40,2,50,74,91,0,89,5,1,95,0,0,80,0,0
1,1,M.Tice,58,46,51,45,55,62,69,0,0,0,53,30,1023,17,30,31,47,43,78,35,1023,2,76,0,0,23,75,0,58,0,77,1,0,61,1,0,0,26,1,1,28,0,1,1,55,1023,53,80,38,0,40,1,86,76,81,0,60,1,1,95,0,0,36,0,0
