PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,2,0,2,0,27,Mark,Ingram,740,97,0,390,25,95,0,5,1,27,54,86,21,0,0,95,0,0,0,71,0,0,90,1,28,1023,89,20,51,42,0,13,77,0,0,0,0,0,0,0,3,45,100,0,1,4,4,46,0,0,28,2,4,390,0,85,0,1,25,62,80,0,1645,86,0,1,97,25,74,80,56,2,2,2,2,1,27,64,1,1,33,10,4,15,1,1,1,13,1,10,12,740,0,69,55,1023,45,31,-19,0,0,225
45,0,0,0,0,78,Jake,Locker,1260,97,0,760,18,87,0,4,2,30,55,83,23,0,1,96,0,0,0,20,0,0,84,1,8,1023,85,18,12,20,0,0,74,0,2,0,0,0,0,0,252,45,100,2,3,4,3,48,0,0,10,1,4,760,0,84,0,1,94,68,75,0,1315,57,0,1,97,15,66,73,44,1,0,0,0,2,23,71,2,13,10,10,2,22,0,0,0,37,4,22,11,1260,0,74,68,1023,10,31,-19,0,0,152
45,0,0,0,0,81,Christian,Ponder,1020,95,0,590,22,85,0,7,3,31,56,75,23,0,0,91,0,0,0,16,0,0,74,1,12,1023,74,23,21,23,0,13,57,0,2,0,0,0,0,0,64,45,100,0,2,4,4,28,0,0,7,1,4,590,0,0,0,1,84,60,74,0,498,51,0,1,97,20,53,73,60,1,0,0,0,4,16,54,33,17,27,10,12,11,0,0,0,53,9,19,12,1020,0,74,69,1023,10,31,-19,0,0,281
45,0,0,0,0,71,Jerrod,Johnson,0,90,0,0,20,82,0,5,4,1009,32772,75,23,0,1,76,0,0,0,40,0,0,76,1,63,1023,87,18,29,15,0,0,52,0,0,0,8,0,8,0,215,45,100,0,0,0,0,54,0,0,5,1,0,0,0,70,0,15,85,25,64,0,0,56,0,1,90,28,57,60,42,2,2,2,2,3,18,41,39,14,16,12,13,15,1,0,0,14,8,41,22,0,0,77,91,1023,10,31,-19,0,0,503
45,0,0,0,0,78,Cam,Newton,2200,95,0,1400,22,90,0,4,5,21,59,85,22,0,1,88,0,0,0,39,0,0,88,1,1,1023,96,30,31,33,0,0,79,0,0,0,0,0,0,0,14,45,100,0,0,4,3,42,0,0,1,1,4,1400,0,90,0,1,95,81,86,0,991,68,0,1,85,24,62,81,59,3,3,3,3,7,21,66,3,6,25,7,3,6,1,0,0,13,0,41,21,2200,0,77,88,1023,10,31,-19,0,0,39
45,0,0,0,0,80,Blain,Gabbert,1200,88,0,720,22,79,0,9,6,17,60,75,21,0,1,87,0,0,0,18,0,0,72,1,10,1023,90,21,21,22,0,0,55,0,4,0,0,0,0,0,122,45,100,0,2,4,3,50,0,0,11,1,4,720,0,80,0,1,89,59,70,0,85,56,0,1,98,23,60,71,52,3,2,3,2,0,20,64,18,36,28,11,7,14,0,0,0,48,4,27,10,1200,0,77,75,1023,10,31,-19,0,0,473
45,0,0,0,0,77,Patrick,Devlin,80,88,0,0,23,70,0,4,7,12,32776,65,23,0,1,74,0,0,0,25,0,0,67,1,63,1023,91,15,20,23,0,0,45,0,0,0,0,0,0,0,49,45,100,0,3,2,2,57,0,0,9,2,2,0,0,30,0,15,79,30,65,0,485,50,0,1,92,28,52,58,46,2,2,0,2,4,16,76,38,17,0,13,15,7,0,0,0,53,5,30,14,80,0,75,65,1023,10,31,-19,0,0,133
45,0,0,0,0,65,Tyrod,Taylor,216,88,0,10,24,91,0,5,8,25,32777,87,22,0,0,75,0,0,0,65,0,0,88,1,15,1023,87,24,20,22,0,0,52,0,0,0,0,0,0,0,241,45,100,0,3,4,0,41,0,0,2,1,4,10,0,77,0,6,92,24,88,0,971,72,6,1,94,29,58,62,40,1,2,4,2,1,19,64,15,19,20,12,15,0,0,0,0,29,1,13,9,216,0,73,57,1023,67,31,-19,0,1,460
45,6,0,6,0,25,Evan,Royster,80,82,0,0,13,89,0,5,9,26,32778,89,23,0,1,80,0,0,0,68,0,0,88,1,12,1023,94,18,35,30,0,11,79,0,0,0,0,0,0,0,164,45,100,0,0,2,4,51,0,0,35,0,2,0,0,65,0,6,24,35,75,0,1612,82,0,1,94,18,72,75,40,3,1,3,0,1,26,91,37,10,11,9,1,11,0,1,1,43,4,11,6,80,0,73,53,1023,75,31,-19,0,0,149
45,0,0,0,0,85,Andy,Dalton,520,92,0,200,19,70,0,4,10,2,32779,66,23,0,1,94,0,0,0,24,0,0,68,1,3,1023,96,23,13,24,0,7,46,0,3,0,0,0,0,0,207,45,100,0,0,4,1,50,0,0,14,2,4,200,0,70,0,2,87,71,66,0,1273,60,0,1,95,12,60,79,73,7,3,2,3,4,20,73,14,18,0,9,2,11,0,0,0,40,1,9,11,520,0,74,60,1023,10,31,-19,0,0,83
