PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,4,4,4,4,19,Anthony,McCoy,155,84,0,23,11,83,0,4,0,28,0,75,25,0,0,85,0,4,4,76,0,0,82,1,0,28,88,39,52,48,0,1,72,0,0,0,0,0,0,0,231,45,0,0,0,3,0,60,0,0,85,1,3,23,0,0,0,0,21,39,87,2,670,66,0,0,95,21,68,72,55,0,0,0,0,4,24,48,20,25,25,12,10,30,0,4,4,20,5,32,20,155,0,76,99,1023,9,0,-30,0,0,102
45,0,0,0,0,75,Brett,Basanez,49,88,0,5,40,63,0,4,1,33,65403,60,25,0,0,75,0,4,4,40,0,0,55,1,63,1,86,50,50,50,0,0,40,0,0,0,0,0,0,0,151,45,0,0,0,1,0,60,0,0,14,0,2,5,0,0,0,15,82,45,50,5,0,50,0,0,75,50,50,66,66,0,0,0,0,0,15,79,0,11,15,8,0,16,0,0,0,10,5,11,5,49,0,73,48,1023,10,0,-30,0,0,154
45,2,2,2,2,30,Myron,Pryor,420,80,0,54,30,77,0,7,2,1009,65404,61,26,0,0,80,0,4,4,30,0,0,59,1,0,22,80,74,30,30,0,8,40,0,0,0,0,0,0,0,98,45,0,0,0,3,0,60,0,0,91,1,3,54,3,80,0,6,30,56,45,3,0,30,0,0,90,30,82,71,55,2,0,2,0,40,31,31,24,25,42,13,33,30,1,12,12,30,22,33,23,420,0,73,150,1023,10,0,-30,0,0,188
45,0,0,0,0,77,Dennis,Dixon,462,94,0,75,11,85,0,4,3,1009,65453,84,27,0,0,70,0,4,4,42,0,0,87,1,21,1009,88,16,11,11,0,0,54,0,0,0,0,0,0,0,160,19,0,1,1,1,0,60,0,0,10,1,3,75,3,60,0,5,88,70,77,3,0,70,0,0,95,11,55,75,60,3,0,3,0,1,18,89,10,20,15,8,0,25,1,0,0,10,5,12,10,462,0,76,51,1023,20,0,-30,0,0,10
45,0,0,0,0,84,Mike,Teel,645,79,0,120,16,68,0,7,4,33,35896,78,24,0,1,44,1,4,4,5,0,0,66,1,0,1009,76,15,20,9,0,1,31,0,2,0,0,0,0,0,72,45,100,0,0,2,0,75,0,0,14,1,3,120,3,0,0,6,85,57,44,3,0,57,9,1,80,7,65,71,55,2,2,2,2,4,22,86,24,4,13,13,0,2,0,0,0,10,2,10,12,645,0,76,55,1023,0,0,-19,0,0,154
45,7,2,7,2,10,BenJarvus,Green-Ellis,378,84,0,26,10,84,3,10,5,2,65402,82,27,0,1,90,0,4,4,46,0,0,78,1,63,1009,90,20,35,14,0,7,88,0,0,0,0,0,0,0,159,45,0,0,0,3,1,60,0,0,42,2,3,26,2,0,0,15,20,64,78,4,1160,96,0,0,95,20,79,81,84,0,0,0,0,1,24,55,15,25,20,8,5,30,1,1,1,20,2,21,12,378,0,71,65,1023,70,0,-30,0,0,204
45,2,2,2,2,50,Tom,Nelson,160,70,0,24,50,90,0,7,6,1009,65405,90,25,0,0,70,0,4,4,50,0,0,70,1,0,1009,50,75,50,50,0,0,50,0,1,0,0,0,0,0,85,45,0,0,0,2,0,60,0,0,49,1,2,24,2,0,0,0,50,55,60,3,0,50,0,0,75,50,80,72,64,0,0,0,0,0,30,79,10,22,10,11,0,27,0,17,17,13,0,9,5,160,0,71,43,1023,75,0,-30,0,0,361
45,2,2,2,2,34,Brandon,Hughes,134,87,0,14,15,91,0,4,7,13,32933,87,24,0,0,85,1,4,4,50,0,0,89,1,0,1009,83,53,20,15,0,7,23,0,0,0,0,0,0,0,161,45,100,0,0,2,0,56,0,0,27,0,2,14,2,0,0,5,23,23,87,4,1387,41,0,1,90,28,44,63,49,3,2,3,2,3,12,97,26,15,7,10,23,13,0,16,16,10,3,10,3,134,0,71,17,1023,16,0,-19,0,0,55
11,2,2,2,2,30,Stefan,Logan,696,77,0,114,50,96,0,4,8,19,65408,94,31,0,0,90,1,4,4,75,0,0,94,1,63,29,87,49,40,15,0,0,60,0,0,0,0,0,0,0,177,45,0,0,0,2,0,60,0,0,11,2,3,114,3,70,0,15,40,40,82,4,1462,59,0,0,85,30,49,71,55,0,0,0,0,1,14,86,10,18,15,12,0,23,0,1,1,10,5,11,7,696,0,67,20,1023,92,0,-30,0,0,247
45,6,6,6,6,35,Bernard,Scott,906,87,0,174,30,92,0,10,9,2,65409,93,28,0,0,70,0,4,4,65,0,0,90,1,0,1009,75,40,35,23,0,0,77,0,0,0,0,0,0,0,0,45,0,0,0,3,0,60,1,0,28,2,3,174,3,0,0,6,35,64,52,3,108,74,0,0,85,30,65,81,73,0,0,0,0,0,21,75,10,22,15,9,0,27,0,1,1,20,4,7,9,906,0,70,40,1023,83,0,-30,0,0,197
