PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,7,7,7,7,20,Nader,Abdallah,0,86,0,0,5,80,0,9,1,36,1,74,28,2,0,84,0,0,0,37,0,0,70,3,63,1009,95,64,45,45,0,8,28,0,2,0,7,7,7,7,156,45,100,0,0,0,0,26,0,0,61,0,0,0,0,0,0,15,28,52,70,5,0,40,0,1,95,24,75,71,68,0,0,0,0,10,28,40,15,14,21,13,24,25,0,12,12,18,6,45,27,0,0,76,132,1023,10,31,-19,0,0,204
45,7,2,7,2,9,Husain,Abdullah,72,94,0,0,22,88,0,10,2,9,2,86,28,0,0,80,0,0,0,62,0,0,85,1,63,1009,91,68,45,45,0,7,35,0,0,0,8,8,8,8,251,45,100,0,0,1,1,0,0,0,39,0,1,0,1,90,0,15,15,55,86,5,2920,68,0,1,92,22,63,80,70,3,3,3,3,2,19,79,10,13,10,13,10,14,2,17,17,12,0,5,10,72,0,72,44,999,65,0,-31,0,0,199
45,2,2,2,2,20,Victor,Abiamiri,0,86,0,0,20,78,0,7,3,36,3,72,27,0,1,88,0,0,0,20,0,0,77,1,25,1015,90,70,45,45,0,3,34,0,0,0,8,8,8,8,152,45,100,0,0,0,0,48,0,0,95,2,0,0,1,0,0,2,10,63,80,6,0,40,0,1,90,30,75,76,60,0,0,0,0,5,28,56,10,5,10,12,10,9,0,10,10,8,4,31,26,0,0,76,107,999,10,1,-31,0,0,206
45,5,5,5,5,10,Emmanuel,Acho,102,87,0,0,20,79,0,0,5,13,5,73,22,0,0,85,0,0,0,48,0,0,69,1,32,1015,86,74,45,45,0,8,37,0,0,0,0,0,0,0,214,45,0,0,0,2,0,0,0,0,51,0,2,0,0,65,0,6,14,34,85,1,40,45,0,0,95,13,73,67,62,0,0,0,0,5,26,69,42,21,0,7,14,12,0,13,13,0,8,17,12,102,1,73,78,0,10,0,0,0,0,439
45,3,3,3,3,24,Jeff,Adams,0,85,0,0,21,64,0,7,6,1009,6,63,24,0,1,87,0,0,0,45,0,0,58,1,63,0,94,40,81,70,0,3,25,0,2,0,0,0,0,0,43,45,0,0,0,0,0,60,0,0,60,1,0,0,0,0,0,15,17,46,72,1,2559,55,0,0,95,20,75,64,64,2,2,2,2,5,28,39,22,25,21,12,23,30,0,5,5,10,8,25,30,0,0,78,144,1023,10,0,-30,0,0,154
45,3,3,3,3,31,Joe,Adams,0,95,0,0,25,94,0,4,7,39,7,90,23,0,1,66,0,0,0,67,0,0,96,1,9,0,87,35,40,39,0,7,64,0,0,0,0,0,0,0,10,45,0,0,0,0,1,60,0,0,15,1,0,0,0,68,0,4,32,36,85,1,248,59,0,0,95,35,43,71,49,2,2,2,2,1,12,89,10,25,10,12,0,30,0,3,3,10,5,1,9,0,0,71,21,1023,80,0,-30,0,0,345
45,2,2,2,2,30,Kris,Adams,0,84,0,0,20,86,0,1,8,39,8,91,25,0,0,67,0,0,0,69,0,0,81,1,63,0,78,34,32,44,0,0,55,0,0,0,0,0,0,0,235,45,0,0,0,0,0,60,0,0,89,2,0,0,0,20,0,15,30,26,92,2,1297,59,0,0,85,20,47,68,52,0,0,0,0,3,14,91,10,15,15,13,0,20,0,3,3,10,5,11,7,0,0,75,34,1023,42,0,-30,0,0,60
45,5,5,5,5,35,Kyle,Adams,0,82,0,0,22,72,0,7,9,1009,9,73,25,0,0,75,0,0,0,72,0,0,70,1,63,1009,88,46,59,71,0,12,52,0,2,0,0,0,0,0,241,45,100,0,0,0,4,0,0,0,87,2,0,0,0,45,0,15,22,60,67,2,688,72,0,0,90,21,72,79,61,0,0,0,0,5,26,68,24,0,35,8,24,0,0,4,4,0,6,41,23,0,0,76,95,1023,5,31,-19,0,0,264
45,3,3,3,3,25,Michael,Adams,0,90,0,0,20,88,0,5,10,38,10,85,28,2,1,70,0,0,0,45,0,0,85,1,63,1009,90,55,45,45,0,8,22,0,0,0,8,8,8,8,228,45,100,0,0,0,0,0,0,0,21,2,0,0,1,88,0,15,25,37,77,6,2502,60,0,1,95,20,52,68,71,0,0,0,0,5,16,99,10,0,10,12,10,5,0,16,16,5,1,5,0,0,0,68,21,999,65,1,-31,0,0,207
45,4,4,4,4,25,Mike,Adams,360,87,0,160,22,81,0,5,12,29,12,65,23,0,1,86,0,1,1,30,0,0,69,1,24,0,83,38,85,80,2,12,18,8,0,0,2,2,2,2,156,45,0,0,0,3,4,60,0,0,76,2,4,160,0,0,0,2,25,40,77,1,856,40,9,0,92,24,84,74,62,4,4,4,4,15,32,31,16,34,29,7,15,39,0,9,9,54,21,24,26,360,0,79,163,1023,10,31,-31,0,0,190
