PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,5,5,5,5,14,Corey,Wootton,83,74,0,8,8,83,0,7,0,33,0,72,28,0,0,90,1,4,4,28,0,0,69,1,11,1009,82,72,45,45,0,12,17,0,0,0,0,0,0,0,151,45,0,0,0,1,4,29,0,0,99,2,1,8,3,85,0,4,21,71,66,5,219,40,0,1,100,9,83,83,75,2,2,2,2,6,32,57,52,16,47,11,25,27,0,10,10,18,7,24,22,83,0,78,110,999,10,0,-19,0,0,118
45,3,3,3,3,25,Olin,Kreutz,0,77,0,0,24,75,0,4,1,36,1,60,38,0,0,85,2,0,0,24,0,0,55,1,3,1009,85,29,92,84,2,2,10,0,2,0,2,2,2,2,252,45,0,0,0,0,0,0,0,0,50,0,0,0,3,62,0,3,31,73,18,17,3400,21,0,0,98,20,91,88,82,2,2,2,2,6,24,31,16,25,32,8,20,0,0,7,7,25,20,33,24,0,0,74,133,999,0,0,-31,0,0,150
45,2,3,2,3,17,Brian,Urlacher,0,92,0,0,18,85,0,4,2,37,2,81,37,0,1,97,2,4,4,63,0,0,82,1,9,1009,89,93,21,53,0,3,10,0,1,0,0,0,0,0,145,45,0,0,0,0,0,0,0,1,0,0,0,0,3,95,0,1,31,50,80,15,3400,45,7,1,90,17,77,93,90,3,3,3,3,4,28,51,10,7,10,9,10,13,0,14,14,10,4,37,25,0,0,76,98,457,0,0,-31,0,0,150
45,3,3,3,3,14,Major,Wright,300,92,0,0,15,90,0,4,3,6,3,88,27,0,1,91,1,4,4,71,0,0,83,1,11,1009,95,71,45,45,0,7,41,0,0,0,0,0,0,0,62,45,50,0,0,2,3,61,0,0,31,2,2,0,3,70,0,3,20,77,84,5,225,66,0,1,92,25,63,85,71,0,0,0,0,3,22,73,7,17,21,10,2,29,0,17,17,36,4,12,12,300,0,71,44,999,55,1,-19,0,0,318
45,2,0,2,0,13,Joshua,Moore,0,90,0,0,10,89,0,7,4,36,4,83,27,0,0,66,0,0,0,53,0,0,91,3,10,4,92,65,11,19,0,0,37,0,0,0,0,0,0,0,96,45,0,2,2,0,0,59,1,0,31,2,0,0,2,75,0,5,22,45,88,5,3400,32,0,1,100,12,40,63,47,0,0,0,0,3,8,96,42,27,24,12,17,18,0,16,16,48,4,10,9,0,0,71,25,999,10,0,-19,0,0,269
45,2,2,2,2,25,Desmond,Clark,0,69,0,0,17,76,0,4,5,36,5,75,38,0,0,82,2,0,0,77,0,0,79,1,10,1,80,23,53,62,0,8,63,0,0,0,8,8,8,8,249,45,0,2,2,0,0,80,0,0,88,2,0,0,6,75,0,6,31,64,76,16,3400,50,0,1,100,22,56,73,50,0,0,0,0,3,18,57,0,0,0,11,0,0,0,4,2,30,4,32,21,0,0,75,95,93,8,0,-31,0,0,84
45,2,2,2,2,13,J'Marcus,Webb,75,79,0,0,11,78,0,4,6,23,6,60,27,0,0,75,1,4,4,21,0,0,65,2,11,1009,93,35,72,69,0,12,11,0,0,0,0,0,0,0,247,45,27,0,0,1,4,55,0,0,76,1,1,0,3,99,0,7,18,72,40,5,217,40,0,1,99,12,90,72,72,3,3,3,3,12,35,28,21,39,35,11,17,28,0,8,9,100,26,28,29,75,1,79,173,999,10,0,-19,0,0,477
45,0,0,0,0,63,Todd,Collins,0,85,0,0,19,80,0,7,7,36,7,79,44,0,0,70,2,0,0,25,0,0,83,1,13,1,73,34,23,35,0,0,50,0,4,0,0,0,0,0,117,45,0,2,2,0,0,55,0,0,10,1,0,0,3,70,0,2,65,77,80,20,3400,45,0,1,100,14,45,51,50,2,2,2,2,5,12,54,10,5,10,8,10,5,0,0,0,10,8,21,10,0,0,76,65,999,10,0,-31,0,0,151
45,2,2,2,2,6,D.J.,Moore,0,95,0,0,6,89,0,0,8,1009,8,86,28,2,1,84,1,4,4,78,0,0,93,2,19,6,94,45,45,45,0,7,58,0,0,0,0,0,0,0,238,45,0,0,0,0,2,34,0,0,30,1,0,0,2,99,0,4,6,73,91,6,1760,62,0,1,100,6,47,79,70,2,2,2,2,3,14,79,20,31,20,8,5,3,1,16,16,60,5,9,10,0,0,69,30,999,75,0,-19,0,0,366
45,2,1,2,1,20,Johnny,Knox,0,81,0,0,25,93,0,5,9,36,9,96,29,2,0,10,0,0,0,78,0,0,89,1,4,1,10,40,20,25,0,0,45,0,0,0,0,0,0,0,0,45,0,0,0,0,0,26,0,0,13,2,0,0,3,55,0,5,30,62,89,6,3400,55,0,1,95,30,40,79,74,0,0,0,0,0,10,80,29,14,21,7,35,25,0,3,3,18,0,4,0,0,0,72,25,999,84,0,-19,0,0,28
