CFDA,CFFA,CLNA,CRSA,CDTA,COTA,CRDB,CRLB,CRQB,CRRB,CSPC,CCTC,CFUC,CCID,CDID,TGID,CHID,CPID,CHSD,CAGE,CDEF,COFF,CPSF,CLTF,CFSH,CETH,CSKI,CCTI,CCWI,CSAL,CSBL,CRDL,CFHL,CROL,CCPL,CWPL,CCHM,CCPM,CCLN,CFCO,CCLO,CFDP,CFRP,CSXP,CHAR,CFFR,CFRR,CDTR,CLTR,COTR,CRWR,CRKS,COPS,CRPS,CCWS,CRBT,CHGT,CMOT,CSBW,CKNW,CCPW,CFEX,CDTY,CHTY,COTY,CBSZ,CThg,CTgw
1,1,Ken Whisenhunt,35,50,53,35,35,79,71,1,2,0,1,0,1023,103,7,5,58,40,75,11,1023,35,82,0,0,52,400,1,38,1,75,2,0,87,3,0,0,73,1,1,26,0,1,1,51,1023,50,75,85,1,85,4,90,73,77,0,82,4,1,95,1,0,32,3,0
1,1,Todd Bowles,89,50,48,85,75,50,49,0,0,0,2,17,6,113,3,31,57,82,50,71,1023,2,81,2,0,26,400,0,72,0,45,0,0,77,2,3,0,41,1,1,52,2,1,1,49,1023,53,50,85,2,85,2,76,72,78,0,82,0,1,95,1,0,184,0,0
1,1,Joe DeCamillis,38,50,53,41,38,45,41,1,0,0,3,1,17,14,3,31,55,40,43,25,1023,2,85,0,0,0,40,0,36,0,35,0,0,74,0,1,0,0,1,1,45,2,1,1,51,1023,50,42,99,3,99,0,85,72,70,0,72,0,1,95,0,0,36,0,0
1,1,Marvin Lewis,81,50,53,88,92,51,48,1,0,0,4,30,1023,108,5,31,62,92,50,48,1023,23,90,2,3,131,450,0,83,1,47,7,0,85,2,0,0,129,1,1,5,0,1,1,51,1023,56,52,85,0,85,7,60,72,91,0,87,0,1,95,1,0,132,0,0
1,1,Jay Gruden,42,50,53,40,41,82,63,0,0,0,5,9,17,14,26,31,53,42,74,25,1023,5,78,0,1,35,500,0,45,0,60,1,0,67,0,3,0,45,1,1,6,4,1,1,50,1023,56,72,85,1,85,2,76,73,75,0,75,0,1,5,0,0,4,0,0
1,1,Mike Zimmer,72,50,50,73,75,42,35,1,0,0,6,30,31,7,29,31,64,75,42,35,1023,2,74,0,1,59,400,0,76,0,40,3,0,61,3,1,0,41,1,1,7,2,1,1,51,1023,39,38,85,0,85,5,90,72,67,0,80,2,1,95,0,0,36,0,1
1,1,Darrin Simmons,39,50,53,37,36,45,37,0,1,0,7,30,2,14,1,31,47,44,45,25,1023,2,65,0,0,0,50,0,44,0,35,0,0,67,0,1,0,0,1,1,8,4,1,1,50,1023,50,39,99,3,95,0,65,72,68,0,68,0,1,95,0,0,36,0,0
1,1,Doug Marrone,39,50,53,35,39,62,71,1,0,0,8,9,17,105,26,31,56,40,79,33,1023,17,69,0,0,39,350,0,36,1,75,1,0,82,1,2,0,46,1,1,166,2,1,1,69,1023,51,76,85,0,85,3,85,72,72,0,77,2,1,95,1,0,0,0,0
1,1,Nate Hackett,42,50,53,42,48,82,63,0,0,0,9,17,20,14,19,31,41,42,72,28,1023,2,73,0,0,0,65,0,37,0,68,0,0,69,0,3,0,0,1,1,172,2,1,1,48,1023,50,76,85,1,85,0,90,72,75,0,68,0,1,95,0,0,36,0,0
1,1,Mike Pettine,87,50,53,84,75,53,54,1,0,0,10,19,20,16,25,31,54,80,54,30,1023,2,74,0,0,10,350,0,77,0,56,0,0,64,0,3,0,22,1,1,72,0,1,1,51,1023,50,52,85,2,85,0,60,68,64,0,70,0,1,5,0,0,36,0,0
1,1,Danny Crossman,70,50,53,75,60,38,36,1,0,0,11,30,12,18,2,31,53,70,40,31,1023,2,61,0,0,0,50,0,46,0,35,0,0,57,0,1,0,0,1,1,77,0,1,1,51,1023,50,39,85,3,85,0,90,72,60,0,56,0,1,95,0,0,36,0,0
1,1,Adam Gase,40,50,56,40,40,85,70,0,0,0,13,6,18,22,18,31,42,40,80,28,1023,2,87,0,0,30,55,0,40,0,50,1,0,70,1,3,0,35,1,1,200,5,1,1,37,1023,61,79,85,0,85,1,79,71,90,0,78,0,1,5,0,0,36,0,0
1,1,Jack Del Rio,74,50,53,68,68,50,67,1,1,0,14,24,26,24,16,17,57,76,51,44,1023,11,69,0,0,94,350,0,78,0,55,3,0,65,2,0,0,97,1,1,16,2,1,1,51,1023,59,55,85,2,85,3,90,72,80,0,77,1,1,95,0,0,116,0,0
1,1,Bill O'Brien,42,50,53,43,38,84,70,1,0,0,15,8,1023,14,21,31,51,42,78,52,1023,2,79,0,0,54,500,0,42,0,78,4,0,76,4,0,0,48,1,1,145,2,1,1,43,1023,32,75,85,0,85,5,65,72,75,0,82,2,1,5,0,0,36,0,0
1,1,Rob Chudzinski,45,50,53,46,40,70,68,0,0,0,16,4,1023,28,4,31,52,43,70,47,1023,29,68,0,0,4,75,0,40,0,66,0,0,60,0,0,0,12,1,1,83,2,1,1,50,1023,50,67,85,1,85,0,90,72,65,0,71,0,1,5,0,0,128,0,0
1,1,Norv Turner,35,50,53,37,40,90,70,0,0,0,17,30,1023,10,7,31,68,41,80,21,1023,1,66,0,1,118,75,0,45,0,82,4,0,60,4,0,0,126,1,1,30,2,1,1,51,1023,50,68,85,1,85,5,80,72,67,0,85,4,1,95,0,0,96,0,0
1,1,Chris Tabor,41,50,53,40,38,75,55,1,0,0,19,24,1,6,4,31,49,39,68,30,1023,2,80,0,0,0,50,0,36,0,40,0,0,70,0,3,0,0,1,1,21,2,1,1,48,1023,50,60,93,3,88,0,80,72,77,0,71,0,1,5,0,0,36,0,1
1,1,Duce Staley,40,50,53,40,40,40,77,1,0,0,20,12,1023,22,12,31,45,40,53,14,1023,2,75,4,0,0,75,0,40,0,49,0,0,80,0,0,0,0,1,1,15,0,1,1,49,1023,50,45,85,3,85,0,90,72,70,0,64,0,1,95,0,0,36,0,0
1,1,Mike Sullivan,43,50,53,45,41,75,60,0,0,0,21,5,1023,14,5,31,53,43,70,27,1023,2,73,0,0,0,50,0,38,0,56,0,0,80,0,0,0,0,1,1,23,2,1,1,49,1023,50,79,85,1,85,0,89,72,77,0,69,0,1,95,0,0,36,0,0
1,1,Chuck Pagano,80,50,53,81,85,80,60,1,0,0,23,7,1,14,12,16,60,80,75,31,1023,2,82,0,0,56,450,0,75,0,75,3,0,86,0,3,0,46,1,1,38,2,1,1,49,1023,51,73,85,2,85,3,73,72,77,0,85,3,1,5,0,0,36,0,0
1,1,Bruce Arians,52,50,48,53,48,89,83,0,0,0,24,17,6,111,28,31,68,50,85,31,1023,2,78,0,1,57,500,0,52,0,82,2,0,75,2,3,0,41,1,1,39,5,1,1,21,1023,61,81,85,0,85,5,70,72,85,0,96,1,1,95,0,0,24,0,1
1,1,Harold Goodwin,40,50,53,40,42,60,71,0,0,0,25,33,1023,111,6,31,47,42,73,56,1023,37,69,7,0,0,65,1,43,0,88,0,0,66,9,0,0,0,1,1,197,1,1,1,49,1023,50,65,85,1,85,11,90,71,71,0,70,0,1,5,1,0,152,0,1
1,1,Amos Jones,45,50,53,45,58,36,49,1,0,0,27,25,1023,6,6,31,61,48,42,30,1023,5,73,0,0,0,75,0,55,0,43,0,0,55,0,0,0,0,1,1,117,5,1,1,51,1023,50,45,97,3,95,0,56,72,70,0,75,0,1,95,0,0,4,0,0
