PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
45,0,0,0,0,30,Robbie,Gould,725,75,0,0,86,64,0,6,29,15,29,58,38,0,0,65,2,4,4,15,0,0,52,0,63,1009,90,23,16,20,0,8,17,0,2,0,0,0,0,0,164,45,87,2,2,3,3,0,0,0,9,0,3,0,1,0,0,15,29,80,27,15,3378,40,0,1,100,94,25,90,90,0,0,0,0,1,2,72,10,5,20,7,10,5,0,19,19,5,2,9,5,725,0,72,30,999,10,3,-31,0,0,150
45,4,4,4,4,10,Greg,Olsen,700,95,0,375,22,84,0,7,37,28,37,82,35,0,0,89,2,4,4,83,0,0,78,0,31,1009,84,40,63,61,0,8,64,0,1,0,0,0,0,0,115,37,81,0,0,1,3,75,0,1,88,1,1,375,3,55,0,1,20,80,85,13,37,73,0,1,100,26,70,79,85,0,0,0,0,3,25,60,0,0,10,11,0,0,0,4,4,8,2,29,25,700,0,77,95,928,6,0,7,0,0,150
45,7,7,7,7,6,Al,Woods,250,71,0,50,22,80,0,4,58,1008,58,68,33,0,0,75,2,4,4,37,0,0,67,2,25,1009,88,84,45,45,0,8,10,0,0,0,0,0,0,0,106,40,43,0,0,1,3,9,0,0,97,1,1,50,3,84,0,4,20,75,70,10,1074,25,0,1,100,19,93,82,72,3,3,3,3,9,36,30,24,58,31,13,18,23,0,12,10,47,16,41,24,250,0,76,170,999,10,0,-19,0,0,416
45,4,4,4,4,6,Carlos,Dunlap II,4795,82,0,900,10,86,0,4,86,28,86,82,31,0,0,65,1,4,4,49,0,0,82,2,22,2,86,86,45,45,0,8,31,0,0,0,9,9,9,9,62,39,41,0,0,2,3,26,0,0,43,2,4,900,3,85,0,2,10,79,84,10,598,41,0,1,100,8,79,89,83,4,4,4,4,3,30,29,22,46,23,8,21,11,1,11,10,7,5,31,28,4795,0,78,125,999,10,0,-19,0,0,460
40,5,5,5,5,6,Geno,Atkins,7475,84,0,1300,20,83,0,4,89,2,89,77,32,0,0,80,1,7,7,25,0,0,70,2,22,1015,84,83,45,45,0,8,25,0,0,0,0,0,0,0,70,2,38,1,1,3,3,27,0,1,97,0,5,1300,3,48,0,4,25,78,76,10,377,40,0,1,100,20,90,85,80,0,0,0,0,32,35,34,26,34,32,7,25,35,0,12,12,87,28,38,22,7475,0,73,140,999,10,10,-19,0,0,69
4,2,2,2,2,6,Andre,Smith,107,80,0,3,29,75,0,7,93,1008,93,58,33,0,0,90,1,4,4,23,0,0,54,2,6,1009,86,14,67,70,0,8,8,5,0,0,0,0,0,0,3,45,0,0,0,1,3,3,0,0,76,0,1,3,3,86,0,1,16,64,64,11,1657,40,0,1,100,14,84,63,75,3,3,3,3,7,32,34,19,43,32,9,17,37,0,9,9,2,24,34,24,107,0,76,165,999,10,0,-19,0,0,386
45,0,0,0,0,30,Kevin,Huber,810,90,0,105,71,78,0,7,96,2,96,68,35,0,0,50,2,4,4,31,0,0,62,0,6,1015,95,22,19,22,0,8,9,0,4,0,0,0,0,0,36,45,69,2,2,1,3,49,1,0,10,0,3,105,1,92,0,5,42,71,39,11,758,35,0,1,100,90,55,81,80,0,0,0,0,5,18,79,41,20,38,13,12,15,0,20,20,49,5,9,6,810,0,73,50,999,10,11,-19,0,0,72
45,0,0,0,0,30,Mike,Nugent,105,92,0,0,67,79,0,7,114,7,114,72,38,0,0,65,2,4,4,16,0,0,52,0,15,1009,90,25,17,16,0,8,14,0,4,0,0,0,0,0,156,45,0,1,1,1,3,50,0,0,2,1,1,0,1,88,0,2,28,67,32,15,748,40,0,1,100,91,34,76,74,0,0,0,0,0,7,70,10,5,20,12,10,5,0,19,19,5,5,9,9,105,0,70,30,723,10,1,-31,0,0,150
13,7,7,7,7,6,Johnathan,Joseph,105,96,0,0,11,89,0,0,116,1008,116,89,36,0,0,68,2,4,4,74,0,0,85,2,24,1009,85,58,35,35,0,8,32,0,0,0,0,0,0,0,176,45,74,0,0,1,3,26,0,1,25,2,1,0,3,0,0,1,27,74,88,14,67,60,0,1,100,10,61,80,78,0,0,0,0,2,17,94,10,0,20,10,10,5,0,16,16,5,3,0,8,105,0,71,26,840,64,0,7,0,0,195
2,3,3,3,3,6,Andrew,Whitworth,3000,90,0,498,28,72,0,0,118,24,118,62,39,0,0,88,2,7,7,24,0,0,58,0,23,1009,89,37,89,87,0,8,9,0,3,0,0,0,0,0,106,26,48,0,0,3,3,46,1,1,77,1,3,498,3,50,0,2,35,87,65,14,49,40,0,0,100,20,92,87,95,5,5,5,5,10,37,26,25,11,22,8,24,21,0,5,5,20,27,45,28,3000,0,79,170,999,13,3,-31,0,0,308
5,2,2,2,2,6,Domata,Peko,105,66,0,0,30,71,0,9,121,7,121,56,36,0,0,84,2,4,4,25,0,0,56,1,26,1009,92,79,50,66,0,8,10,0,2,0,0,0,0,0,118,45,0,0,0,1,3,0,0,0,90,2,1,0,3,80,0,4,27,73,62,14,75,40,0,1,100,33,90,70,82,0,0,0,0,35,35,14,21,19,42,13,20,22,0,11,12,19,29,43,27,105,0,75,165,999,10,0,-31,0,0,217
45,2,2,2,2,6,Clark,Harris,223,75,0,12,18,79,0,11,125,2,125,73,36,0,0,81,2,4,4,67,0,0,68,0,33,1009,88,39,60,51,0,8,20,0,2,0,0,0,0,0,175,45,0,1,1,1,3,75,0,0,46,2,2,12,2,60,0,7,35,44,70,13,2479,65,0,1,100,29,74,47,66,0,0,0,0,3,27,69,0,0,10,12,0,0,0,7,4,8,8,37,20,223,0,77,90,999,10,11,-31,0,0,154
45,0,0,0,0,10,Morgan,Cox,560,71,0,70,18,77,0,4,161,25,161,66,34,0,0,78,2,4,4,58,1,0,65,0,63,1009,90,65,56,50,0,8,26,0,2,0,4,4,4,4,211,45,0,0,0,1,3,7,0,0,46,2,5,70,1,60,0,15,22,29,48,10,2785,67,0,1,100,29,73,45,73,3,3,3,3,0,22,70,11,20,34,8,8,17,0,7,4,12,0,32,14,560,0,76,75,999,10,10,-19,0,0,260
5,0,0,0,0,81,Ryan,Fitzpatrick,1350,82,0,0,19,79,0,7,211,12,211,70,38,0,0,81,2,4,4,31,0,0,72,0,36,1009,89,12,13,40,0,0,66,0,4,0,0,0,0,0,75,45,51,0,0,1,3,0,0,0,14,2,2,0,3,0,0,7,86,74,66,15,977,63,0,1,100,12,57,75,79,2,2,6,6,3,17,66,10,5,20,7,10,5,0,0,0,6,7,22,10,1350,0,74,68,999,10,1,-31,0,1,150
45,0,0,0,0,6,Garrison,Sanborn,0,78,0,0,18,75,0,7,229,1009,229,64,35,0,0,75,2,4,4,50,0,0,67,0,63,1009,91,66,55,45,0,8,16,0,4,0,7,7,7,7,64,45,0,0,0,0,3,0,0,0,89,1,0,0,1,60,0,15,35,39,59,11,1380,55,0,1,100,29,77,39,62,0,0,0,0,2,28,59,15,15,20,12,15,15,0,7,4,7,3,25,12,0,0,73,80,999,10,1,-31,0,0,120
45,2,0,2,0,6,Ben,Garland,200,81,0,0,14,77,0,7,234,1008,234,65,32,0,0,89,2,4,4,40,0,0,67,0,63,1009,92,65,70,76,0,8,5,0,4,0,0,0,0,0,1,45,0,0,0,1,3,25,0,0,63,2,1,0,2,15,0,15,34,71,84,10,1297,45,0,1,100,14,84,71,85,0,1,0,1,3,31,43,25,11,27,10,19,38,0,7,8,100,7,38,22,200,0,77,144,999,15,1,-19,0,0,403
45,0,0,0,0,12,Jon,Weeks,105,70,0,0,18,71,0,7,242,32,242,69,34,0,0,84,1,4,4,64,0,0,68,0,63,1009,90,65,55,47,0,8,20,0,2,0,0,0,0,0,17,45,0,0,0,1,3,45,0,0,46,2,1,0,1,60,0,15,40,28,54,10,2702,65,0,1,100,29,69,42,73,0,0,2,2,6,24,60,15,10,20,8,15,10,0,7,4,6,9,23,20,105,0,70,82,999,10,10,-31,0,0,166
45,0,0,0,0,32,Matt,Prater,1572,75,0,360,86,78,0,7,308,19,308,72,36,0,0,50,2,4,4,35,0,0,46,0,63,1009,85,20,20,20,0,8,5,0,1,0,0,0,0,0,225,45,61,2,2,1,3,55,0,1,5,0,4,360,1,65,0,15,45,80,40,14,156,40,0,1,100,98,43,89,85,0,0,0,0,4,12,80,3,11,27,7,0,13,0,19,19,0,0,9,11,1572,0,70,41,999,10,6,-31,0,0,150
45,0,0,0,0,27,Britton,Colquitt,900,88,0,213,82,71,0,7,322,31,322,65,35,0,0,55,2,4,4,22,0,0,60,0,63,1009,91,25,15,16,0,8,5,0,4,0,0,0,0,0,211,45,67,3,3,3,3,46,0,1,2,0,3,213,1,60,0,15,42,75,40,11,222,47,0,1,100,90,35,85,83,0,0,0,0,2,8,71,47,22,39,10,17,13,0,20,20,43,3,7,8,900,0,75,50,999,11,1,-19,0,0,419
45,2,2,2,2,24,John,Denney,0,81,0,0,18,78,0,11,360,1009,360,66,42,0,0,84,1,4,4,62,0,0,67,0,63,1009,90,66,55,50,0,8,41,7,2,0,0,0,0,0,26,45,0,0,0,0,3,0,0,0,92,1,0,0,2,60,0,15,22,49,44,15,2533,57,0,1,100,29,76,49,85,3,3,3,3,5,27,60,15,12,20,9,15,18,0,7,7,10,0,22,21,0,0,77,95,999,10,2,-31,0,0,516
2,4,4,4,4,6,Joe,Haden,2133,98,0,1120,11,90,2,3,365,29,365,88,31,0,0,83,2,0,4,76,0,0,89,2,7,1009,95,53,35,35,0,7,75,0,0,0,1,1,1,1,62,29,39,0,0,1,3,33,0,1,23,2,2,1120,3,0,0,1,35,81,93,10,111,60,0,1,100,10,66,85,87,2,2,2,2,2,23,88,39,15,30,9,7,5,2,16,16,7,3,9,5,2133,0,71,35,999,74,3,-19,0,0,88
45,0,0,0,0,75,Colt,McCoy,225,73,0,0,32,83,0,7,366,16,366,75,34,0,1,83,1,4,4,47,0,0,76,0,21,1009,86,27,18,17,0,0,61,0,4,0,0,0,0,0,214,45,0,0,0,1,3,35,0,0,12,2,1,0,3,80,0,3,78,61,65,10,576,65,0,1,100,30,46,67,74,0,0,2,2,4,13,80,37,19,37,7,9,7,0,0,0,54,0,12,11,225,0,73,52,999,10,0,-19,0,0,286
2,5,5,5,5,6,Alex,Mack,4500,90,0,1150,16,78,0,7,373,14,373,62,35,0,0,88,2,4,4,29,0,0,68,0,21,1009,98,26,81,91,0,8,8,0,2,0,0,0,0,0,28,24,49,0,0,1,3,6,0,1,51,0,5,1150,3,85,0,1,17,87,70,11,1665,55,0,1,100,19,92,88,91,3,3,3,3,10,36,27,18,19,30,13,21,43,0,7,7,100,22,28,29,4500,0,76,151,999,10,4,-19,0,0,239
45,0,0,0,0,30,Justin,Tucker,2514,85,0,800,97,83,0,7,443,25,443,75,31,0,0,62,2,4,4,52,0,0,64,0,63,1009,95,13,17,12,0,8,5,0,2,0,7,7,7,7,214,45,84,0,0,4,3,45,0,0,9,1,5,800,1,0,0,15,28,87,36,8,172,35,0,1,100,99,40,96,92,5,5,5,5,3,10,98,10,6,20,8,10,6,0,19,19,5,5,7,7,2514,0,73,23,999,10,8,-19,0,0,329
2,6,6,6,6,10,Don,Muhlbach,114,72,0,9,13,67,3,4,452,19,452,65,39,0,0,75,0,4,4,52,0,0,61,0,63,1009,94,55,52,57,0,8,20,0,2,0,0,0,0,0,215,45,0,0,0,1,3,68,0,0,48,0,1,9,3,85,0,15,36,47,49,16,2608,70,0,1,100,23,77,47,77,2,2,2,2,6,28,40,27,38,24,10,6,52,0,7,4,3,4,34,24,114,0,76,98,999,10,16,-19,0,0,252
4,0,0,0,0,75,Blaine,Gabbert,118,68,0,0,22,81,0,7,460,6,460,81,31,0,1,88,1,4,4,28,0,0,79,0,10,1009,90,26,24,20,0,8,54,0,4,0,8,8,8,8,122,45,0,0,0,1,3,47,0,0,11,1,1,0,3,80,0,1,83,62,74,9,85,50,0,1,100,22,66,68,69,0,0,0,0,5,23,72,10,5,41,12,10,5,0,0,0,6,9,34,13,118,0,76,75,999,10,1,-19,0,0,323
45,0,0,0,0,82,Cam,Newton,175,85,0,0,22,87,0,5,461,22,461,84,31,0,0,99,2,7,7,72,0,0,85,2,1,1009,84,44,32,34,0,0,78,0,0,0,7,7,7,7,14,20,84,0,0,1,3,6,0,1,1,1,1,0,3,85,0,1,91,76,85,9,991,71,0,1,100,24,81,79,76,6,6,6,6,4,30,56,10,10,33,7,10,10,1,0,0,6,1,18,21,175,0,77,85,999,14,0,-19,0,0,400
45,3,3,3,3,6,Ted,Larsen,0,83,0,0,21,76,0,7,473,1009,473,62,33,0,0,85,1,4,4,25,0,0,65,0,36,1009,92,37,60,64,0,8,8,0,4,0,0,0,0,0,138,45,0,0,0,0,3,55,0,0,62,2,0,0,3,0,0,6,30,54,54,10,270,30,0,1,100,22,80,54,69,0,0,0,0,20,30,31,23,22,40,10,26,39,0,8,6,87,41,42,28,0,0,75,163,999,10,0,-19,0,0,260
45,0,0,0,0,83,Andy,Dalton,300,82,0,200,19,80,0,7,523,11,523,74,33,0,0,93,2,4,4,60,0,0,74,0,3,1009,96,15,13,14,0,0,47,9,3,0,1,1,7,7,207,45,46,0,0,1,3,2,0,1,14,2,1,200,3,0,0,2,87,72,66,9,1273,64,0,1,100,12,54,74,72,2,2,6,6,0,17,78,32,24,52,10,11,0,0,0,0,12,5,6,11,300,0,74,60,999,10,0,-19,0,0,380
13,4,4,4,4,30,Mark,Ingram,1500,89,0,399,25,91,2,4,528,25,528,88,31,2,1,95,2,4,4,72,0,0,86,2,28,1009,86,25,68,46,0,8,80,6,0,0,0,0,0,0,3,5,49,0,0,2,3,44,0,0,21,0,3,399,3,85,0,1,35,78,80,9,1645,89,0,1,100,25,82,86,86,6,6,6,6,5,30,87,57,42,60,7,32,38,2,1,1,36,0,10,5,1500,1,69,55,999,45,1,-19,0,0,32
45,6,6,6,6,10,Virgil,Green,860,86,0,240,12,88,0,4,547,8,547,84,32,0,0,68,1,4,4,76,0,0,82,2,1,1009,88,40,68,67,0,8,72,0,0,0,0,0,0,0,143,45,0,0,0,1,3,3,0,0,88,2,3,240,3,79,0,7,24,72,86,9,368,72,0,1,100,19,72,78,75,5,5,5,5,7,26,54,0,20,48,13,5,21,0,4,4,60,3,26,23,860,1,77,95,999,7,2,-19,0,0,518
45,4,4,4,4,15,Anthony,Sherman,118,87,0,13,20,85,0,4,557,9,557,77,32,0,1,91,1,4,4,70,0,0,72,0,5,7,95,69,63,69,0,8,39,0,2,0,0,0,0,0,227,45,71,0,0,1,3,10,0,0,42,0,1,13,3,89,0,5,35,77,79,9,1313,72,0,1,100,20,83,73,82,2,2,2,2,4,32,59,29,34,58,10,46,49,0,2,2,2,6,39,20,118,0,70,82,999,10,7,-19,0,0,154
2,7,7,7,7,15,A. J.,Green,1786,90,0,0,15,86,0,4,559,2,559,87,32,0,0,82,1,6,6,87,0,0,85,2,4,1015,84,35,28,51,0,8,83,0,0,0,0,0,0,0,70,37,24,0,0,1,3,6,0,1,18,2,1,0,3,97,0,1,41,81,93,9,968,74,0,1,100,19,72,83,84,0,0,0,0,3,26,74,28,14,44,9,7,15,0,3,3,44,4,8,8,1786,0,76,50,999,67,9,-19,0,0,16
45,5,5,5,5,10,Andre,Roberts,140,80,0,0,15,89,0,10,563,3,563,88,32,0,1,75,0,4,4,80,0,0,89,2,24,1009,88,29,30,43,0,8,80,0,0,0,0,0,0,0,37,11,9,0,0,1,3,80,0,0,18,0,1,0,3,79,0,3,38,70,85,10,309,64,0,1,100,22,57,77,78,0,0,0,0,4,14,71,10,5,20,10,10,5,0,3,3,3,3,5,10,140,0,71,35,999,91,1,-19,0,0,247
