PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
20,3,3,4,4,84,Trevor,Lawrence,3679,90,0,2412,23,89,0,9,1,17,1,87,24,0,0,91,0,4,4,50,0,0,87,0,1,1015,92,27,16,21,0,8,74,0,1,0,0,0,0,0,38,45,100,0,0,2,3,65,0,0,16,2,4,2412,1,75,0,1,93,82,81,2,4010,66,0,1,100,27,69,85,83,0,0,0,0,3,24,84,44,26,6,12,19,9,0,0,0,65,0,6,7,3679,0,78,53,1023,13,2,-19,0,0,474
18,0,0,0,0,75,Zach,Wilson,3515,81,0,2292,45,88,0,7,2,18,2,83,24,0,0,87,0,4,4,60,0,0,84,0,2,1015,83,23,15,18,0,8,63,0,4,0,0,0,0,0,26,12,100,0,0,2,3,65,0,0,2,0,4,2292,1,75,0,1,93,69,74,2,4030,66,0,1,100,57,61,70,62,0,0,0,0,5,20,65,18,16,9,7,0,0,0,0,0,8,1,5,8,3515,0,74,54,1023,10,2,-19,0,0,362
45,0,0,0,0,78,Trey,Lance,3410,84,0,2216,18,91,0,7,3,11,3,87,23,0,0,89,0,0,0,51,0,0,89,2,3,15,86,52,18,27,0,7,77,0,0,0,8,8,8,8,315,12,71,0,0,2,3,60,0,0,15,1,4,2216,0,0,0,1,91,71,82,2,3951,68,0,1,100,29,71,70,56,1,1,0,0,5,26,53,6,9,18,9,3,11,1,0,0,10,8,18,13,3410,0,76,64,1023,43,0,-19,0,0,376
18,0,0,0,0,79,Justin,Fields,1887,89,0,1108,18,95,0,7,4,1,4,93,24,0,0,94,0,0,0,32,0,0,93,1,11,1015,91,24,16,30,0,8,80,0,0,0,0,0,0,0,156,12,84,0,0,2,3,60,0,0,1,1,4,1108,0,90,0,1,91,76,84,2,37,59,8,1,100,19,65,84,65,5,5,0,0,3,22,62,15,25,20,9,5,30,0,0,0,10,10,23,11,1887,0,75,68,1023,35,2,-30,0,0,480
19,0,0,0,0,82,Mac,Jones,1558,86,0,868,29,80,0,7,5,22,5,80,25,0,0,91,0,0,0,28,0,0,81,0,15,1015,90,18,14,32,0,7,36,0,4,0,9,9,9,9,3,12,0,0,0,2,3,47,0,0,10,2,4,868,0,77,0,1,85,74,75,2,4145,68,0,1,100,41,60,74,73,1,1,7,7,0,20,66,9,11,18,8,6,16,0,0,0,55,3,8,7,1558,0,75,57,1023,10,2,-19,0,0,68
45,0,0,3,3,76,Kyle,Trask,553,79,0,136,38,80,0,7,7,6,7,70,25,0,0,87,0,4,4,33,0,0,78,0,32,1015,87,26,14,17,0,7,44,0,1,0,0,0,0,0,62,45,100,0,0,2,3,65,0,0,2,2,4,136,1,75,0,2,84,59,77,2,1404,62,0,1,100,48,57,64,61,0,0,0,0,1,18,61,33,15,26,10,4,3,0,0,0,35,7,34,11,553,0,77,76,1023,14,2,-19,0,0,81
45,0,0,0,0,73,Kellen,Mond,433,86,0,0,16,87,0,4,8,33,8,85,24,0,0,93,0,4,4,36,0,0,86,2,2,1009,93,28,18,22,0,8,68,8,0,0,0,0,0,0,215,45,0,0,0,2,3,5,0,0,7,1,4,0,3,85,0,3,88,62,78,2,4328,59,8,1,100,20,66,63,52,0,0,0,0,2,23,82,6,11,52,13,9,21,0,0,0,36,1,5,5,433,0,75,51,1023,23,1,-19,0,0,416
45,0,0,0,0,80,Davis,Mills,522,77,0,116,41,76,0,4,9,32,9,78,25,0,0,88,0,0,0,22,0,0,79,0,3,1015,88,19,14,16,0,8,38,0,1,0,0,0,0,0,200,45,0,2,3,2,3,54,0,0,10,2,4,116,0,73,0,3,87,67,77,2,4314,61,0,1,100,54,56,71,67,2,0,2,0,5,18,51,8,23,19,11,7,9,0,0,0,54,5,21,14,522,0,76,65,1023,10,2,-19,0,0,145
45,3,3,0,0,69,Sam,Ehlinger,361,86,0,12,14,79,0,7,10,10,10,78,25,0,0,90,0,4,4,69,0,0,82,0,34,1015,86,27,18,25,0,8,70,0,1,0,0,0,0,0,214,45,100,0,0,2,3,65,0,0,4,2,4,12,1,75,0,6,83,57,85,2,3659,65,0,1,100,18,67,59,56,0,0,0,0,4,24,69,23,4,30,10,14,20,0,0,0,64,9,18,12,361,0,73,62,1023,10,2,-19,0,0,130
45,0,0,0,0,71,Feleipe,Franks,242,78,0,0,53,85,0,7,12,33,12,84,26,0,1,88,0,4,4,74,0,0,78,0,63,1009,89,26,46,47,0,7,59,0,0,0,8,8,8,8,10,45,0,0,0,1,3,47,0,0,15,1,3,0,3,80,0,15,90,60,79,2,4853,66,0,1,100,61,65,54,58,0,0,0,0,4,22,67,10,5,41,12,10,5,0,4,0,6,8,18,10,242,0,78,74,1023,40,2,-19,0,0,359
45,0,0,3,3,70,Ian,Book,347,80,0,0,52,83,0,4,13,33,13,83,25,0,0,83,0,4,4,30,0,0,83,0,28,1009,91,23,17,24,0,7,57,0,2,0,0,0,0,0,152,45,100,0,0,2,3,65,0,0,19,1,4,0,1,75,0,4,82,56,79,2,4267,63,0,1,100,58,58,55,44,0,0,0,0,2,19,68,43,6,30,9,12,18,0,0,0,42,5,6,10,347,0,72,46,1023,31,1,-19,0,0,252
45,0,0,0,0,73,Shane,Buechele,0,76,0,0,21,77,0,5,15,1009,15,75,25,0,0,86,0,4,4,32,0,0,72,0,63,1009,89,19,20,24,0,8,37,0,2,0,0,0,0,0,192,45,100,0,0,0,3,65,0,0,6,2,0,0,1,75,0,15,82,52,74,2,4051,63,0,1,100,24,51,59,53,0,0,0,0,3,24,63,34,26,28,11,11,28,0,0,0,33,3,5,10,0,0,72,50,1023,10,2,-19,0,0,267
23,5,5,5,5,40,Travis,Etienne,1289,88,0,672,17,94,0,4,17,17,17,93,24,0,0,88,0,4,4,69,0,0,89,2,25,1015,87,34,52,34,0,7,84,0,0,0,0,0,0,0,38,12,100,0,0,2,1,65,0,0,1,1,4,672,1,75,0,1,49,84,84,2,4012,86,0,1,100,19,70,88,84,0,0,0,0,5,25,66,34,47,45,10,28,42,0,1,1,60,5,8,12,1289,0,70,55,1023,79,2,-19,0,0,384
45,7,7,7,7,10,Javonte,Williams,886,88,0,380,14,91,0,7,18,4,18,88,23,0,0,88,0,0,0,70,0,0,85,2,3,1015,88,35,60,52,0,7,96,0,0,0,0,0,0,0,135,21,70,0,0,2,3,16,0,0,33,0,4,380,0,70,0,2,32,82,87,2,992,90,0,1,100,18,80,91,79,0,0,0,0,1,30,71,16,30,40,12,35,25,0,1,1,1,2,8,7,886,0,70,60,1023,42,2,-19,0,0,400
