CFDA,CFFA,CLNA,CRSA,CDTA,COTA,CRDB,CRLB,CRQB,CRRB,CSPC,CCTC,CFUC,CCID,CDID,TGID,CHID,CPID,CHSD,CAGE,CDEF,COFF,CPSF,CLTF,CFSH,CETH,CSKI,CCTI,CCWI,CSAL,CSBL,CRDL,CFHL,CROL,CCPL,CWPL,CCHM,CCPM,CCLN,CFCO,CCLO,CFDP,CFRP,CSXP,CHAR,CFFR,CFRR,CDTR,CLTR,COTR,CRWR,CRKS,COPS,CRPS,CCWS,CRBT,CHGT,CMOT,CSBW,CKNW,CCPW,CFEX,CDTY,CHTY,COTY,CBSZ,CThg,CTgw
1,1,Todd Bowles,78,50,48,91,90,79,80,0,0,0,2,17,6,113,5,31,62,87,77,71,1023,2,79,2,0,43,500,0,90,0,84,2,0,82,0,2,0,58,1,1,52,2,1,1,49,1023,53,82,83,0,84,2,65,72,81,0,85,1,1,95,1,0,184,0,0
1,1,Dan Pitcher,72,50,53,73,68,80,77,0,0,0,4,30,2,16,1,31,38,58,83,14,1023,2,83,0,0,0,100,0,74,0,78,0,0,76,0,3,0,0,1,1,2,0,1,1,49,1023,50,79,78,1,78,0,90,72,78,0,80,0,1,5,0,0,172,0,0
1,1,Bobby Babich,87,50,53,90,88,73,71,0,0,0,6,2,3,100,2,31,42,81,58,68,1023,5,78,0,0,0,100,0,83,0,76,0,0,73,0,3,0,0,1,1,3,0,1,1,49,1023,50,73,78,2,78,0,90,72,77,0,79,0,1,95,0,0,92,0,0
1,1,Darrin Simmons,58,50,53,58,58,58,58,0,1,0,7,30,2,14,1,31,52,58,58,25,1023,2,83,0,0,0,100,0,58,0,58,0,0,78,0,3,0,0,1,1,8,4,1,1,50,1023,50,58,88,3,87,0,65,72,80,0,82,0,1,95,0,0,36,0,0
1,1,Liam Coen,72,50,53,76,73,81,79,0,0,0,8,23,17,26,23,31,40,58,85,25,1023,2,82,0,0,0,500,0,75,0,78,0,0,77,2,4,0,0,1,1,11,2,1,1,49,1023,50,82,78,0,78,0,90,72,79,0,82,0,1,95,1,0,172,0,0
1,1,Nate Hackett,74,50,53,80,77,86,83,0,0,0,9,19,1009,14,19,31,46,58,85,28,1023,2,81,0,0,4,100,0,78,0,82,0,0,77,0,3,0,11,1,1,172,2,1,1,48,1023,50,84,78,1,78,0,79,72,82,0,79,0,1,95,0,0,36,0,0
1,1,Mike Pettine,87,50,53,84,75,53,54,1,0,0,10,19,1009,16,25,31,59,80,54,30,1023,2,74,0,0,10,100,0,77,0,56,0,0,64,0,0,0,22,1,1,15,0,1,1,51,1023,50,52,75,2,75,0,60,68,64,0,70,0,1,5,0,0,36,0,0
1,1,Danny Crossman,58,50,53,58,58,58,58,1,0,0,11,11,1009,18,2,31,58,58,58,31,1023,2,80,0,0,0,100,0,58,0,58,0,0,75,0,3,0,0,1,1,77,0,1,1,51,1023,50,58,81,3,80,0,90,72,79,0,77,0,1,95,0,0,36,0,0
1,1,Jim Harbaugh,76,50,53,89,83,92,87,1,0,0,12,24,8,109,24,31,62,89,86,35,1023,2,89,0,1,44,1200,1,85,0,86,3,0,92,9,5,0,19,1,1,141,2,1,1,39,1023,43,88,89,0,88,13,79,72,91,0,95,5,1,5,0,0,92,0,0
1,1,Jesse Minter,87,50,53,88,89,76,75,1,1,0,13,3,8,101,3,16,42,82,58,28,1023,2,80,0,0,0,100,0,90,0,78,0,0,75,0,3,0,0,1,1,24,2,1,1,51,1023,50,77,78,2,78,0,75,72,78,0,80,0,1,5,0,0,92,0,0
1,1,Mike Zimmer,90,50,53,89,91,61,61,1,1,0,16,3,1009,104,3,16,69,94,61,55,1023,2,91,0,1,72,100,0,92,0,61,3,0,87,0,3,0,56,1,1,34,2,1,1,51,1023,50,61,85,2,84,0,75,72,89,0,93,2,1,95,0,0,92,0,0
1,1,Zac Robinson,69,50,53,71,69,80,76,0,0,0,17,0,14,101,0,31,39,58,80,67,1023,2,78,0,0,0,100,0,72,0,75,0,0,73,0,3,0,0,1,1,40,2,1,1,51,1023,50,77,78,1,78,0,90,73,75,0,76,0,1,95,0,0,92,0,0
