PRL2,PLHA,TLHA,PRHA,TRHA,PTHA,PFNA,PLNA,PTSA,PSTA,PFPB,PVSB,PKAC,PACC,PMPC,PHED,PGID,TGID,POID,PSPD,PAGE,PBRE,PEYE,PTGH,PCPH,PLSH,PRSH,PCTH,PLTH,PRTH,PAGI,PSKI,PDPI,PPTI,PINJ,PTAK,PPBK,PRBK,PNEK,PFMK,PBTK,PTAL,PHCL,PUCL,PLEL,TLEL,PREL,TREL,PCOL,PROL,PLPL,PGSL,PTSL,PCYL,PHLM,PSTM,PHAN,PICN,PJEN,PTEN,PCON,PSBO,PVCO,PEGO,PFHO,PDRO,PTHP,PIMP,PJMP,PYRP,PSXP,PCAR,PTAR,PJER,PMOR,PKPR,PSTR,POVR,PAWR,PLWR,TLWR,PRWR,TRWR,PFAS,PMAS,PSBS,PFCS,PMCS,PFGS,PCHS,PFHS,PMHS,PVIS,PPOS,POPS,PLSS,PFTS,PMTS,PUTS,PVTS,PMUS,PHGT,PWGT,PCMT,PKRT,PYWT,PLHY,PJTY,PSTY,PFEx
20,3,3,4,4,86,Trevor,Lawrence,29136,92,0,5250,23,88,0,9,1,17,1,88,26,0,0,91,1,4,4,50,0,0,88,0,1,1015,88,27,16,21,0,0,76,0,1,0,0,0,0,0,38,45,100,0,0,6,0,65,0,0,16,1,7,5250,1,75,0,1,92,74,81,4,4010,66,0,1,100,27,69,87,86,0,0,0,0,3,24,91,44,26,6,13,19,9,0,0,0,65,0,8,12,29136,0,78,60,1023,13,4,-19,0,0,474
18,0,0,0,0,75,Zach,Wilson,220,81,0,95,45,87,0,7,2,12,2,83,26,0,0,87,1,4,4,60,0,0,84,0,2,1009,83,23,15,18,0,0,63,0,4,0,0,0,0,0,26,12,100,0,0,1,0,65,0,0,0,2,1,95,1,75,0,1,93,67,74,4,4030,66,0,1,100,57,61,66,52,0,0,0,0,1,20,74,18,16,9,11,0,0,0,0,0,8,2,13,9,220,0,74,54,1023,10,0,-19,0,0,362
45,0,0,0,0,75,Trey,Lance,204,84,0,33,18,90,0,7,3,8,3,87,25,0,0,89,0,0,0,51,0,0,89,2,3,15,86,52,18,27,0,0,77,0,0,0,8,8,8,8,315,12,71,0,0,1,0,60,0,0,5,1,1,33,0,0,0,1,91,64,82,4,3951,68,0,1,100,29,71,58,32,1,1,0,0,3,26,54,6,9,18,9,3,11,1,0,0,10,9,18,10,204,0,76,66,1023,43,0,-19,0,0,376
18,0,0,0,0,80,Justin,Fields,3100,89,0,600,18,96,0,7,4,18,4,92,26,0,0,94,1,0,0,32,0,0,91,2,11,1009,91,24,16,29,0,11,79,0,0,0,0,0,0,0,156,12,84,0,0,2,4,60,0,0,7,1,2,600,0,90,0,1,91,73,84,4,37,58,8,1,100,19,65,71,55,5,5,0,0,2,22,65,15,25,20,9,5,30,0,0,0,10,7,30,14,3100,0,75,67,1023,62,0,-30,0,0,480
19,0,0,0,0,85,Mac,Jones,653,82,0,84,29,81,0,7,5,15,5,84,27,0,0,91,1,0,0,28,0,0,81,0,15,1009,90,18,14,32,0,0,36,0,4,0,9,9,9,9,3,12,0,0,0,2,0,47,0,0,10,0,2,84,0,77,0,1,86,70,75,4,4145,65,0,1,100,41,60,79,77,1,1,7,7,3,20,87,9,11,18,12,6,16,0,0,0,55,1,5,10,653,0,75,60,1023,10,0,-19,0,0,68
45,7,7,5,5,9,Jordan,Williams,8,75,0,0,20,86,0,4,6,251,6,82,28,0,0,69,1,4,4,44,0,0,79,2,63,1009,70,78,14,14,0,0,21,0,0,0,0,0,0,0,17,45,100,0,0,1,0,65,0,0,15,2,1,0,1,75,0,15,15,60,81,2,0,31,0,1,100,16,73,65,65,0,0,0,0,3,26,60,48,56,4,12,25,23,0,14,14,42,8,21,13,8,0,72,63,1023,7,1,-19,0,0,259
45,0,0,3,3,76,Kyle,Trask,0,79,0,0,38,79,0,7,7,1009,7,69,27,0,0,87,1,4,4,33,0,0,77,0,32,1015,87,26,14,17,0,0,44,0,1,0,0,0,0,0,62,45,100,0,0,0,0,65,0,0,16,0,0,0,1,75,0,2,84,59,77,4,1404,62,0,1,100,48,57,63,60,0,0,0,0,3,18,60,33,15,26,7,4,3,0,0,0,35,1,34,14,0,0,77,76,1023,14,4,-19,0,0,81
45,0,0,0,0,89,Kellen,Mond,8,86,0,0,16,86,0,4,8,251,8,85,26,0,0,92,1,4,4,36,0,0,86,2,2,1009,93,28,18,22,0,0,68,8,0,0,0,0,0,0,215,45,0,0,0,1,0,5,0,0,12,1,1,0,3,85,0,3,88,60,79,4,4328,59,8,1,100,20,66,68,43,0,0,0,0,3,23,67,6,11,52,7,9,21,0,0,0,36,2,9,10,8,0,74,51,1023,23,1,-19,0,0,416
45,0,0,0,0,79,Davis,Mills,1203,77,0,506,41,75,0,4,9,32,9,78,27,0,0,88,1,0,0,22,0,0,76,0,3,1015,88,19,14,16,0,0,38,0,1,0,0,0,0,0,200,45,0,2,3,2,0,54,0,0,10,0,2,506,0,73,0,3,87,65,77,4,4314,61,0,1,100,54,56,71,67,2,0,2,0,3,18,60,8,23,19,9,7,9,0,0,0,54,8,33,14,1203,0,76,65,1023,10,4,-19,0,0,145
45,3,3,0,0,69,Sam,Ehlinger,117,86,0,0,14,79,0,7,10,4,10,78,27,0,0,90,1,4,4,70,0,0,81,0,34,1009,86,27,18,25,0,0,70,0,1,0,0,0,0,0,214,45,100,0,0,1,0,65,0,0,4,1,1,0,1,75,0,6,83,56,85,4,3659,65,0,1,100,18,67,58,53,0,0,0,0,4,24,72,23,4,30,9,14,20,0,0,0,64,4,31,11,117,0,73,62,1023,10,0,-19,0,0,130
