Team,Position,Name,OverallRating,JerseyNum,Archetype,_Description,SpeedRating,AccelerationRating,StrengthRating,AgilityRating,AwarenessRating,CatchingRating,CarryingRating,ThrowPowerRating,KickPowerRating,KickAccuracyRating,RunBlockRating,PassBlockRating,TackleRating,BreakTackleRating,JumpingRating,KickReturnRating,InjuryRating,StaminaRating,ToughnessRating,TruckingRating,ChangeOfDirectionRating,BCVisionRating,StiffArmRating,SpinMoveRating,JukeMoveRating,ImpactBlockingRating,RunBlockPowerRating,RunBlockFinesseRating,PassBlockPowerRating,PassBlockFinesseRating,LeadBlockRating,BreakSackRating,ThrowUnderPressureRating,PowerMovesRating,FinesseMovesRating,BlockSheddingRating,PursuitRating,PlayRecognitionRating,ManCoverageRating,ZoneCoverageRating,RunningStyleRating,SpectacularCatchRating,CatchInTrafficRating,ShortRouteRunningRating,MediumRouteRunningRating,DeepRouteRunningRating,HitPowerRating,PressRating,ReleaseRating,ThrowAccuracyShortRating,ThrowAccuracyMidRating,ThrowAccuracyDeepRating,PlayActionRating,ThrowOnTheRunRating,Height,Weight,Age,PLYR_BIRTHDATE,YearsPro,College,_TotalSalary,_SigningBonus,PLYR_HANDEDNESS,PLYR_PORTRAIT,PLYR_ASSETNAME
49ers,C,Jake Brendel,76,64,C_Agile,,68,72,84,68,86,40,44,22,18,22,82,75,41,5,70,10,86,91,89,15,60,10,10,10,10,77,76,85,73,76,85,12,10,19,15,30,32,30,20,20,Default Stride Awkward,15,15,15,5,5,15,10,15,6,6,6,6,6,76,299,33,33857,10,UCLA ,6740000,6230000,Right,7908,BrendelJake_17912
49ers,C,Brett Toth,62,78,C_Agile,,67,68,81,67,68,33,40,30,20,15,72,66,32,8,64,10,84,79,85,25,52,10,19,10,10,79,70,73,65,67,80,12,16,10,10,20,24,15,12,15,Default Stride Awkward,15,15,15,15,15,24,10,15,6,6,6,6,6,78,304,30,35309,7,Army ,1210000,1280000,Right,9086,TothBrett_13448
49ers,CB,Deommodore Lenoir,81,2,CB_Zone,,90,93,59,83,85,73,59,25,22,17,35,37,67,49,83,64,91,93,87,42,80,69,41,67,74,53,35,35,37,37,28,10,10,34,38,44,76,84,76,82,Short Stride Loose,56,53,35,32,30,77,78,41,6,6,6,6,6,70,200,26,36439,5,Oregon ,58790000,30370000,Right,1205,LenoirDeommodore_21454
49ers,CB,Renardo Green,77,0,CB_MantoMan,,90,92,59,88,73,59,57,25,21,18,35,30,68,62,89,50,92,85,85,35,85,65,40,67,71,48,21,24,20,21,16,35,21,32,37,42,74,73,79,76,Default Stride Loose,60,50,34,30,21,58,82,33,25,22,21,18,34,72,186,25,36839,2,Florida State ,4820000,1530000,Right,10090,GreenRenardo_14985
49ers,CB,Nate Hobbs,76,22,CB_Zone,,90,92,65,87,74,66,58,27,15,14,35,35,61,51,93,74,90,91,82,34,85,70,44,71,75,60,35,35,35,35,24,13,13,29,33,56,78,74,73,78,Default Stride Loose,64,54,43,41,34,67,85,42,6,6,6,6,6,73,195,27,36335,5,Illinois ,1860000,1520000,Right,1184,HobbsNate_21481
49ers,CB,Jack Jones,76,25,CB_Zone,,94,93,53,87,73,77,60,26,37,33,25,25,61,55,84,60,87,88,73,34,89,64,32,66,73,40,25,25,25,25,10,15,10,23,28,50,73,75,72,78,Short Stride Loose,71,57,35,31,29,54,65,26,15,10,10,15,15,71,175,28,35784,4,Arizona St. ,1210000,0,Right,1788,JonesJack_21787
49ers,CB,Upton Stout,75,20,CB_MantoMan,,91,92,57,87,72,76,67,18,27,27,35,35,68,54,89,75,87,87,85,31,85,74,40,68,75,47,25,35,25,35,25,22,10,31,47,47,73,70,75,75,Default,72,64,31,27,25,58,74,23,10,6,6,10,6,69,181,24,37265,1,W. Kentucky ,4890000,1270000,Right,10743,StoutUpton_15327
49ers,CB,Ephesians Prysock,70,35,CB_MantoMan,,91,92,63,89,67,67,60,28,16,14,35,35,58,54,92,56,88,88,84,34,89,67,35,64,68,47,35,35,35,35,18,14,10,34,37,47,73,68,69,68,Default Stride Loose,61,59,42,39,36,61,68,43,6,6,6,6,6,75,196,23,37680,0,Washington ,4370000,760000,Right,11208,PrysockEphesians_1874
49ers,CB,Darrell Luter Jr,69,28,CB_Zone,,90,92,50,87,65,66,58,10,15,15,35,30,64,64,94,55,90,88,81,36,79,69,42,67,73,45,35,35,30,30,17,14,13,30,35,50,73,64,66,71,Default Stride Loose,68,63,50,45,40,64,77,50,8,6,5,6,7,72,190,26,36640,3,South Alabama ,3660000,290000,Right,2292,LuterJrDarrell_23086
49ers,DT,Osa Odighizuwa,77,92,DT_PowerRusher,,76,81,85,67,79,26,29,12,20,18,45,45,87,24,77,10,92,84,89,27,61,21,32,22,25,86,45,45,45,45,21,12,13,80,73,76,82,77,19,26,Long Stride Loose,20,14,10,6,3,78,17,13,6,6,6,6,6,74,294,28,36020,5,UCLA ,43460000,14710000,Right,894,OdighizuwaOsa_21508
49ers,DT,Kevin Givens,73,90,DT_NoseTackle,,72,65,88,63,80,32,27,25,20,20,45,45,82,17,76,10,86,76,88,35,57,16,24,13,17,82,45,45,45,45,32,12,10,74,68,75,78,77,19,29,Long Stride Awkward,12,10,10,3,2,76,10,12,6,6,6,6,6,73,285,29,35490,7,Penn State ,1080000,0,Right,9472,GivensKevin_20682
49ers,DT,Alfred Collins,72,95,DT_NoseTackle,,73,79,92,69,73,42,45,24,20,21,45,45,78,27,75,23,91,77,91,33,52,27,30,17,22,89,45,45,45,45,26,17,13,74,59,72,78,73,11,15,Long Stride Awkward,36,35,15,13,10,78,10,16,15,10,7,12,10,78,332,24,37172,1,Texas ,6150000,4120000,Right,10521,CollinsAlfred_15206
49ers,DT,Gracen Halton,72,93,DT_NoseTackle,,78,80,84,55,71,38,48,20,15,26,45,45,81,17,87,10,89,75,86,47,54,29,46,29,29,83,45,45,45,45,22,12,10,74,71,78,79,72,31,22,Default Stride Awkward,39,39,36,32,26,80,20,35,6,6,6,6,6,75,284,22,38013,0,Oklahoma ,3880000,1600000,Right,11206,HaltonGracen_16373
49ers,DT,CJ West,69,99,DT_NoseTackle,,74,77,84,64,67,19,40,25,24,16,45,45,75,23,80,28,88,81,88,29,53,22,34,20,20,83,45,45,45,45,24,19,14,75,62,79,76,66,13,16,Default Stride Awkward,18,18,17,15,12,76,12,17,15,10,8,12,17,73,316,24,37419,1,Indiana ,4190000,1000000,Right,10776,WestCJ_15221
49ers,FB,Kyle Juszczyk,88,44,FB_Utility,,85,84,79,80,86,77,76,35,19,19,71,71,45,66,88,45,94,91,87,85,76,83,85,72,76,72,61,58,46,42,93,33,25,30,35,33,48,20,15,20,Default,73,71,76,68,62,45,20,72,20,15,10,10,10,74,235,35,33351,13,Harvard ,2970000,1930000,Right,6869,JuszczykKyle_1599
49ers,FS,Malik Mustapha,74,6,S_RunSupport,,88,91,66,84,71,66,59,23,19,16,35,33,73,63,95,60,89,83,89,39,82,69,42,69,73,53,35,35,30,32,22,10,11,27,32,56,83,70,67,73,Default Stride Loose,59,64,33,30,27,89,65,34,15,10,10,15,15,70,206,24,37432,2,Wake Forest ,3880000,730000,Right,10191,MustaphaMalik_14962
49ers,FS,Ashtyn Davis,73,29,S_Zone,,92,92,60,88,76,74,64,37,18,17,35,30,61,61,88,81,85,86,92,47,82,74,51,67,78,63,33,34,33,34,10,20,10,26,32,49,71,75,68,73,Default Stride Loose,68,57,44,35,30,83,64,29,6,6,14,6,6,73,202,29,35348,6,California ,1080000,0,Right,235,DavisAshtyn_21152
49ers,FS,Darrick Forrest,71,29,S_RunSupport,,90,92,67,85,66,73,55,24,18,17,35,35,73,49,92,66,85,90,78,37,78,65,45,65,69,62,35,35,35,35,27,11,10,37,44,56,79,65,66,70,Default Stride Loose,68,57,36,34,32,86,67,47,14,12,10,6,6,71,200,27,36302,5,Cincinnati ,1210000,0,Right,1105,ForrestDarrick_21486
49ers,FS,Patrick McMorris,64,24,S_Zone,,87,90,63,81,64,71,74,41,15,15,35,35,63,59,76,44,93,84,80,61,82,73,59,67,72,60,35,35,30,30,32,18,25,42,37,58,74,63,63,67,Default Stride Loose,67,64,54,45,44,83,68,35,32,27,22,13,20,72,210,24,37182,2,California ,1000000,0,Right,10177,McMorrisPatrick_23091
49ers,HB,Christian McCaffrey,97,23,HB_ReceivingBack,,90,92,74,93,99,83,95,52,29,23,38,60,36,93,90,88,83,97,94,67,92,98,80,85,91,45,22,22,36,32,47,38,37,10,10,32,44,27,12,17,None,75,72,82,78,69,27,15,76,45,41,33,31,47,71,205,30,35223,9,Stanford ,20610000,31700000,Right,8655,McCaffreyChristian_12556
49ers,HB,Khalil Herbert,73,40,HB_ElusiveBack,,88,86,73,85,75,66,93,37,18,12,35,62,31,80,81,85,85,86,77,77,80,82,76,77,84,35,19,26,36,33,32,22,17,10,10,28,35,15,10,17,Short Stride High and Tight,45,47,59,53,45,24,14,44,22,16,12,16,17,69,212,28,35906,5,Virginia Tech ,1080000,0,Right,1245,HerbertKhalil_21628
49ers,HB,Jordan James,73,29,HB_ElusiveBack,,89,92,72,85,66,62,92,20,17,14,34,48,34,78,80,78,93,84,86,75,84,80,70,82,82,33,28,25,38,37,28,16,21,27,30,33,35,28,20,28,Default,55,58,59,54,48,30,22,49,14,25,8,31,22,70,208,22,38075,1,Oregon ,4190000,410000,Right,10609,JamesJordan_15048
49ers,HB,Kaelon Black,72,26,HB_PowerBack,,91,93,79,83,72,64,90,33,21,23,41,54,26,80,89,52,90,82,86,81,82,84,75,70,77,45,38,34,34,32,40,23,24,31,25,22,25,23,17,22,Default,50,50,61,53,46,28,23,49,24,20,15,22,26,69,211,24,37181,0,Indiana ,5230000,1550000,Right,11203,BlackKaelon_16320
49ers,HB,Isaac Guerendo,72,31,HB_ElusiveBack,,92,92,71,84,72,68,88,23,20,18,33,55,40,74,91,79,81,82,79,72,83,81,76,74,79,33,19,26,35,38,26,23,12,10,10,39,47,27,29,36,Default,49,49,66,62,60,40,35,55,20,15,10,10,14,72,221,26,36705,2,Louisville ,4010000,690000,Right,10091,GuerendoIsaac_15012
