player,key,status,skin_frac,cheek_r,cheek_g,cheek_b,cheek_lum,crown_r,crown_g,crown_b,crown_lum,mous_delta,chin_delta,jaw_delta,hair_above
Isaako Aaitui,isaako aaitui,no face,0.0,,,,,,,,,,,,
Israel Abanikanda,israel abanikanda,ok,0.083,106,65,46,75.1,14,14,13,13.9,10.9,2.5,40.9,0.623
Jared Abbrederis,jared abbrederis,no face,0.0,,,,,,,,,,,,
Mehdi Abdesmad,mehdi abdesmad,no face,0.0,,,,,,,,,,,,
Isa Abdul-Quddus,isa abdul quddus,no face,0.0,,,,,,,,,,,,
Ameer Abdullah,ameer abdullah,ok,0.119,173,113,90,128.3,16,13,14,14.0,117.1,63.6,40.4,1.0
Hamza Abdullah,hamza abdullah,no face,0.0,,,,,,,,,,,,
Husain Abdullah,husain abdullah,no face,0.0,,,,,,,,,,,,
Khalid Abdullah,khalid abdullah,no face,0.0,,,,,,,,,,,,
Rabih Abdullah,rabih abdullah,no face,0.0,,,,,,,,,,,,
Yasir Abdullah,yasir abdullah,ok,0.12,150,99,83,112.4,15,13,18,14.1,62.3,73.0,58.2,0.781
Victor Abiamiri,victor abiamiri,no face,0.0,,,,,,,,,,,,
Oday Aboushi,oday aboushi,ok,0.17,246,193,158,204.9,20,17,16,17.9,151.0,59.2,100.0,0.466
John Abraham,john abraham,no face,0.0,,,,,,,,,,,,
Micah Abraham,micah abraham,ok,0.115,173,117,100,131.8,20,20,25,20.6,35.2,106.2,108.2,0.624
Donnie Abraham,donnie abraham,no face,0.0,,,,,,,,,,,,
Johnathan Abram,johnathan abram,ok,0.156,172,108,74,123.3,21,16,13,17.2,18.5,17.0,24.2,0.346
Kris Abrams-Draine,kris abrams draine,ok,0.151,219,142,102,160.5,8,8,6,7.8,82.0,7.3,20.9,1.0
De'Von Achane,devon achane,ok,0.111,132,92,83,102.9,19,16,19,17.2,74.4,47.7,52.8,0.39
Emmanuel Acho,emmanuel acho,no face,0.0,,,,,,,,,,,,
Sam Acho,sam acho,ok,0.156,137,90,75,102.3,33,26,24,27.9,19.9,51.1,60.8,0.296
Kenneth Acker,kenneth acker,no face,0.0,,,,,,,,,,,,
Aaron Adams,aaron adams,no face,0.0,,,,,,,,,,,,
Joe Adams,joe adams,no face,0.0,,,,,,,,,,,,
Andrew Adams,andrew adams,ok,0.143,211,153,125,167.1,51,49,50,49.7,19.4,147.9,106.8,0.269
Keion Adams,keion adams,ok,0.203,179,124,97,137.4,37,38,35,37.4,-43.2,39.3,40.4,0.317
Anthony Adams,anthony adams,no face,0.0,,,,,,,,,,,,
Charlie Adams,charlie adams,no face,0.0,,,,,,,,,,,,
Blue Adams,blue adams,no face,0.0,,,,,,,,,,,,
Davante Adams,davante adams,ok,0.091,83,50,38,58.2,29,26,30,27.4,14.8,2.4,-10.8,1.0
Flozell Adams,flozell adams,no face,0.0,,,,,,,,,,,,
Gaines Adams,gaines adams,no face,0.0,,,,,,,,,,,,
Isaiah Adams,isaiah adams,ok,0.146,216,152,128,168.4,33,27,24,28.5,97.7,137.2,136.2,0.438
Jamal Adams,jamal adams,ok,0.16,217,153,116,167.9,28,24,24,25.2,129.6,31.2,38.2,0.44
Jamar Adams,jamar adams,no face,0.0,,,,,,,,,,,,
Jeff Adams,jeff adams,no face,0.0,,,,,,,,,,,,
Jerell Adams,jerell adams,ok,0.153,141,98,86,109.5,46,37,38,39.8,91.7,36.3,81.9,0.094
Johnny Adams,johnny adams,no face,0.0,,,,,,,,,,,,
Josh Adams,josh adams,ok,0.159,118,62,43,76.7,25,25,27,25.2,40.4,63.8,39.9,0.283
Keith Adams,keith adams,no face,0.0,,,,,,,,,,,,
Kris Adams,kris adams,no face,0.0,,,,,,,,,,,,
Kyle Adams,kyle adams,no face,0.0,,,,,,,,,,,,
Matthew Adams,matthew adams,ok,0.109,129,76,56,89.6,22,21,20,21.2,81.9,34.6,24.2,0.458
Mike Adams,mike adams,ok,0.183,96,51,39,63.1,123,95,94,103.3,-53.6,27.8,50.3,0.07
Michael Adams,michael adams,no face,0.0,,,,,,,,,,,,
Montravius Adams,montravius adams,ok,0.092,138,93,68,103.7,43,42,39,42.0,56.8,68.0,77.6,0.267
Myles Adams,myles adams,ok,0.072,93,59,55,68.7,21,20,21,20.4,57.1,22.5,25.4,0.971
Phillip Adams,phillip adams,no face,0.0,,,,,,,,,,,,
Rodney Adams,rodney adams,ok,0.125,133,83,59,95.2,94,76,79,82.0,22.2,-48.9,7.6,0.132
Sam Adams,sam adams,no face,0.0,,,,,,,,,,,,
Titus Adams,titus adams,no face,0.0,,,,,,,,,,,,
Tyrell Adams,tyrell adams,ok,0.149,155,109,81,119.6,29,24,22,25.3,15.7,107.0,102.8,0.341
Jahleel Addae,jahleel addae,ok,0.117,50,37,33,40.4,62,48,43,51.8,-86.6,-126.6,-37.6,0.271
Joseph Addai,joseph addai,no face,0.0,,,,,,,,,,,,
Nasir Adderley,nasir adderley,ok,0.203,227,168,131,181.4,35,27,26,29.3,85.7,48.5,85.8,0.465
Jordan Addison,jordan addison,ok,0.139,119,75,58,86.2,12,12,11,11.9,55.4,16.2,39.3,1.0
Mario Addison,mario addison,ok,0.087,164,86,46,104.8,21,16,19,17.8,52.2,93.4,93.9,0.975
Adetomiwa Adebawore,adetomiwa adebawore,ok,0.108,145,90,64,103.5,28,26,26,26.6,15.4,84.0,64.0,0.177
