name,team,role,age_before,age_after,startSeason_before,startSeason_after,source,birth_year
Sam Rutigliano,CLE,Head Coach,48,47,2014,2015,Coaching Tree,1932
John North,ATL,Off Co-ord,36,58,2026,2008,Coaching Tree,1921
Dick Bielski,BAL,Off Co-ord,49,47,2012,2014,Coaching Tree,1932
Ray Prochaska,BUF,Off Co-ord,53,60,2006,2000,Coaching Tree,1919
Ken Meyer,CHI,Off Co-ord,54,53,2014,2015,Coaching Tree,1926
Mike McCormack,CIN,Off Co-ord,34,49,2023,2011,Coaching Tree,1930
Jim Shofner,CLE,Off Co-ord,32,44,2022,2012,Coaching Tree,1935
Dan Reeves,DAL,Off Co-ord,60,35,2007,2026,Coaching Tree,1944
Whitey Dovell,DEN,Off Co-ord,38,52,2022,2010,Coaching Tree,1927
Bob Schnelker,DET,Off Co-ord,48,51,2011,2009,Coaching Tree,1928
Lew Carpenter,GB,Off Co-ord,60,47,1999,2010,Coaching Tree,1932
King Hill,HOU,Off Co-ord,46,43,2017,2019,Coaching Tree,1936
Joe Spencer,KC,Off Co-ord,35,56,2020,2003,Coaching Tree,1923
Lionel Taylor,LAR,Off Co-ord,53,44,2005,2012,Coaching Tree,1935
Jerry Burns,MIN,Off Co-ord,51,52,2009,2008,Coaching Tree,1927
Ed Hughes,NO,Off Co-ord,41,52,2022,2013,Coaching Tree,1927
Ernie Adams,NYG,Off Co-ord,55,26,2007,2026,Coaching Tree,1953
John Idzik,NYJ,Off Co-ord,58,51,2005,2011,Coaching Tree,1928
Ollie Spencer,LV,Off Co-ord,54,48,2007,2012,Coaching Tree,1931
Rollie Dotsch,PIT,Off Co-ord,48,46,2010,2012,Coaching Tree,1933
Joe Gibbs,LAC,Off Co-ord,31,39,2026,2019,Coaching Tree,1940
Howard Mudd,SEA,Off Co-ord,30,37,2026,2020,Coaching Tree,1942
Bobb McKittrick,SF,Off Co-ord,34,44,2026,2018,Coaching Tree,1935
Bill Nelsen,TB,Off Co-ord,50,38,2010,2020,Coaching Tree,1941
Joe Walton,WAS,Off Co-ord,58,44,2002,2014,Coaching Tree,1935
