name,team,nfl79_pos,k5_pos,povr
Larry Braziel,BAL,CB,FS,81
Reggie Pinkney,BAL,CB,FS,77
Mike Spivey,CHI,CB,SS,78
Ray Griffin,CIN,CB,FS,77
Clinton Burrell,CLE,CB,SS,70
Steve Foley,DEN,CB,FS,91
Estus Hood,GB,CB,FS,80
Tim Collier,KC,CB,FS,82
Horace Perkins,KC,CB,FS,74
Neal Colzie,MIA,CB,FS,82
Raymond Clayborn,NE,CB,FS,91
Alan Caldwell,NYG,CB,FS,70
Ray Rhodes,NYG,CB,FS,80
Bobby Jackson,NYJ,CB,SS,84
Al Latimer,PHI,CB,FS,74
Melvin Morgan,SF,CB,SS,72
Gerard Williams,SF,CB,FS,82
Roger Wehrli,STL,CB,FS,89
Danny Reece,TB,CB,SS,84
Lemar Parrish,WAS,CB,FS,89
Tom Pridemore,ATL,S,CB,83
Bruce Laird,BAL,S,CB,96
Steve Freeman,BUF,S,CB,84
Jim Browner,CIN,S,CB,67
Marvin Cobb,CIN,S,CB,84
Lawrence Johnson,CLE,S,CB,76
Ricky Jones,CLE,S,CB,73
Bernard Jackson,DEN,S,CB,95
Johnnie Gray,GB,S,CB,89
Steve Wagner,GB,S,CB,74
Herb Christopher,KC,S,CB,82
Eddie Brown,LA,S,CB,80
Don Bessillieu,MIA,S,CB,77
Glenn Blackwood,MIA,S,CB,78
Mike Kozlowski,MIA,S,CB,76
Tom Hannon,MIN,S,CB,85
Keith Nord,MIN,S,CB,79
Prentice McCray,NE,S,CB,84
Ray Brown,NO,S,CB,85
Ernie Jones,NYG,S,CB,77
Beasley Reece,NYG,S,CB,78
Burgess Owens,NYJ,S,CB,89
Mike Davis,OAK,S,CB,86
J.T. Thomas,PIT,S,CB,85
Frank Duncan,SD,S,CB,73
Don Dufek,SEA,S,CB,76
John Bristor,SF,S,CB,65
Tim Gray,SF,S,CB,82
Dwight Hicks,SF,S,CB,80
Ken Greene,STL,S,CB,84
Curtis Jordan,TB,S,CB,85
Ken Houston,WAS,S,CB,91
Tony Peters,WAS,S,CB,82
