team,name,roles
PIT,Chuck Noll,Head Coach
PIT,Rollie Dotsch,Offensive Line
PIT,Dick Hoak,Running Backs
PIT,Tom Moore,Wide Receivers
PIT,George Perles,Defensive Coordinator
PIT,Paul Uram,Administrative Assistant
PIT,Dick Walker,Defensive Assistant
PIT,Woody Widenhofer,Linebackers
DAL,Tom Landry,Head Coach
DAL,Dan Reeves,Offensive Coordinator
DAL,Gene Stallings,Defensive Backs
DAL,Ermal Allen,Research and Development
DAL,Jim Myers,Assistant Head Coach
DAL,Ernie Stautner,Defensive Coordinator
DAL,Jerry Tubbs,Linebackers
DAL,Mike Ditka,Wide Receivers
DAL,Bob Ward,Strength and Conditioning
MIA,Don Shula,Head Coach
MIA,Dan Henning,Wide Receivers
MIA,John Sandusky,Offensive Line
MIA,Steve Crosby,Special Teams Assistant
MIA,Tom Keane,Defensive Backs
MIA,Mike Scarry,Defensive Line
MIA,Bill Arnsparger,Assistant Head Coach
MIA,Carl Taseff,Running Backs
LV,Tom Flores,Head Coach
LV,Ray Willsey,Running Backs
LV,Sam Boghosian,Offensive Line
LV,Lew Erber,Wide Receivers
LV,Myrel Moore,Linebackers
LV,Ollie Spencer,Offensive Line
LV,Charlie Sumner,Defensive Backs
WAS,Jack Pardee,Head Coach
WAS,Richie Petitbon,Defensive Backs
WAS,Joe Walton,Offensive Coordinator
WAS,Bob Bowser,Special Assistant
WAS,Ray Callahan,Offensive Line
WAS,George Dickson,Linebackers
WAS,John Hilton,Tight Ends
WAS,Fred O'Connor,Running Backs
WAS,Richard Urich,Defensive Coordinator
ATL,Leeman Bennett,Head Coach
ATL,Jerry Glanville,Defensive Backs
ATL,John North,Running Backs
ATL,Jim Champion,Defensive Line
ATL,Ted Plumb,Quarterbacks
ATL,Doug Shively,Linebackers
ATL,Bill Walsh,Offensive Line
ATL,Dick Wood,Quarterbacks
SF,Bill Walsh,Head Coach
SF,Norb Hecker,Defensive Backs
SF,Chuck Studley,Defensive Coordinator
SF,Mike White,Assistant Offensive Line
SF,Sam Wyche,Quarterbacks
SF,Billie Matthews,Running Backs
SF,Bobb McKittrick,Offensive Line
SF,Bill McPherson,Linebackers
SF,Dennis Green,Wide Receivers
SF,Al Vermeil,Strength and Conditioning
NYG,Ray Perkins,Head Coach
