name,slug,birth_date
Al Tabor,al-tabor,1925-10-16
Bart Starr,bart-starr,1934-01-09
Bill Arnsparger,bill-arnsparger,1926-12-16
Bill Belichick,bill-belichick,1952-04-16
Bill Nelsen,bill-nelsen,1941-01-29
Bill Walsh,bill-walsh,1931-11-30
Bob Hollway,bob-hollway,1926-01-29
Bob Schnelker,bob-schnelker,1928-10-17
Bobb McKittrick,bobb-mckittrick,1935-12-29
Bobby Ross,bobby-ross,1936-12-23
Bud Carson,bud-carson,1930-04-28
Bud Grant,bud-grant,1927-05-20
Bud Wilkinson,bud-wilkinson,1916-04-23
Buddy Ryan,buddy-ryan,1934-02-17
Bum Phillips,bum-phillips,1923-09-29
Carroll Hardy,,
Charlie Sumner,charlie-sumner,1930-10-19
Chuck Connor,,
Chuck Knox,chuck-knox,1932-04-27
Chuck Noll,chuck-noll,1932-01-05
Chuck Studley,chuck-studley,1929-01-17
Chuck Weber,chuck-weber,1930-03-25
Dan Reeves,dan-reeves,1944-01-19
Dave Hanner,dave-hanner,1930-05-22
Dennis Green,dennis-green,1949-02-17
Dick Bielski,dick-bielski,1932-09-07
Dick Corrick,,
Dick Mansperger,,
Dick Nolan,dick-nolan,1932-03-26
Dick Rehbein,dick-rehbein,1955-11-22
Dick Vermeil,dick-vermeil,1936-10-30
Doc Urich,,
Don Coryell,don-coryell,1924-10-17
Don Shula,don-shula,1930-01-04
Ed Biles,ed-biles,1931-10-18
Ed Hughes,ed-hughes,1927-10-23
Elijah Pitts,elijah-pitts,1938-02-03
Ernie Adams,ernie-adams,1953-03-31
Ernie Stautner,ernie-stautner,1925-04-20
Frank Gansz,frank-gansz,1938-11-22
George Allen,george-allen,1918-04-29
George Boutselis,george-boutselis,1940-03-16
George Perles,george-perles,1934-07-16
Gino Cappelletti,gino-cappelletti,1933-03-26
Hank Bullough,hank-bullough,1934-01-24
Hank Kuhlmann,hank-kuhlmann,1937-10-06
Harry Gilmer,harry-gilmer,1926-04-14
Homer Rice,homer-rice,1927-02-20
Howard Brinker,howard-brinker,1914-03-31
Howard Mudd,howard-mudd,1942-02-10
Jack Christiansen,jack-christiansen,1928-12-20
Jack Pardee,jack-pardee,1936-04-19
Jack Patera,jack-patera,1933-08-01
Jacki Simpson,jacki-simpson,1936-08-20
Jerry Burns,jerry-burns,1927-01-24
Jerry Glanville,jerry-glanville,1941-10-14
Jerry Thompson,jerry-thompson,1938-01-22
Jim Ringo,jim-ringo,1931-11-21
Jim Shofner,jim-shofner,1935-12-18
Jim Trimble,jim-trimble,1918-05-29
Joe Collier,joe-collier,1932-06-07
Joe Gibbs,joe-gibbs,1940-11-25
Joe Haering,joe-haering,1946-02-01
Joe Spencer,joe-spencer,1923-08-15
Joe Walton,joe-walton,1935-12-15
Joe Woolley,joe-woolley,1937-08-14
John Hilton,john-hilton,1942-03-12
John Idzik,john-idzik,1928-06-25
John Madden,john-madden,1936-04-10
John Math,,
John McKay,john-mckay,1923-07-05
John McVay,john-mcvay,1931-01-05
John North,john-north,1921-06-17
John Paul Young,john-paul-young,1939-12-31
John Sandusky,john-sandusky,1925-12-28
Johnny Mazur,johnny-mazur,1930-06-17
Ken Meyer,ken-meyer,1926-07-14
King Hill,king-hill,1936-11-08
Larry Pasquale,larry-pasquale,1941-04-21
Leeman Bennett,leeman-bennett,1938-06-20
Lew Carpenter,lew-carpenter,1932-01-12
Lionel Taylor,lionel-taylor,1935-08-15
Lynn Stiles,lynn-stiles,1941-04-12
Marion Campbell,marion-campbell,1929-05-25
Marty Schottenheimer,marty-schottenheimer,1943-09-23
Marv Braden,marv-braden,1938-01-25
Marv Levy,marv-levy,1925-08-03
Maxie Baughan,maxie-baughan,1938-08-03
Mike Allman,,
Mike Ditka,mike-ditka,1939-10-18
Mike McCormack,mike-mccormack,1930-06-21
Monte Clark,monte-clark,1937-01-24
Myrel Moore,myrel-moore,1934-03-09
Neill Armstrong,neill-armstrong,1926-03-09
Ollie Spencer,ollie-spencer,1931-04-17
Pat Dye,,
Paul Lanham,paul-lanham,1930-07-31
Paul Wiggin,paul-wiggin,1934-11-18
Pete Brown,,
Phil Krueger,phil-krueger,1929-10-06
Ralph Hawkins,ralph-hawkins,1935-05-04
Ray Malavasi,ray-malavasi,1930-11-08
Ray Perkins,ray-perkins,1941-12-06
Ray Prochaska,ray-prochaska,1919-08-09
Red Miller,red-miller,1927-10-31
Rod Rust,rod-rust,1928-08-02
Rollie Dotsch,rollie-dotsch,1933-02-14
Ron Erhardt,ron-erhardt,1931-02-27
Rusty Tillman,rusty-tillman,1946-02-27
Sam Rutigliano,sam-rutigliano,1932-07-01
Sid Gillman,sid-gillman,1911-10-26
Steve Crosby,steve-crosby,1950-07-03
Ted Marchibroda,ted-marchibroda,1931-03-15
Tom Bass,tom-bass,1935-08-02
Tom Bettis,tom-bettis,1933-03-17
Tom Braatz,,
Tom Catlin,tom-catlin,1931-09-08
Tom Flores,tom-flores,1937-03-21
Tom Keane,tom-keane,1926-09-07
Tom Landry,tom-landry,1924-09-11
Walt Michaels,walt-michaels,1929-10-16
Wayne Sevier,wayne-sevier,1941-07-03
Whitey Campbell,whitey-campbell,1927-01-19
Whitey Dovell,whitey-dovell,1927-02-11
