team,coach,season_of_tenure,record_1979
Air Force Falcons,Ken Hatfield,,2-9-0
Alabama Crimson Tide,Bear Bryant,,12-0-0
Appalachian State Mountaineers,Jim Brakefield,,3-8-0
Arkansas Razorbacks,Lou Holtz,,10-2-0
Arkansas State Indians,Larry Lacewell,,4-7-0
Army Cadets,Lou Saban,,2-8-1
Auburn Tigers,Doug Barfield,,8-3-0
Baylor Bears,Grant Teaff,,8-4-0
Boston College Eagles,Ed Chlebek,,5-6-0
Chattanooga Moccasins,Joe Morrison,,9-2-0
Cincinnati Bearcats,Ralph Staub,,2-9-0
Clemson Tigers,Danny Ford,,8-4-0
Colgate Red Raiders,Frederick Dunlap,,5-4-1
Davidson Wildcats,Ed Farrell,,6-4-0
Duke Blue Devils,Shirley Wilson,,2-8-1
East Carolina Pirates,Pat Dye,,7-3-1
East Tennessee State Buccaneers,Jack Carlisle,,7-4-0
Florida Gators,Charley Pell,,0-10-1
Florida State Seminoles,Bobby Bowden,,11-1-0
Furman Paladins,Dick Sheridan,,5-6-0
Georgia Bulldogs,Vince Dooley,,6-5-0
Georgia Tech Yellow Jackets,Pepper Rodgers,,4-6-1
Holy Cross Crusaders,Neil Wheelwright,,5-6-0
Houston Cougars,Bill Yeoman,,11-1-0
Illinois State Redbirds,Charlie Cowdrey,,3-8-0
Kentucky Wildcats,Fran Curci,,5-6-0
LSU Tigers,Charles McClendon,,7-5-0
Lamar Cardinals,Larry Kennan,,6-3-2
Louisiana Tech Bulldogs,Larry Beightol,,3-8-0
Louisville Cardinals,Vince Gibson,,4-6-1
Marshall Thundering Herd,Sonny Randle,,1-10-0
Maryland Terrapins,Jerry Claiborne,,7-4-0
McNeese State Cowboys,Ernie Duplechin,,11-1-0
Memphis State Tigers,Richard Williamson,,5-6-0
Miami Hurricanes,Howard Schnellenberger,,5-6-0
Mississippi State Bulldogs,Emory Bellard,,3-8-0
NC State Wolfpack,Bo Rein,,7-4-0
Navy Midshipmen,George Welsh,,7-4-0
North Carolina Tar Heels,Dick Crum,,8-3-1
North Texas State Mean Green,Jerry Moore,,5-6-0
Northeast Louisiana Indians,John David Crow,,3-8-0
Notre Dame Fighting Irish,Dan Devine,,7-4-0
Ole Miss Rebels,Steve Sloan,,4-7-0
Penn State Nittany Lions,Joe Paterno,,8-4-0
Pittsburgh Panthers,Jackie Sherrill,,11-1-0
Rice Owls,Ray Alborn,,1-10-0
Richmond Spiders,Jim Tait,,0-11-0
Rutgers Scarlet Knights,Frank R. Burns,,8-3-0
SMU Mustangs,Ron Meyer,,5-6-0
South Carolina Gamecocks,Jim Carlen,,8-4-0
Southern Miss Golden Eagles,Bobby Collins,,6-4-1
Southwestern Louisiana Ragin' Cajuns,Augie Tammariello,,4-7-0
Syracuse Orangemen,Frank Maloney,,7-5-0
TCU Horned Frogs,F. A. Dry,,2-8-1
Temple Owls,Wayne Hardin,,10-2-0
Tennessee State Tigers,John Merritt,,8-3-0
Tennessee Volunteers,Johnny Majors,,7-5-0
Texas A&M Aggies,Tom Wilson,,6-5-0
Texas Longhorns,Fred Akers,,9-3-0
Texas Tech Red Raiders,Rex Dockery,,3-6-2
The Citadel Bulldogs,Art Baker,,6-5-0
Tulane Green Wave,Larry Smith,,9-3-0
UNLV Rebels,Tony Knap,,9-1-2
UT Arlington Mavericks,Harold Elliott,,9-2-0
VMI Keydets,Bob Thalman,,6-4-1
Vanderbilt Commodores,George MacIntyre,,1-10-0
Villanova Wildcats,Dick Bedesem,,5-6-0
Virginia Cavaliers,Dick Bestwick,,6-5-0
Virginia Tech Gobblers,Bill Dooley,,5-6-0
Wake Forest Demon Deacons,John Mackovic,,8-4-0
West Virginia Mountaineers,Frank Cignetti Sr.,,5-6-0
Western Carolina Catamounts,Bob Waters,,6-5-0
William & Mary Tribe,Jim Root,,4-7-0
