team,name,pos,rating,salary,guarantee,length,eSalary,eGuarantee,eLength,greed,loyalty,ambition
atlanta-falcons,Alfred Jackson,WR,71,2373671,189894,3,2373671,189894,3,1,1,1
atlanta-falcons,Alfred Jenkins,WR,80,4898403,293904,1,4898403,293904,1,1,1,1
atlanta-falcons,Billy Ryckman,WR,68,2736073,246247,2,2736073,246247,2,1,1,1
atlanta-falcons,Bob Glazebrook,S,65,1735449,138836,3,1735449,138836,3,1,1,2
atlanta-falcons,Brian Cabral,MLB,61,1164560,244558,4,1164560,244558,4,1,1,2
atlanta-falcons,Bubba Bean,RB,77,6213964,372838,1,6213964,372838,1,1,1,2
atlanta-falcons,Dave Scott,OG,76,4165636,249938,1,4165636,249938,1,1,1,3
atlanta-falcons,Dennis Pearson,WR,66,1862235,148979,3,1862235,148979,3,1,1,3
atlanta-falcons,Dewey McClain,OLB,63,2286545,137193,1,2286545,137193,1,1,2,3
atlanta-falcons,Don Smith,DE,62,1283596,269555,4,1283596,269555,4,1,2,3
atlanta-falcons,Edgar Fields,DT,74,3979268,358134,2,3979268,358134,2,1,2,4
atlanta-falcons,Frank Reed,S,77,4142642,248559,1,4142642,248559,1,1,2,4
atlanta-falcons,Fulton Kuykendall,OLB,81,5477343,328641,1,5477343,328641,1,1,2,4
atlanta-falcons,Greg Brezina,OLB,79,4970676,298241,1,4970676,298241,1,1,2,4
atlanta-falcons,Haskel Stanback,RB,74,5372012,322321,1,5372012,322321,1,1,2,4
atlanta-falcons,James Mayberry,RB,63,1732408,363806,4,1732408,363806,4,1,2,4
atlanta-falcons,Jeff Merrow,DE,75,4386011,263161,1,4386011,263161,1,1,3,5
atlanta-falcons,Jeff Van Note,C,88,7457756,447465,1,7457756,447465,1,1,3,5
atlanta-falcons,Jeff Yeates,DE,83,6466774,388006,1,6466774,388006,1,1,3,5
atlanta-falcons,Jerome King,CB,54,787671,165411,4,787671,165411,4,1,3,5
atlanta-falcons,Jim Mitchell,TE,83,5666125,339968,1,5666125,339968,1,1,3,5
atlanta-falcons,Joel Williams,OLB,52,737382,154850,4,737382,154850,4,1,3,5
atlanta-falcons,John James,P,86,4274461,384701,2,4274461,384701,2,1,3,5
atlanta-falcons,June Jones,QB,67,4957932,446214,2,4957932,446214,2,1,3,6
atlanta-falcons,Lynn Cain,RB,74,2954607,620467,4,2954607,620467,4,1,3,6
atlanta-falcons,Mike Kenn,OT,82,4620316,369625,3,4620316,369625,3,1,3,6
atlanta-falcons,Mike Lewis,DT,74,3979268,238756,1,3979268,238756,1,1,3,6
atlanta-falcons,Mike Moroski,QB,72,3475758,729909,4,3475758,729909,4,1,3,6
atlanta-falcons,Mike Zele,DT,61,1164560,244558,4,1164560,244558,4,1,3,7
atlanta-falcons,Pat Howell,OG,63,1219102,256011,4,1219102,256011,4,1,3,7
atlanta-falcons,Paul Ryczek,C,63,2216548,132993,1,2216548,132993,1,1,4,7
atlanta-falcons,Phil McKinnely,OT,62,2333811,140029,1,2333811,140029,1,1,4,7
atlanta-falcons,R.C. Thielemann,OG,82,5573715,501634,2,5573715,501634,2,1,4,7
atlanta-falcons,Ray Easterling,S,69,2809697,252873,2,2809697,252873,2,1,4,8
atlanta-falcons,Ray Strong,RB,65,2603174,208254,3,2603174,208254,3,1,4,8
atlanta-falcons,Rick Byas,CB,82,5573715,334423,1,5573715,334423,1,1,4,8
atlanta-falcons,Robert Pennywell,MLB,77,4602936,414264,2,4602936,414264,2,1,4,8
atlanta-falcons,Rolland Lawrence,CB,87,7104457,426267,1,7104457,426267,1,1,4,8
atlanta-falcons,Ronnie McCartney,MLB,62,2222677,200041,2,2222677,200041,2,1,4,8
atlanta-falcons,Russ Mikeska,TE,54,762797,160187,4,762797,160187,4,1,4,9
atlanta-falcons,Steve Bartkowski,QB,91,15891113,953467,1,15891113,953467,1,1,5,9
atlanta-falcons,Tim Mazzetti,K,72,1760449,140836,3,1760449,140836,3,1,5,9
atlanta-falcons,Tom Moriarty,CB,62,2111543,190039,2,2111543,190039,2,1,5,9
atlanta-falcons,Tom Pridemore,S,72,2437544,195004,3,2437544,195004,3,1,5,9
atlanta-falcons,Tony Daykin,OLB,61,2075034,186753,2,2075034,186753,2,1,5,9
atlanta-falcons,Wally Francis,WR,82,5397703,323862,1,5397703,323862,1,1,5,10
atlanta-falcons,Warren Bryant,OT,73,3980295,358227,2,3980295,358227,2,1,5,10
atlanta-falcons,William Andrews,RB,72,2681299,563073,4,2681299,563073,4,2,5,10
atlanta-falcons,Wilson Faumuina,DT,74,3979268,358134,2,3979268,358134,2,2,5,10
baltimore-colts,Barry Krauss,MLB,58,1006770,211422,4,1006770,211422,4,2,5,10
baltimore-colts,Ben Garry,RB,54,1119322,235058,4,1119322,235058,4,2,5,11
baltimore-colts,Bert Jones,QB,76,7673540,460412,1,7673540,460412,1,2,5,11
baltimore-colts,Bob Pratt,OG,72,3430618,205837,1,3430618,205837,1,2,5,11
baltimore-colts,Bob Van Duyne,OT,68,3122692,187362,1,3122692,187362,1,2,5,11
baltimore-colts,Brian DeRoo,WR,63,1180604,247927,4,1180604,247927,4,2,5,12
baltimore-colts,Bruce Laird,S,93,9005612,810505,2,9005612,810505,2,2,6,12
baltimore-colts,Bucky Dilts,P,72,2166706,195004,2,2166706,195004,2,2,6,12
baltimore-colts,David Taylor,OT,71,3612109,216727,1,3612109,216727,1,2,6,12
baltimore-colts,Don Hardeman,RB,70,4424132,265448,1,4424132,265448,1,2,6,12
baltimore-colts,Don McCauley,RB,72,4875089,292505,1,4875089,292505,1,3,6,12
baltimore-colts,Doug Nettles,CB,72,3430618,205837,1,3430618,205837,1,3,6,12
baltimore-colts,Dwight Harrison,CB,68,2825292,169518,1,2825292,169518,1,3,6,13
baltimore-colts,Ed Simonini,MLB,80,5324351,319461,1,5324351,319461,1,3,6,13
baltimore-colts,Fred Cook,DE,79,5325725,319544,1,5325725,319544,1,3,6,13
baltimore-colts,Glenn Doughty,WR,84,5947897,535311,2,5947897,535311,2,3,6,13
baltimore-colts,Greg Fields,DE,51,752625,158051,4,752625,158051,4,3,6,13
baltimore-colts,Greg Landry,QB,73,6633825,398030,1,6633825,398030,1,3,6,13
baltimore-colts,Herb Orvis,DT,65,2571036,154262,1,2571036,154262,1,3,6,14
baltimore-colts,Jeff Hart,OT,70,3440991,206459,1,3440991,206459,1,3,6,14
baltimore-colts,Jerry Golsteyn,QB,60,3529880,317689,2,3529880,317689,2,4,6,14
baltimore-colts,Jim Krahl,DT,52,1026042,82083,3,1026042,82083,3,4,7,14
