name,tier,hc_record,hc_winpct,rating,coord_seasons,unit_pct,detail
John Madden,1,103-32-7,0.725,95,0,,
George Allen,1,116-47-5,0.69,93,0,,
Paul Brown,1,213-104-9,0.653,88,0,,
Hank Stram,1,131-97-10,0.55,83,0,,
Bill Johnson,1,18-15-0,0.545,82,0,,
Chuck Fairbanks,1,46-39-0,0.541,80,0,,
John Ralston,1,34-33-3,0.486,76,1,0.37,1978 Philadelphia Eagles(5) O 18/28
Mike Holovak,1,52-47-9,0.481,75,0,,
Lou Saban,1,95-99-7,0.473,74,0,,
Charley Winner,1,44-44-5,0.473,74,0,,
Tommy Hudspeth,1,11-13-0,0.458,73,0,,
Rick Forzano,1,15-17-0,0.469,73,0,,
Tommy Prothro,1,35-51-2,0.398,69,0,,
John McVay,1,14-23-0,0.378,67,0,,
John North,1,11-23-0,0.324,66,0,,
Paul Wiggin,1,11-24-0,0.314,64,0,,
Pete McCulley,1,1-8-0,0.111,50,3,0.92,1960 Houston Oilers O 2/21; 1961 Houston Oilers O 1/22; 1962 Houston Oilers O 5/22
Fred O'Connor,1,1-6-0,0.143,50,1,0.0,1978 San Francisco 49ers O 28/28
Ken Meyer,1,5-9-0,0.357,50,5,0.668,1973 Los Angeles Rams O 1/26; 1974 Los Angeles Rams O 13/26; 1975 Los Angeles Rams(2) O 11/26; 1976 Los Angeles Rams(3) O 3/28; 1978 Chicago Bears O 20/28
Tom Bettis,1,1-6-0,0.143,50,0,,
Dick Modzelewski,1,0-1-0,0.0,50,0,,
Pat Peppler,1,3-6-0,0.333,50,0,,
Lou Holtz,1,3-10-0,0.231,50,0,,
Ernie Hefferle,1,1-7-0,0.125,50,5,0.146,1965 Pittsburgh Steelers O 22/22; 1966 Miami Dolphins O 21/24; 1967 Miami Dolphins O 24/25; 1968 Miami Dolphins O 15/26; 1969 Miami Dolphins O 23/26
Ken Shipp,1,1-4-0,0.2,50,8,0.482,1971 New Orleans Saints O 15/26; 1972 New Orleans Saints O 22/26; 1973 New York Jets O 17/26; 1974 New York Jets O 11/26; 1975 New York Jets O 14/26; 1976 Detroit Lions O 16/28; 1977 Houston Oilers O 5/28; 1978 Houston Oilers(5) O 14/28
Bill Arnsparger,1,7-28-0,0.2,40,6,0.818,1970 Miami Dolphins D 5/26; 1971 Miami Dolphins D 3/26; 1972 Miami Dolphins D 1/26; 1976 Miami Dolphins D 15/28; 1977 Miami Dolphins D 5/28; 1978 Miami Dolphins(4) D 6/28
Jim Ringo,1,3-20-0,0.13,38,0,,
Blanton Collier,2,76-34-2,0.679,90,0,,
Hamp Pool,2,23-10-2,0.657,89,0,,
Luke Johnsos,2,23-11-2,0.639,87,0,,
Jim Lee Howell,2,53-27-4,0.631,86,0,,
Lou Rymkus,2,11-7-1,0.579,85,0,,
John Rauch,2,40-28-2,0.571,84,0,,
Buddy Parker,2,104-75-9,0.553,84,0,,
Al Davis,2,23-16-3,0.548,83,0,,
Sid Gillman,2,122-99-7,0.535,79,1,0.556,1977 Chicago Bears(4) O 13/28
Frankie Albert,2,19-16-1,0.528,78,0,,
Jim Trimble,2,25-20-3,0.521,78,0,,
Joe Schmidt,2,43-34-7,0.512,77,0,,
Allie Sherman,2,57-51-4,0.509,77,0,,
Weeb Ewbank,2,130-129-7,0.489,76,0,,
Red Hickey,2,27-27-1,0.491,76,0,,
Wally Lemm,2,64-64-7,0.474,75,0,,
Charlie Waller,2,9-7-3,0.474,75,0,,
Nick Skorich,2,45-48-5,0.459,73,0,,
Dan Devine,2,25-27-4,0.446,72,0,,
Phil Bengtson,2,21-25-1,0.447,72,9,0.856,1960 Green Bay Packers D 2/21; 1961 Green Bay Packers D 3/22; 1962 Green Bay Packers D 1/22; 1963 Green Bay Packers D 2/22; 1964 Green Bay Packers D 3/22; 1965 Green Bay Packers D 1/22; 1966 Green Bay Packers D 1/24; 1967 Green Bay Packers D 4/25
Joe Collier,2,13-16-1,0.433,72,0,,
Sammy Baugh,2,18-24-0,0.429,71,0,,
Alex Webster,2,29-40-1,0.414,70,0,,
Pop Ivy,2,32-42-2,0.421,70,0,,
John Michelosen,2,20-26-2,0.417,70,0,,
Joe Kuharich,2,58-81-3,0.408,69,0,,
Otto Graham,2,17-22-3,0.405,69,0,,
Jack Christiansen,2,26-38-3,0.388,68,0,,
Buster Ramsey,2,11-16-1,0.393,68,0,,
Norm Van Brocklin,2,66-100-7,0.382,67,0,,
Harry Gilmer,2,10-16-2,0.357,67,0,,
Jim Dooley,2,20-36-0,0.357,66,0,,
Milan Creighton,2,16-26-4,0.348,66,0,,
Ed Khayat,2,8-15-2,0.32,65,0,,
Bill Austin,2,17-36-3,0.304,64,0,,
Bill McPeak,2,21-46-3,0.3,63,0,,
John Mazur,2,9-21-0,0.3,62,10,0.394,1962 Buffalo Bills O 12/22; 1963 Buffalo Bills O 14/22; 1964 Buffalo Bills O 3/22; 1965 Buffalo Bills O 11/22; 1966 Buffalo Bills O 4/24; 1967 Buffalo Bills O 21/25; 1968 Buffalo Bills O 25/26; 1969 Boston Patriots O 20/26
Bob Hollway,2,8-18-2,0.286,61,0,,
Hugh Devore,2,7-16-1,0.292,61,0,,
Jack Faulkner,2,9-22-1,0.281,60,2,0.22,1968 New Orleans Saints D 16/26; 1969 New Orleans Saints D 25/26
Harland Svare,2,7-17-2,0.269,59,0,,
Tom Fears,2,13-34-2,0.265,58,0,,
Bob Waterfield,2,9-24-1,0.265,58,0,,
Abe Gibron,2,11-30-1,0.262,55,0,,
Frank Filchock,2,7-20-1,0.25,54,0,,
Joe Thomas,2,2-9-0,0.182,50,0,,
Ron Waller,2,1-5-0,0.167,50,0,,
John Sandusky,2,4-5-0,0.444,50,0,,
Ed Hughes,2,4-9-1,0.286,50,0,,
Jerry Smith,2,2-3-0,0.4,50,0,,
Clive Rush,2,5-16-0,0.238,50,6,0.513,1963 New York Jets O 19/22; 1964 New York Jets O 16/22; 1965 New York Jets O 16/22; 1966 New York Jets O 10/24; 1967 New York Jets O 5/25; 1968 New York Jets O 3/26
Hugh Taylor,2,4-10-0,0.286,50,2,0.738,1963 San Diego Chargers O 2/22; 1964 Houston Oilers O 11/22
Bulldog Turner,2,5-9-0,0.357,50,0,,
Red Conkright,2,1-8-0,0.111,50,0,,
Dick Todd,2,5-4-0,0.556,50,1,1.0,1960 New York Titans O 1/21
Cecil Isbell,2,1-1-0,0.5,50,0,,
Bob Snyder,2,6-6-0,0.5,50,0,,
Aldo Donelli,2,4-11-0,0.267,50,0,,
Bill Edwards,2,4-9-1,0.286,50,0,,
Damon Wetzel,2,5-2-2,0.556,50,0,,
Forrest Douds,2,3-6-2,0.273,50,0,,
Benny Friedman,2,2-0-0,1.0,50,0,,
Howard Schnellenberger,2,4-13-0,0.235,49,7,0.807,1970 Miami Dolphins O 11/26; 1971 Miami Dolphins O 4/26; 1972 Miami Dolphins O 1/26; 1975 Miami Dolphins O 6/26; 1976 Miami Dolphins O 15/28; 1977 Miami Dolphins O 3/28; 1978 Miami Dolphins(4) O 2/28
Mac Speedie,2,6-19-1,0.231,47,0,,
Jerry Williams,2,7-22-2,0.226,45,0,,
Herman Ball,2,4-16-0,0.2,42,0,,
J. D. Roberts,2,7-25-3,0.2,41,0,,
Mike Nixon,2,6-30-2,0.158,39,0,,
Norb Hecker,2,4-26-1,0.129,36,0,,
Marty Feldman,2,2-15-0,0.118,35,0,,
Harvey Johnson,2,2-23-1,0.077,34,0,,
Bill Peterson,2,1-18-0,0.053,32,0,,
