round,pick,team,name,pos,age,last_season,all_pro,pro_bowls,seasons_started,career_av,draft_av,college
1,1,WAS,Ernie Davis,B,,,0,0,0,,,Syracuse
1,2,RAM,Roman Gabriel,QB,22,1977,1,4,11,98,75,North Carolina St.
1,3,RAM,Merlin Olsen,DT,21,1976,5,14,15,116,116,Utah St.
1,4,CLE,Gary Collins,FL,22,1971,1,2,8,74,74,Maryland
1,5,PIT,Bob Ferguson,FB,23,1963,0,0,0,1,1,Ohio St.
1,6,STL,Fate Echols,T,23,1963,0,0,0,4,4,Northwestern
1,7,CHI,Ronnie Bull,RB,22,1971,0,0,8,36,34,Baylor
1,8,SFO,Lance Alworth,FL,22,1972,6,7,10,98,,Arkansas
1,9,BAL,Wendell Harris,DB,21,1967,0,0,4,24,19,LSU
1,10,DET,John Hadl,QB,22,1977,1,6,12,106,,Kansas
1,11,CLE,Leroy Jackson,HB,22,1963,0,0,0,4,,Western Illinois
1,12,STL,Irv Goode,G,21,1974,0,2,10,58,55,Kentucky
1,13,NYG,Jerry Hillebrand,LB,22,1970,0,0,2,27,14,Colorado
1,14,GNB,Earl Gros,FB,22,1970,0,0,5,35,3,LSU
2,15,WAS,Joe Hernandez,WR,22,1964,0,0,0,0,0,Arizona
2,16,RAM,Joe Carollo,T,22,1973,0,1,8,49,39,Notre Dame
2,17,CLE,Chuck Hinton,DT,23,1972,0,0,8,42,,North Carolina Central
2,18,DAL,Sonny Gibbs,QB,22,1964,0,0,0,0,,TCU
2,19,STL,Bobby Jackson,FB,22,1965,0,0,1,9,,New Mexico St.
2,20,CHI,Clyde Brock,T,22,1963,0,0,0,8,,Utah St.
2,21,CHI,Bennie McRae,DB,22,1971,0,0,8,52,51,Michigan
2,22,SFO,Ed Pine,LB,22,1965,0,0,2,17,14,Utah
2,23,BAL,Bill Saul,LB,21,1970,0,0,3,29,4,Penn St.
2,24,DET,Eddie Wilson,QB,22,1965,0,0,0,3,,Arizona
2,25,CLE,Sandy Stephens,B,,,0,0,0,,,Minnesota
2,26,NYG,Bob Bill,T,,,0,0,0,,,Notre Dame
2,27,PHI,Pete Case,G,21,1970,0,0,6,41,9,Georgia
2,28,GNB,Ed Blaine,G,22,1966,0,0,4,26,3,Missouri
3,29,WAS,Bob Mitinger,LB,22,1968,0,0,0,12,,Penn St.
3,30,MIN,Bill Miller,SE,22,1968,0,0,3,21,,Miami (FL)
3,31,RAM,John Meyers,DT,22,1967,0,0,6,29,,Washington
3,32,CHI,Jim Bates,E,,,0,0,0,,,USC
3,33,RAM,John Cornett,T,,,0,0,0,,,Rice
3,34,STL,Chuck Bryant,E,21,1962,0,0,0,0,0,Ohio St.
3,35,CHI,Bill Hull,DE,22,1962,0,0,0,4,,Wake Forest
3,36,SFO,Billy Ray Adams,FB,,,0,0,0,,,Mississippi
3,37,BAL,Dan Sullivan,G,23,1972,0,0,6,52,52,Boston Col.
3,38,DET,Bobby Thompson,DB,23,1969,0,0,3,23,21,Arizona
3,39,DAL,Bobby Plummer,T,,,0,0,0,,,TCU
3,40,PHI,Pat Holmes,DE,22,1973,1,2,7,49,,Texas Tech
3,41,GNB,Gary Barnes,WR,22,1967,0,0,0,6,0,Clemson
3,42,CLE,John Furman,QB,,,0,0,0,,,Texas-El Paso
4,43,WAS,Billy Neighbors,G,22,1969,1,1,7,51,,Alabama
4,44,RAM,Art Perkins,FB,22,1963,0,0,0,3,3,North Texas
4,45,MIN,Roy Winston,LB,21,1976,0,0,13,81,81,LSU
4,46,SFO,Chuck Sieminski,DT,22,1968,0,0,1,17,8,Penn St.
4,47,STL,Roger Kochman,HB,21,1963,0,0,0,3,,Penn St.
4,48,DET,John Lomakoski,T,21,1962,0,0,0,2,2,Western Michigan
4,49,CHI,Jim Cadile,G,22,1972,0,0,8,41,41,San Jose St.
4,50,SFO,Floyd Dean,LB,22,1965,0,0,0,5,5,Florida
4,51,BAL,Jim Dillard,B,,,0,0,0,,,Oklahoma St.
4,52,DET,Larry Ferguson,HB,22,1963,0,0,0,0,0,Iowa
4,53,CLE,Stan Sczurek,LB,25,1966,0,0,0,9,7,Purdue
4,54,NYG,Glynn Griffing,QB,21,1963,0,0,0,2,2,Mississippi
4,55,PHI,Bill Byrne,G,21,1963,0,0,0,2,2,Boston Col.
4,56,GNB,Ron Gassert,DT,22,1962,0,0,0,4,4,Virginia
5,57,CHI,Mac Burton,E,,,0,0,0,,,San Jose St.
5,58,NYG,Bookie Bolin,G,22,1969,0,0,4,30,27,Mississippi
5,59,NYG,Curtis Miranda,C,,,0,0,0,,,Florida A&M
5,60,RAM,Jim Smith,T,,,0,0,0,,,Penn St.
5,61,BAL,Jerry Croft,G,,,0,0,0,,,Bowling Green
5,62,SFO,Ted Woods,HB,,,0,0,0,,,Colorado
5,63,CHI,Bill Tunnicliff,FB,,,0,0,0,,,Michigan
5,64,SFO,Mike Lind,FB,22,1966,0,0,2,7,3,Notre Dame
5,65,GNB,Chuck Morris,B,,,0,0,0,,,Mississippi
5,66,DET,Dan Birdwell,DT,21,1969,1,1,4,42,,Houston
5,67,CLE,Hank Rivera,DB,23,1963,0,0,0,3,,Oregon St.
5,68,RAM,Ben Wilson,FB,23,1967,0,0,1,16,11,USC
5,69,STL,Bill Rice,E,,,0,0,0,,,Alabama
5,70,GNB,Jon Schopf,G,,,0,0,0,,,Michigan
6,71,SFO,Keith Luhnow,B,,,0,0,0,,,Santa Ana JC
6,72,NYG,Bill Triplett,RB,22,1972,0,0,4,32,2,Miami (OH)
6,73,MIN,Larry Bowie,G,22,1968,0,0,6,34,34,Purdue
6,74,DAL,Donnie Davis,WR,21,1970,0,0,0,0,0,Southern
6,75,STL,Jack Elwell,WR,22,1962,0,0,0,0,0,Purdue
6,76,SFO,Jerry Brown,G,,,0,0,0,,,Mississippi
6,77,PHI,Gus Gonzales,G,,,0,0,0,,,Tulane
6,78,SFO,Bill Winter,T,,,0,0,0,,,West Virginia
6,79,GNB,John Sutro,T,22,1962,0,0,0,3,,San Jose St.
6,80,DET,Mike Bundra,DT,23,1965,0,0,1,15,8,USC
6,81,CLE,Sam Tidmore,LB,23,1963,0,0,0,5,5,Ohio St.
6,82,DAL,George Andrie,DE,22,1972,0,5,10,75,75,Marquette
6,83,PHI,John McGeever,DB,23,1966,0,0,4,16,,Auburn
6,84,GNB,Oscar Donahue,WR,25,1962,0,0,0,2,,San Jose St.
7,85,WAS,Bert Coan,HB,22,1968,0,0,1,16,,Kansas
7,86,PHI,Jim Perkins,T,23,1964,0,0,3,14,,Colorado
7,87,RAM,Sherwyn Thorson,G,,,0,0,0,,,Iowa
7,88,RAM,Jim Bakken,K,21,1978,2,4,0,51,,Wisconsin
7,89,PIT,Jack Collins,HB,,,0,0,0,,,Texas
7,90,STL,Bill Kirchiro,G,22,1962,0,0,0,3,,Maryland
7,91,CHI,Ed O'Bradovich,DE,22,1971,0,0,7,51,51,Illinois
7,92,SFO,John Burrell,WR,21,1967,0,0,1,5,,Rice
7,93,BAL,Fred Miller,DT,22,1972,0,3,10,72,72,LSU
7,94,DET,Tom Hall,WR,22,1969,0,0,1,19,4,Minnesota
7,95,CLE,John Havlicek,E,,,0,0,0,,,Ohio St.
7,96,PHI,Frank Budd,WR,23,1963,0,0,0,2,1,Villanova
7,97,NYG,Ken Byers,G,22,1965,0,0,0,14,9,Cincinnati
7,98,GNB,Gary Cutsinger,DE,22,1968,0,0,5,31,,Oklahoma St.
8,99,WAS,Ron Hatcher,FB,23,1962,0,0,0,0,0,Michigan St.
8,100,RAM,Dick Farris,G,,,0,0,0,,,North Texas
8,101,MIN,Paul White,HB,,,0,0,0,,,Florida
8,102,DAL,Ken Tureaud,B,,,0,0,0,,,Michigan
8,103,STL,George Gross,DT,21,1967,0,0,3,25,,Auburn
8,104,PIT,Gary Ballman,FL,22,1973,0,2,8,48,30,Michigan St.
8,105,CHI,Ed Reynolds,T,,,0,0,0,,,Tulane
8,106,SFO,Jim Vollenweider,HB,23,1963,0,0,0,2,2,Miami (FL)
8,107,BAL,Pete Brokaw,B,,,0,0,0,,,Syracuse
8,108,DET,Murdock Hooper,T,,,0,0,0,,,Houston
8,109,DET,Frank Imperiale,G,,,0,0,0,,,Southern Illinois
8,110,CHI,Larry Onesti,LB,23,1965,0,0,1,10,,Northwestern
8,111,PHI,Ralph Smith,TE,23,1969,0,0,1,7,1,Mississippi
