round,pick,team,name,pos,age,college,last_season,career_av,pro_bowls
1,1,DET,Billy Sims,RB,24,Oklahoma,1984,58,3
1,2,NYJ,Lam Jones,WR,22,Texas,1984,21,0
1,3,CIN,Anthony Munoz,T,22,USC,1992,138,11
1,4,GNB,Bruce Clark,DE,22,Penn St.,1989,46,1
1,5,BAL,Curtis Dickey,RB,23,Texas A&M,1986,37,0
1,6,STL,Curtis Greer,DE,22,Michigan,1987,38,0
1,7,ATL,Junior Miller,TE,22,Nebraska,1984,14,2
1,8,NYG,Mark Haynes,DB,21,Colorado,1989,66,3
1,9,MIN,Doug Martin,DE,23,Washington,1989,48,0
1,10,SEA,Jacob Green,DE,23,Texas A&M,1992,80,2
1,11,KAN,Brad Budde,G,22,USC,1986,36,0
1,12,NOR,Stan Brock,T,22,Colorado,1995,78,0
1,13,SFO,Earl Cooper,RB,22,Rice,1986,25,0
1,14,NWE,Roland James,DB,22,Tennessee,1990,50,0
1,15,OAK,Marc Wilson,QB,23,BYU,1990,36,0
1,16,BUF,Jim Ritcher,G,22,North Carolina St.,1995,70,2
1,17,RAM,Johnnie Johnson,DB,23,Texas,1989,51,0
1,18,WAS,Art Monk,WR,22,Syracuse,1995,90,3
1,19,CHI,Otis Wilson,LB,22,Louisville,1989,58,1
1,20,SFO,Jim Stuckey,DE,22,Clemson,1986,25,0
1,21,MIA,Don McNeal,DB,22,Alabama,1989,30,0
1,22,TAM,Ray Snell,G,22,Wisconsin,1985,19,0
1,23,PHI,Roynell Young,DB,22,Alcorn St.,1988,54,1
1,24,BAL,Derrick Hatchett,DB,22,Texas,1983,16,0
1,25,NWE,Vagas Ferguson,RB,23,Notre Dame,1983,11,0
1,26,GNB,George Cumby,LB,24,Oklahoma,1987,33,0
1,27,CLE,Charles White,RB,22,USC,1988,30,1
1,28,PIT,Mark Malone,QB,21,Arizona St.,1989,27,0
2,29,BUF,Joe Cribbs,RB,22,Auburn,1988,54,3
2,30,MIN,Willie Teal,DB,22,LSU,1987,31,0
2,31,CIN,Kirby Criswell,LB,23,Kansas,1981,0,0
2,32,BAL,Ray Donaldson,C,22,Georgia,1996,77,6
2,33,STL,Doug Marsh,TE,22,Michigan,1986,17,0
2,34,GNB,Mark Lee,DB,22,Washington,1991,56,0
2,35,PIT,Bob Kohrs,DE,21,Arizona St.,1985,8,0
2,36,ATL,Buddy Curry,LB,22,North Carolina,1987,44,0
2,37,BUF,Gene Bradley,QB,,Arkansas St.,,,0
2,38,HOU,Angelo Fields,T,22,Michigan St.,1982,3,0
2,39,SFO,Keena Turner,LB,21,Purdue,1990,57,1
2,40,NYJ,Darrol Ray,DB,22,Oklahoma,1984,30,0
2,41,NOR,Dave Waymer,DB,22,Notre Dame,1992,68,1
2,42,DEN,Rulon Jones,DE,22,Utah St.,1988,63,2
2,43,OAK,Matt Millen,LB,22,Penn St.,1991,67,1
2,44,SEA,Andre Hines,T,22,Stanford,1980,1,0
2,45,NWE,Larry McGrew,LB,23,USC,1990,45,0
2,46,CHI,Matt Suhey,RB,22,Penn St.,1989,34,0
2,47,NYJ,Ralph Clayton,WR,21,Michigan,1981,0,0
2,48,MIA,Dwight Stephenson,C,22,Alabama,1987,80,5
2,49,TAM,Kevin House,WR,22,Southern Illinois,1987,42,0
2,50,RAM,Irv Pankey,T,22,Penn St.,1992,49,0
2,51,BAL,Tim Foley,T,22,Notre Dame,1981,0,0
2,52,HOU,Daryle Skaugstad,NT,23,California,1983,4,0
2,53,PHI,Perry Harrington,RB,22,Jackson St.,1985,9,0
2,54,CLE,Cleveland Crosby,DE,24,Arizona,1982,1,0
2,55,WAS,Mat Mendenhall,DE,23,BYU,1982,15,0
2,56,PIT,John Goodman,DE,21,Oklahoma,1985,26,0
3,57,DET,Tom Turnure,C,23,Washington,1986,6,0
3,58,RAM,Jewerl Thomas,RB,22,San Jose St.,1984,7,0
3,59,CIN,Rod Horn,NT,23,Nebraska,1981,4,0
3,60,STL,John Sinnott,T,22,Brown,1982,4,0
3,61,GNB,Syd Kitson,G,21,Wake Forest,1984,9,0
3,62,DET,Mike Friede,WR,22,Indiana,1981,5,0
3,63,ATL,Earl Jones,DB,23,Norfolk St.,1983,6,0
3,64,NYG,Myron Lapka,NT,24,USC,1983,1,0
3,65,SFO,Jim Miller,P,23,Mississippi,1987,5,0
3,66,KAN,James Hadnot,RB,23,Texas Tech,1983,13,0
3,67,BUF,Mark Brammer,TE,22,Michigan St.,1984,11,0
3,68,MIN,Brent Boyd,G,23,UCLA,1986,16,0
3,69,NYJ,Lance Mehl,LB,22,Penn St.,1987,51,1
3,70,RAM,LeRoy Irvin,DB,22,Kansas,1990,76,2
3,71,BUF,John Schmeding,G,,Boston Col.,,,0
3,72,CLE,Cliff Odom,LB,22,Texas-Arlington,1993,44,0
3,73,NWE,Steve McMichael,DT,22,Texas,1994,100,2
3,74,DEN,Larry Carter,DB,,Kentucky,,,0
3,75,MIA,Bill Barnett,DE,24,Nebraska,1985,12,0
3,76,TAM,Scot Brantley,LB,22,Florida,1987,32,0
3,77,SFO,Craig Puki,LB,23,Tennessee,1982,7,0
3,78,DAL,Bill Roe,LB,22,Colorado,1987,3,0
3,79,HOU,Tim Smith,WR,23,Nebraska,1986,23,0
3,80,DAL,James Jones,RB,21,Mississippi St.,1985,5,0
3,81,STL,Charles Baker,LB,22,New Mexico,1987,31,0
3,82,RAM,Phil Murphy,DT,22,South Carolina St.,1981,2,0
3,83,PIT,Ray Sydnor,TE,,Wisconsin,,,0
4,84,SFO,Ricky Churchman,DB,22,Texas,1981,6,0
4,85,DET,Eric Hipple,QB,22,Utah St.,1989,38,0
4,86,CIN,William Glass,G,22,Baylor,1980,1,0
4,87,GNB,Fred Nixon,WR,21,Oklahoma,1981,1,0
