name,pos,age,height,weight,jersey,source_save,years_pro_read,Speed,Agility,PassArmStrength,Stamina,KickPower,Durability,Strength,Jumping,Coverage,RunRoute,Tackle
Jeff Griffin,CB,,74,185,24,1981-1982SAVEGAME.DAT,1,87,87,12,70,19,78,49,80,78,8,76
Stump Mitchell,RB,,69,188,240,1981-1982SAVEGAME.DAT,1,91,88,22,64,16,87,42,85,38,54,41
Dave Ahrens,ILB,,75,238,208,1981-1982SAVEGAME.DAT,1,80,80,10,86,13,71,61,77,66,30,78
E.J. Junior,OLB,,75,235,176,1981-1982SAVEGAME.DAT,1,85,84,10,93,13,71,66,78,80,30,93
Doak Field,OLB,,74,228,144,1981-1982SAVEGAME.DAT,1,80,75,10,67,13,65,63,72,45,23,70
Carl Birdsong,P,,72,192,144,1981-1982SAVEGAME.DAT,1,76,62,34,83,83,95,20,59,29,28,60
Neil Lomax,QB,,75,215,120,1981-1982SAVEGAME.DAT,1,72,80,93,32,14,81,24,71,31,28,39
Art Plunkett,T,,79,262,48,1981-1982SAVEGAME.DAT,1,48,58,11,76,16,84,75,73,13,28,24
Greg Lafleur,TE,,76,237,200,1981-1982SAVEGAME.DAT,1,78,78,10,62,4,80,62,73,21,73,16
John Gillen,ILB,,75,227,200,1981-1982SAVEGAME.DAT,1,71,67,10,79,13,79,55,66,61,23,79
Bobby Butler,CB,,71,180,184,1981-1982SAVEGAME.DAT,1,91,91,9,75,14,85,27,87,89,12,85
Blane Gaison,CB,,72,185,16,1981-1982SAVEGAME.DAT,1,86,83,12,68,17,81,46,79,72,8,45
Matthew Teague,DT,,77,240,64,1981-1982SAVEGAME.DAT,1,78,80,10,75,19,73,46,77,14,14,70
Buddy Curry,ILB,,76,224,144,1981-1982SAVEGAME.DAT,1,72,72,10,72,7,87,58,70,59,24,80
Mick Luckhurst,K,,74,180,144,1981-1982SAVEGAME.DAT,1,60,78,11,55,84,97,13,63,24,25,35
Lyman White,OLB,,73,217,160,1981-1982SAVEGAME.DAT,1,80,82,10,63,4,69,56,76,72,15,70
Neal Musser,OLB,,73,218,168,1981-1982SAVEGAME.DAT,1,74,75,10,62,10,77,50,68,62,30,70
Joe Nobody,C,,74,255,240,1981-1982SAVEGAME.DAT,1,79,40,12,72,25,95,61,58,14,30,27
Scott Woerner,CB,,72,190,240,1981-1982SAVEGAME.DAT,1,84,85,12,63,17,69,45,84,70,27,72
Eric Sanders,T,,78,282,24,1981-1982SAVEGAME.DAT,1,44,54,10,66,17,85,59,52,15,35,37
John Scully,C,,77,262,232,1981-1982SAVEGAME.DAT,1,56,66,11,74,16,71,67,56,13,28,24
Paul Davis,ILB,,73,221,216,1981-1982SAVEGAME.DAT,1,76,78,10,78,4,80,50,77,66,15,77
Mickey Fitzgerald,RB,,73,235,128,1981-1982SAVEGAME.DAT,1,75,74,23,32,7,63,47,68,20,50,10
Mike Humiston,ILB,,75,238,144,1981-1982SAVEGAME.DAT,1,70,71,10,82,11,73,58,66,69,23,77
Buster Barnett,TE,,77,230,160,1981-1982SAVEGAME.DAT,1,70,72,10,35,4,71,43,75,14,60,13
Byron Franklin,WR,,73,179,168,1981-1982SAVEGAME.DAT,1,87,86,20,40,12,76,29,89,11,72,10
Steve Alvers,C,,76,240,184,1981-1982SAVEGAME.DAT,1,36,50,12,65,21,75,58,45,31,30,32
Robb Riddick,RB,,72,195,64,1981-1982SAVEGAME.DAT,1,87,86,23,47,7,63,25,85,20,52,10
Reuben Henderson,CB,,73,200,160,1981-1982SAVEGAME.DAT,1,87,88,9,79,20,80,40,83,70,11,56
Todd Bell,CB,,73,207,200,1981-1982SAVEGAME.DAT,1,83,83,11,66,21,77,55,81,79,8,71
Jeff Fisher,FS,,70,188,192,1981-1982SAVEGAME.DAT,1,84,86,9,64,16,56,50,81,65,12,54
Mike Singletary,ILB,,72,230,144,1981-1982SAVEGAME.DAT,1,74,78,10,86,11,34,69,68,82,19,91
Leslie Frazier,SS,,72,189,168,1981-1982SAVEGAME.DAT,1,75,83,9,55,16,73,39,68,89,12,79
Keith Van Horne,T,,78,280,112,1981-1982SAVEGAME.DAT,1,55,68,14,73,14,79,77,65,19,30,24
Marcus Anderson,WR,,71,178,192,1981-1982SAVEGAME.DAT,1,86,85,20,59,10,77,38,82,38,70,33
Ken Margerum,WR,,71,170,200,1981-1982SAVEGAME.DAT,1,83,86,15,68,9,81,37,68,6,82,14
Jay Hilgenberg,C,,75,256,248,1981-1982SAVEGAME.DAT,1,56,73,14,73,14,79,72,65,19,30,24
John Roveto,K,,71,175,72,1981-1982SAVEGAME.DAT,1,56,72,9,40,70,69,20,56,21,21,31
Hans Nielson,K,,71,165,49,1981-1982SAVEGAME.DAT,1,40,37,10,35,59,66,36,33,16,14,15
John Simmons,FS,,71,193,200,1981-1982SAVEGAME.DAT,1,86,81,9,65,16,86,65,82,72,30,55
Bobby Whitten,G,,75,265,48,1981-1982SAVEGAME.DAT,1,32,42,11,41,19,67,57,36,11,29,28
Jim Hargrove,RB,,72,210,32,1981-1982SAVEGAME.DAT,1,78,80,23,44,7,63,61,64,20,50,10
Guy Frazier,ILB,,74,217,136,1981-1982SAVEGAME.DAT,1,79,79,10,77,6,83,65,81,56,19,66
Turk Schonert,QB,,73,195,120,1981-1982SAVEGAME.DAT,1,49,49,71,32,8,58,22,53,29,23,29
Bobby Kemp,SS,,72,191,208,1981-1982SAVEGAME.DAT,1,84,84,10,91,16,47,61,68,72,30,79
Mike Obrovac,T,,78,275,32,1981-1982SAVEGAME.DAT,1,43,46,12,70,21,61,53,47,9,23,21
David Verser,WR,,73,200,136,1981-1982SAVEGAME.DAT,1,95,88,17,59,14,93,37,85,6,74,7
