name,pos,years_pro_read,note
Jeff Allen,CB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Richard Andrews,OLB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Walker Lee Ashley,ILB,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Stacey Bailey,WR,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Keith Baldwin,DT,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Coy Barber,DT,16,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dan Benish,DE,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Keith Bishop,G,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ray Bloch,C,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tony Blount,FS,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Gene Branton,WR,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
James Britt,SS,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Reggie Brown,RB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ken Brown,C,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Preston Brown,WR,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Don Brown,T,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Qb Bryant,FS,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Gill Byrd,CB,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tony Caldwell,OLB,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Reggie Camp,DT,8,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Billy Capece,K,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Brian Carpenter,CB,12,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Ruben Carter,DE,9,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jeff Christensen,QB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Jim Clark,C,6,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Brian Clark,T,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Boobie Clark,FB,11,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mark Clayton,WR,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Tom Clement,QB,4,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Dexter Clinkscale,CB,3,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
Mark Cofer,TE,5,"first seen 1983-84; a 1982 or 1983 rookie whose years_pro is stock junk, OR a veteran both earlier saves lacked — the PFR 1982/1983 listings decide"
