year,name,pos,age,rating,potential,draft_pick,round,college,career_av,pro_bowls,ever_played,source,ordering,raise_basis
1981,George Rogers,RB,22,85,99,1,1,South Carolina,46,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Lawrence Taylor,OLB,22,82,99,2,1,North Carolina,146,10,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Freeman McNeil,RB,22,81,99,3,1,UCLA,75,3,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Kenny Easley,S,22,80,99,4,1,UCLA,65,5,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,E.J. Junior,OLB,21,79,94,5,1,Alabama,59,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Rich Campbell,QB,22,78,82,6,1,California,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Hugh Green,OLB,22,78,92,7,1,Pittsburgh,61,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ronnie Lott,S,22,77,99,8,1,USC,123,10,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mel Owens,OLB,22,77,87,9,1,Michigan,42,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,David Verser,WR,23,77,82,10,1,Kansas,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Keith Van Horne,OT,23,76,89,11,1,USC,61,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Randy McMillan,RB,22,76,85,12,1,Pittsburgh,32,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,David Overstreet,RB,22,76,80,13,1,Oklahoma,4,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Willie Scott,TE,22,76,81,14,1,South Carolina,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dennis Smith,S,22,75,95,15,1,USC,74,6,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mark Nichols,WR,21,75,82,16,1,San Jose St.,21,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Keith Gary,DE,21,75,82,17,1,Oklahoma,21,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Donnell Thompson,DE,22,75,87,18,1,North Carolina,50,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Brian Holloway,OT,22,75,88,19,1,Stanford,45,3,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mark May,OG,21,75,89,20,1,Pittsburgh,64,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ted Watts,S,23,74,80,21,1,Texas Tech,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Hanford Dixon,S,22,74,93,22,1,Southern Miss,70,3,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Curt Marsh,OG,22,74,80,23,1,Washington,17,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,James Brooks,RB,22,74,91,24,1,Auburn,82,4,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bobby Butler,S,22,74,85,25,1,Florida St.,45,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Howard Richards,OG,22,74,80,26,1,Missouri,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Leonard Mitchell,DE,22,74,81,27,1,Houston,22,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Booker Moore,RB,22,74,79,28,1,Penn St.,6,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Russell Gary,S,22,74,82,29,2,Nebraska,29,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Marion Barber Jr.,RB,21,74,79,30,2,Minnesota,5,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,David Hughes,RB,22,74,80,31,2,Boise St.,15,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dave Young,TE,22,73,77,32,2,Purdue,1,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Neil Lomax,QB,22,73,87,33,2,Portland St.,70,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,James Wilder,RB,23,73,86,34,2,Missouri,63,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Gary Lewis,TE,22,73,77,35,2,Texas-Arlington,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Harty,DT,22,73,78,36,2,Iowa,11,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Cris Collinsworth,WR,22,73,87,37,2,Florida,63,3,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mike Singletary,MLB,22,73,99,38,2,Baylor,124,10,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Mardye McDole,WR,22,73,77,39,2,Mississippi St.,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Eric Wright,S,22,73,88,40,2,Missouri,62,2,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Joe Delaney,RB,22,72,79,41,2,Northwestern St. (LA),17,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Clay Brown,TE,22,72,76,42,2,BYU,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Jim Collins,MLB,23,72,82,43,2,Syracuse,40,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Anthony Washington,S,23,72,77,44,2,Fresno St.,8,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Robin Sendlein,OLB,22,72,77,45,2,Texas,8,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Curtis Green,DE,24,72,79,46,2,Alabama St.,24,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Tony Collins,RB,22,72,83,47,2,East Carolina,47,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Howie Long,DE,21,71,95,48,2,Villanova,95,8,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Chris Williams,S,22,71,75,49,2,LSU,5,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Byron Franklin,WR,23,71,77,50,2,Auburn,16,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Rickey Jackson,OLB,23,71,94,51,2,Pittsburgh,112,6,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Jarvis Redwine,RB,24,71,75,52,2,Nebraska,0,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Doug Donley,WR,22,71,76,53,2,Ohio St.,7,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Lyman White,OLB,22,71,75,54,2,LSU,2,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Dean Miraldi,OT,23,71,77,55,2,Utah,14,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Andra Franklin,RB,22,71,78,56,2,Nebraska,18,1,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Frank Warren,DE,21,71,81,57,3,Auburn,47,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Bill Dugan,OG,22,70,75,58,3,Penn St.,7,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,John Mistler,WR,22,70,75,59,3,Arizona St.,7,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Ben Rudolph,DT,24,70,75,60,3,Long Beach St.,12,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
1981,Jeff Griffin,S,23,70,76,61,3,Utah,14,0,yes,PFR 1981 draft listing,draft pick,"career AV, Pro Bowls, All-Pros, seasons started"
