year,name,pos,age,rating,potential,draft_pick,round,college,career_av,pro_bowls,ever_played,source,ordering,raise_basis
1982,Marcus Allen,RB,21,85,90,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Mike Quick,WR,22,81,86,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1982,Bruce McNorton,CB,23,79,83,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Dean Prater,DT,24,78,82,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Mike Merriweather,OLB,22,78,82,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1982,Andrew Gissinger,OT,23,77,81,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1982,Rick Woods,S,24,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Anthony Griggs,MLB,22,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1982,Kurt Becker,OG,22,76,80,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Vyto Kab,TE,23,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1982,Walter Abercrombie,RB,22,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Jerome Sally,DE,22,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1982,Rich Karlis,K,23,75,79,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.65),NONE — no career outcome on disk; PFR fetch pending
1982,Perry Tuttle,WR,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1982,Jim Romano,C,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.64),NONE — no career outcome on disk; PFR fetch pending
1982,William Judson,CB,23,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Darrin Nelson,RB,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Ron Spears,DT,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Maury Buford,P,23,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.77),NONE — no career outcome on disk; PFR fetch pending
1982,Chip Banks,OLB,22,74,78,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1982,Phil Pozderac,OT,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1982,Mike Whitwell,S,23,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Jim McMahon,QB,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,PassArmStrength alone — the model fails for rookie QBs,NONE — no career outcome on disk; PFR fetch pending
1982,Mike Reilly,MLB,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1982,Charlie Brown,WR,23,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1982,Butch Woolfolk,RB,22,73,77,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Brad Edelman,OG,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Bobby Watkins,CB,23,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Jerry Bell,TE,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1982,Jeff Bryant,DT,22,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Rodney Tate,RB,23,72,76,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Ron Ferrari,OLB,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
1982,John Tautolo,OT,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1982,Leo Wisniewski,DE,23,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.57),NONE — no career outcome on disk; PFR fetch pending
1982,Bobby Duckworth,WR,21,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1982,Monty Hunter,S,22,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Melvin Carver,RB,23,71,75,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Dana McLemore,CB,21,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Bob Crable,MLB,22,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.59),NONE — no career outcome on disk; PFR fetch pending
1982,Booker Reese,DT,23,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.62),NONE — no career outcome on disk; PFR fetch pending
1982,Gary Anderson,K,21,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.65),NONE — no career outcome on disk; PFR fetch pending
1982,Ben Utt,OG,22,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.58),NONE — no career outcome on disk; PFR fetch pending
1982,Anthony Hancock,WR,23,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.70),NONE — no career outcome on disk; PFR fetch pending
1982,Sammy Winder,RB,21,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.42),NONE — no career outcome on disk; PFR fetch pending
1982,Johnie Cooks,OLB,22,70,74,,,,,,,2K5 1983-1984SAVEGAME.DAT years_pro==2,calibrated attributes (fit r 0.46),NONE — no career outcome on disk; PFR fetch pending
