name,pos,age,g,povr,team,college
Carl Ekern,LB,24,16,79,los-angeles-rams,San Jose State
Drew Mahalic,LB,25,9,79,philadelphia-eagles,Notre Dame
Mike Michel,P,24,10,79,philadelphia-eagles,Stanford
Larry Jones,WR,27,9,79,san-francisco-49ers,Northeast Missouri State
Bill Sandifer,DT,26,15,79,seattle-seahawks,UCLA
Jim Braxton,RB,29,16,78,miami-dolphins,West Virginia
Doug Dennison,RB,26,5,78,dallas-cowboys,Kutztown
Troy Archer,DT,23,10,78,new-york-giants,Colorado
Cleveland Franklin,RB,23,16,78,philadelphia-eagles,Baylor
Jim Laslavic,LB,27,16,78,san-diego-chargers,Penn State
Ed Bradley,LB,28,16,78,san-francisco-49ers,Wake Forest
Ed Galigher,DE,28,15,78,san-francisco-49ers,UCLA
Bob Bell,DT,30,15,78,st-louis-cardinals,Cincinnati
Steve Jones,RB,27,16,78,st-louis-cardinals,Duke
Frank Grant,WR,28,16,78,tampa-bay-buccaneers,Southern Colorado
Jim Stienke,DB,27,5,77,atlanta-falcons,Texas State
Phil Dokes,DT,23,10,77,buffalo-bills,Oklahoma State
Don Rives,LB,27,16,77,chicago-bears,Texas Tech
Glen Walker,P,26,16,77,los-angeles-rams,Southern California
Nick Lowery,K,22,2,77,new-england-patriots,Dartmouth
Bill Bryant,DB,27,14,77,new-york-giants,Grambling
Warren Bankston,RB,31,8,77,oakland-raiders,Tulane
John Sawyer,TE,25,11,77,seattle-seahawks,Southern Mississippi
Mike Sensibaugh,DB,29,5,77,st-louis-cardinals,Ohio State
Louis Carter,RB,25,16,77,tampa-bay-buccaneers,Maryland
Jimmy DuBose,RB,24,6,77,tampa-bay-buccaneers,Florida
Dave Green,P,29,16,77,tampa-bay-buccaneers,Ohio
John McKay,WR,25,15,77,tampa-bay-buccaneers,Southern California
Dan Nugent,OG,25,16,77,washington-redskins,Auburn
Forrest Blue,C,34,13,76,baltimore-colts,Auburn
Tom MacLeod,LB,27,12,76,baltimore-colts,Minnesota
Lloyd Mumphord,DB,31,16,76,baltimore-colts,Texas Southern
Brad Shearer,DT,23,15,76,chicago-bears,Texas
John Schultz,WR,25,4,76,denver-broncos,Maryland
Donnie Green,OT,30,7,76,detroit-lions,Purdue
Jim Carter,LB,30,14,76,green-bay-packers,Minnesota
Rich McGeorge,TE,30,16,76,green-bay-packers,Elon
Al Johnson,RB,28,7,76,houston-oilers,Cincinnati
Ernie Holmes,DT,30,3,76,new-england-patriots,Texas Southern
Clarence Davis,RB,29,2,76,oakland-raiders,Southern California
Ernie Hughes,C,23,15,76,san-francisco-49ers,Notre Dame
Ken Geddes,LB,32,12,76,seattle-seahawks,Nebraska
Rocky Freitas,OT,33,13,76,tampa-bay-buccaneers,Oregon State
Bob Babich,LB,31,16,75,cleveland-browns,Miami (OH)
Oscar Roan,TE,27,14,75,cleveland-browns,Southern Methodist
Gary Danielson,QB,27,16,75,detroit-lions,Purdue
Tony Sumler,DB,22,1,75,detroit-lions,Wichita State
Nat Terry,DB,22,10,75,pittsburgh-steelers,Florida State
Larry Marshall,DB,28,5,75,los-angeles-rams,Maryland
Steve Craig,TE,27,16,75,minnesota-vikings,Northwestern
Greg Boyd,DE,26,10,75,new-england-patriots,San Diego State
Richard Neal,DE,31,2,75,new-orleans-saints,Southern
Mike Hennigan,LB,27,12,75,new-york-jets,Tennessee Tech
Mike Osborn,LB,22,16,75,philadelphia-eagles,Kansas State
Kenny Harrison,WR,24,8,75,san-francisco-49ers,Southern Methodist
Dave Kraayeveld,DE,23,12,75,seattle-seahawks,Milton
Alden Roche,DE,33,10,75,seattle-seahawks,Southern
Larry Dorsey,WR,25,16,74,kansas-city-chiefs,Tennessee State
Tom Mack,OG,35,16,74,los-angeles-rams,Michigan
Floyd Rice,LB,29,15,74,new-orleans-saints,Alcorn State
Larry Keller,LB,25,16,74,new-york-jets,Houston
Gregg Robinson,DE,22,16,74,new-york-jets,Dartmouth
