name,pos,age,g,povr,team78,college,where,reason,detail,key
Charlie Waters,DB,30,16,94,dallas-cowboys,Clemson,real 1979 team,INJURY,"torn ACL in a 1979 preseason game vs Seattle; out the whole year, returned 1980 with 5 INTs",charlie waters
John Cappelletti,RB,26,14,93,los-angeles-rams,Penn State,invented franchise,INJURY,missed all of 1979 with a groin injury; traded to San Diego before 1980,john cappelletti
Bill Simpson,DB,26,16,93,los-angeles-rams,Michigan State,invented franchise,GAP YEAR,"absent 1979, resumed with Buffalo 1980-82; reason not in source",bill simpson
Roland Harper,RB,25,16,92,chicago-bears,Louisiana Tech,invented franchise,INJURY,"missed all of 1979 with a knee injury; returned 1980, started 12 games",roland harper
Jim Otis,RB,30,15,90,st-louis-cardinals,Ohio State,invented franchise,RETIRED,retired after the 1978 season,jim otis
Too Tall Jones,DE,27,16,88,dallas-cowboys,Tennessee State,Madden FA pool,LEFT THE GAME,"quit football to box professionally; went 6-0, returned to Dallas 1980",too tall jones
C.L. Whittington,DB,26,12,87,houston-oilers,Prairie View A&M,invented franchise,CAREER ENDED AFTER 1978,career span: Houston 1974-1978,cl whittington
Otis Sistrunk,DT,32,16,87,oakland-raiders,,invented franchise,RETIRED,retired after 1978,otis sistrunk
Willie Hall,LB,29,11,86,oakland-raiders,Southern California,invented franchise,UNRESOLVED,,willie hall
Jim Bailey,DT,30,16,85,atlanta-falcons,Kansas,invented franchise,UNRESOLVED,,jim bailey
Rick Volk,DB,33,16,85,miami-dolphins,Michigan,invented franchise,RETIRED,retired after Miami lost the 1978 AFC wildcard game,rick volk
Jerrel Wilson,P,37,14,85,new-england-patriots,Southern Mississippi,invented franchise,CAREER ENDED AFTER 1978,"career span: KC 1963-77, New England 1978",jerrel wilson
Curtis Johnson,DB,30,15,84,miami-dolphins,Toledo,invented franchise,UNRESOLVED,,curtis johnson
Chuck Crist,DB,27,15,84,san-francisco-49ers,Penn State,invented franchise,CAREER ENDED AFTER 1978,"career span: NYG/NO/SF, last 1978",chuck crist
Don Testerman,RB,25,16,84,seattle-seahawks,Clemson,invented franchise,INJURY,sat out 1979 injured,don testerman
Mike Burns,DB,24,15,83,detroit-lions,Southern California,invented franchise,RELEASED,released by Detroit 21 August 1979,mike burns
Steve Kiner,LB,31,16,83,houston-oilers,Tennessee,invented franchise,CAREER ENDED AFTER 1978,career span: last 1978,steve kiner
Wayne Moore,OT,33,16,83,miami-dolphins,Lamar,invented franchise,UNRESOLVED,,wayne moore
Vern Roberson,DB,26,16,83,san-francisco-49ers,Grambling,invented franchise,CAREER ENDED AFTER 1978,"career span: Miami/WFL/CFL, last 1979 (CFL)",vern roberson
Larry Walton,WR,31,12,82,buffalo-bills,Arizona State,invented franchise,CAREER ENDED,"cut by Detroit 1977, failed comeback with Buffalo 1978",larry walton
Bruce Rhodes,DB,26,15,82,detroit-lions,San Francisco State,invented franchise,CAREER ENDED AFTER 1978,"career span: SF 1976, Detroit 1978",bruce rhodes
John Woodcock,DT,24,16,82,detroit-lions,Hawaii,invented franchise,SOURCE CONFLICT,Wikipedia: a Lion 1976-1980. footballdb does not list him in 1979,john woodcock
Cody Jones,DE,27,16,82,los-angeles-rams,San Jose State,invented franchise,GAP YEAR,"absent 1979, back with the Rams 1980; reason not in source",cody jones
Mo Spencer,DB,26,16,82,new-orleans-saints,North Carolina Central,invented franchise,UNRESOLVED,,mo spencer
