cohort,name,pos,team,appearance,skin_source,skin_agreement,hair_source,band
spine,Alfred Jackson,WR,atlanta-falcons,Head5a Eyes1c Hair1a Beard1f1 Eyebrows1b Nose5b Mouth5a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Alfred Jenkins,WR,atlanta-falcons,Head5a Eyes1d Hair1m Beard1e Eyebrows1a Nose5d Mouth5a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Billy Ryckman,WR,atlanta-falcons,Head1a Eyes1b Hair2g Beard2a Eyebrows2b Nose1b Mouth1a Glasses1e Clothes2,NFL79 PSKI 0 (73%),0.73,PHCL NFL79,light
spine,Bob Glazebrook,S,atlanta-falcons,Head3a Eyes1b Hair2f Beard2d Eyebrows2a Nose3a Mouth3a Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,light
spine,Brian Cabral,MLB,atlanta-falcons,Head2a Eyes1e Hair3i Beard3d Eyebrows3a Nose2a Mouth2b Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,light
spine,Bubba Bean,RB,atlanta-falcons,Head5a Eyes1a Hair1i Beard1a Eyebrows1a Nose5c Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Dave Scott,OG,atlanta-falcons,Head4b Eyes1e Hair1e Beard1g Eyebrows1b Nose4c Mouth4b Glasses1e Clothes2,archive era-majority,0.67,PHCL NFL79,dark
spine,Dennis Pearson,WR,atlanta-falcons,Head5a Eyes1d Hair1m Beard1c Eyebrows1b Nose5b Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Dewey McClain,OLB,atlanta-falcons,Head1a Eyes1b Hair1q Beard1e Eyebrows1b Nose1b Mouth1a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Don Smith,DE,atlanta-falcons,Head3a Eyes1e Hair2a Beard2e Eyebrows2b Nose3b Mouth3a Glasses1e Clothes2,archive era-majority,0.67,PHCL NFL79,light
spine,Edgar Fields,DT,atlanta-falcons,Head5b Eyes1a Hair1r2 Beard1d Eyebrows1b Nose5c Mouth5b Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Frank Reed,S,atlanta-falcons,Head5a Eyes1c Hair1d Beard1d Eyebrows1b Nose5d Mouth5b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,Fulton Kuykendall,OLB,atlanta-falcons,Head1a Eyes1b Hair3b Beard3d Eyebrows3b Nose1d Mouth1b Glasses1e Clothes1,archive era-majority,0.67,PHCL NFL79,light
spine,Greg Brezina,OLB,atlanta-falcons,Head3c Eyes1d Hair1m Beard1g Eyebrows1b Nose3d Mouth3a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,light
spine,Haskel Stanback,RB,atlanta-falcons,Head5a Eyes1d Hair1n Beard1a Eyebrows1b Nose5a Mouth5a Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,dark
spine,James Mayberry,RB,atlanta-falcons,Head5a Eyes1b Hair1h Beard1g Eyebrows1a Nose5d Mouth5a Glasses1e Clothes2,archive era-majority,1.00,PHCL NFL79,dark
spine,Jeff Merrow,DE,atlanta-falcons,Head1a Eyes1c Hair3j Beard3c Eyebrows3a Nose1b Mouth1b Glasses1e Clothes1,archive era-majority,1.00,PHCL NFL79,light
