slot,title_rank_pick,title_yrs,career_standing_pick,career_yrs,changes,note
ARI Off Co-ord,Harry Gilmer,22,Harry Gilmer,22,no,"rival Leon McLaughlin 13; Gilmer a Lions head coach 1965-66"
ATL Off Co-ord,Ted Plumb,5,John North,14,YES,"North was Saints head coach 1974-75 and their offensive coordinator in 1973"
CIN Off Co-ord,Mike McCormack,13,Mike McCormack,13,no,"Eagles head coach 1973-75"
CLE Off Co-ord,Jim Shofner,12,Jim Shofner,12,no,"nearest rival Jim Garrett 11"
DEN Off Co-ord,Babe Parilli,8,Whitey Dovell,12,YES,"Dovell had coached Denver's line since 1967"
DET Def Co-ord,Marty Schottenheimer,5,Marty Schottenheimer,5,no,"tie with Floyd Peters on 5; title order holds, and Schottenheimer had already been the Giants' DC in 1977"
DET Off Co-ord,Bob Schnelker,16,Bob Schnelker,16,no,"already an offensive coordinator at San Diego 1972-73"
GB Off Co-ord,Zeke Bratkowski,10,Lew Carpenter,15,YES,"Carpenter was Atlanta's offensive coordinator in 1968"
KC Off Co-ord,Joe Spencer,18,Joe Spencer,18,no,"rival Tom Pagna 1"
LV Def Co-ord,Myrel Moore,7,Charlie Sumner,16,YES,"Sumner coaching since 1963; later an NFL defensive coordinator"
LV Off Co-ord,Sam Boghosian,5,Ollie Spencer,17,YES,"Spencer had coached the Raiders' line since 1962"
MIA Def Co-ord,Bill Arnsparger,15,Bill Arnsparger,15,no,"Ryan's test case: the rule reaches him under both readings; Giants head coach 1974-76"
MIA Off Co-ord,John Sandusky,20,John Sandusky,20,no,"interim Colts head coach 1972"
MIN Def Co-ord,Bob Hollway,12,Bob Hollway,12,no,"Cardinals head coach 1971-72; rival Murray Warmath 1 NFL year"
NYG Off Co-ord,Ernie Adams,0,Ernie Adams,0,no,"every candidate began in 1979; career standing is silent and title order decides"
PHI Off Co-ord,Ken Iman,3,Sid Gillman,24,YES,"Gillman 20 years a head coach, listed under Quality Control"
PIT Off Co-ord,Rollie Dotsch,8,Rollie Dotsch,8,no,"narrow: Dick Hoak 7"
SEA Def Co-ord,Larry Peccatiello,7,Jack Christiansen,20,YES,"Christiansen 49ers head coach 1963-67"
SEA Off Co-ord,Jerry Rhome,3,Howard Mudd,5,YES,"narrowest change in the table"
SF Off Co-ord,Sam Wyche,0,Bobb McKittrick,8,YES,"Wyche's entire career begins on this staff in 1979"
TB Off Co-ord,Bill Nelsen,6,Bill Nelsen,6,no,"already an offensive coordinator at Atlanta 1975-76; rival George Chaump 0"
