franchise,teamID,name,pos,pgm3_pos,age,povr,rating_note,college,team78,reason,why_here
Memphis Southmen,TEN,Jim Otis,RB,RB,30,90,,Ohio State,st-louis-cardinals,RETIRED,bought outright
Memphis Southmen,TEN,Too Tall Jones,DE,DE,27,88,,Tennessee State,dallas-cowboys,LEFT THE GAME,reserved: the pool holds few DEs
Memphis Southmen,TEN,Otis Sistrunk,DT,DT,32,87,,,oakland-raiders,RETIRED,reserved: the pool holds few DTs
Memphis Southmen,TEN,Willie Hall,LB,MLB,29,86,,Southern California,oakland-raiders,UNRESOLVED,reserved: the pool holds few MLBs
Memphis Southmen,TEN,Jerrel Wilson,P,P,37,85,,Southern Mississippi,new-england-patriots,CAREER ENDED AFTER 1978,reserved: the pool holds few Ps
Memphis Southmen,TEN,Rick Volk,DB,S,33,85,,Michigan,miami-dolphins,RETIRED,"ex-Dolphin, as in 1974"
Memphis Southmen,TEN,Curtis Johnson,DB,CB,30,84,,Toledo,miami-dolphins,UNRESOLVED,reserved: the pool holds few CBs
Memphis Southmen,TEN,Wayne Moore,OT,OT,33,83,,Lamar,miami-dolphins,UNRESOLVED,"ex-Dolphin, as in 1974"
Memphis Southmen,TEN,Reggie Haynes,TE,TE,24,82,,Nevada-Las Vegas,washington-redskins,SOURCE CONFLICT,reserved: the pool holds few TEs
Memphis Southmen,TEN,Dave Rowe,DT,DT,33,81,,Penn State,baltimore-colts,CAREER ENDED AFTER 1978,reserved: the pool holds few DTs
Memphis Southmen,TEN,Mike Montler,C,C,34,79,,Colorado,detroit-lions,CAREER ENDED AFTER 1978,reserved: the pool holds few Cs
Memphis Southmen,TEN,Carl Ekern,LB,MLB,24,79,,San Jose State,los-angeles-rams,,young and cheap; the slots are spent
Memphis Southmen,TEN,Cleveland Franklin,RB,RB,23,78,,Baylor,philadelphia-eagles,,young and cheap; the slots are spent
Memphis Southmen,TEN,Nick Lowery,K,K,22,77,,Dartmouth,new-england-patriots,,reserved: the pool holds few Ks
Memphis Southmen,TEN,Jim Stienke,DB,CB,27,77,,Texas State,atlanta-falcons,,reserved: the pool holds few CBs
Memphis Southmen,TEN,Dan Nugent,OG,OG,25,77,,Auburn,washington-redskins,,reserved: the pool holds few OGs
Memphis Southmen,TEN,Phil Dokes,DT,DT,23,77,,Oklahoma State,buffalo-bills,,young and cheap; the slots are spent
Memphis Southmen,TEN,Jimmy DuBose,RB,RB,24,77,,Florida,tampa-bay-buccaneers,,young and cheap; the slots are spent
Memphis Southmen,TEN,Brad Shearer,DT,DT,23,76,,Texas,chicago-bears,,young and cheap; the slots are spent
Memphis Southmen,TEN,Gary Danielson,QB,QB,27,75,,Purdue,detroit-lions,,reserved: the pool holds few QBs
Memphis Southmen,TEN,Alden Roche,DE,DE,33,75,,Southern,seattle-seahawks,,reserved: the pool holds few DEs
Memphis Southmen,TEN,Oscar Roan,TE,TE,27,75,,Southern Methodist,cleveland-browns,,reserved: the pool holds few TEs
Memphis Southmen,TEN,Tony Sumler,DB,S,22,75,,Wichita State,detroit-lions,,young and cheap; the slots are spent
Memphis Southmen,TEN,Mike Osborn,LB,OLB,22,75,,Kansas State,philadelphia-eagles,,young and cheap; the slots are spent
Memphis Southmen,TEN,Kenny Harrison,WR,WR,24,75,,Southern Methodist,san-francisco-49ers,,young and cheap; the slots are spent
Memphis Southmen,TEN,Jesse Turnbow,DT,DT,22,73,,Tennessee,cleveland-browns,,young and cheap; the slots are spent
Memphis Southmen,TEN,Curtis Townsend,LB,OLB,23,73,,Arkansas,st-louis-cardinals,,young and cheap; the slots are spent
Memphis Southmen,TEN,Chris Devlin,LB,MLB,24,72,,Penn State,chicago-bears,,young and cheap; the slots are spent
Memphis Southmen,TEN,Jesse Thompson,WR,WR,22,72,,California,detroit-lions,,young and cheap; the slots are spent
Memphis Southmen,TEN,Greg Boykin,RB,RB,24,72,,Northwestern,san-francisco-49ers,,young and cheap; the slots are spent
Memphis Southmen,TEN,Mark Nichols,LB,OLB,22,72,,Colorado State,san-francisco-49ers,,young and cheap; the slots are spent
Memphis Southmen,TEN,Bob McKay,OT,OG,30,71,,Texas,new-england-patriots,,reserved: the pool holds few OGs
Memphis Southmen,TEN,Willie McCray,DE,DE,25,71,,Troy State,san-francisco-49ers,,reserved: the pool holds few DEs
Memphis Southmen,TEN,Andy Bolton,RB,RB,24,71,,Fisk,detroit-lions,,young and cheap; the slots are spent
Memphis Southmen,TEN,Bill Troup,QB,QB,27,70,,South Carolina,baltimore-colts,,reserved: the pool holds few QBs
Memphis Southmen,TEN,Kurt Schumacher,OG,C,25,68,,Ohio State,tampa-bay-buccaneers,,reserved: the pool holds few Cs
Memphis Southmen,TEN,Charles Aiu,OG,OG,24,67,,Hawaii,san-diego-chargers,,reserved: the pool holds few OGs
Memphis Southmen,TEN,Fran Tarkenton,QB,QB,38,,,Georgia,minnesota-vikings,RETIRED,bought outright
Memphis Southmen,TEN,Marvin Switzer,DB,S,24,,,Kansas State,buffalo-bills,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Robert Turner,RB,RB,24,,,Oklahoma State,houston-oilers,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Al Darby,TE,TE,24,,,Florida,tampa-bay-buccaneers,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Dave Farmer,RB,RB,24,,,Southern California,tampa-bay-buccaneers,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Karl Farmer,WR,WR,24,,,Pittsburgh,tampa-bay-buccaneers,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Earl Inmon,LB,OLB,24,,,Bethune-Cookman,tampa-bay-buccaneers,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Teddy Farmer,RB,RB,25,,,Oregon,st-louis-cardinals,,"no Madden record; young and unproven, which is cheap"
Memphis Southmen,TEN,Mike Patrick,P,P,26,,,Mississippi State,new-england-patriots,,"no Madden record; young and unproven, which is cheap"
Charlotte Hornets,CAR,C.L. Whittington,DB,S,26,87,,Prairie View A&M,houston-oilers,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Jim Bailey,DT,DT,30,85,,Kansas,atlanta-falcons,UNRESOLVED,reserved: the pool holds few DTs
Charlotte Hornets,CAR,Chuck Crist,DB,S,27,84,,Penn State,san-francisco-49ers,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Steve Kiner,LB,MLB,31,83,,Tennessee,houston-oilers,CAREER ENDED AFTER 1978,reserved: the pool holds few MLBs
Charlotte Hornets,CAR,Mike Burns,DB,S,24,83,,Southern California,detroit-lions,RELEASED,"let go, not hurt"
Charlotte Hornets,CAR,Vern Roberson,DB,S,26,83,,Grambling,san-francisco-49ers,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Mo Spencer,DB,CB,26,82,,North Carolina Central,new-orleans-saints,UNRESOLVED,reserved: the pool holds few CBs
Charlotte Hornets,CAR,Larry Walton,WR,WR,31,82,,Arizona State,buffalo-bills,CAREER ENDED,"let go, not hurt"
Charlotte Hornets,CAR,Bruce Rhodes,DB,S,26,82,,San Francisco State,detroit-lions,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Zenon Andrusyshyn,P,P,31,81,,UCLA,kansas-city-chiefs,RELEASED then CFL,reserved: the pool holds few Ps
Charlotte Hornets,CAR,Andre Tillman,TE,TE,26,81,,Texas Tech,miami-dolphins,CAREER ENDED AFTER 1978,reserved: the pool holds few TEs
Charlotte Hornets,CAR,Skip Vanderbundt,LB,OLB,31,80,,Oregon State,new-orleans-saints,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Bo Rather,WR,WR,28,80,,Michigan,chicago-bears,SOURCE CONFLICT,no doctrine claims him; placed on fit
Charlotte Hornets,CAR,Bill Sandifer,DT,DT,26,79,,UCLA,seattle-seahawks,,reserved: the pool holds few DTs
Charlotte Hornets,CAR,Barry Darrow,OT,OT,28,79,,Montana,cleveland-browns,CAREER ENDED AFTER 1978,"let go, not hurt"
Charlotte Hornets,CAR,Larry Jones,WR,WR,27,79,,Northeast Missouri State,san-francisco-49ers,,worth another look
Charlotte Hornets,CAR,Bob Bell,DT,DE,30,78,,Cincinnati,st-louis-cardinals,,reserved: the pool holds few DEs
Charlotte Hornets,CAR,Jim Braxton,RB,RB,29,78,,West Virginia,miami-dolphins,,worth another look
Charlotte Hornets,CAR,Jim Laslavic,LB,MLB,27,78,,Penn State,san-diego-chargers,,worth another look
Charlotte Hornets,CAR,Ed Bradley,LB,OLB,28,78,,Wake Forest,san-francisco-49ers,,worth another look
Charlotte Hornets,CAR,Steve Jones,RB,RB,27,78,,Duke,st-louis-cardinals,,worth another look
Charlotte Hornets,CAR,Bill Bryant,DB,CB,27,77,,Grambling,new-york-giants,,reserved: the pool holds few CBs
Charlotte Hornets,CAR,Forrest Blue,C,C,34,76,,Auburn,baltimore-colts,,reserved: the pool holds few Cs
Charlotte Hornets,CAR,Ernie Hughes,C,OG,23,76,,Notre Dame,san-francisco-49ers,,reserved: the pool holds few OGs
Charlotte Hornets,CAR,Steve Craig,TE,TE,27,75,,Northwestern,minnesota-vikings,,reserved: the pool holds few TEs
Charlotte Hornets,CAR,Gregg Robinson,DE,DE,22,74,,Dartmouth,new-york-jets,,reserved: the pool holds few DEs
Charlotte Hornets,CAR,John Reaves,QB,QB,28,72,,Florida,cincinnati-bengals,,reserved: the pool holds few QBs
Charlotte Hornets,CAR,Ed George,OT,OG,32,71,,Wake Forest,philadelphia-eagles,,reserved: the pool holds few OGs
Charlotte Hornets,CAR,Scott Bull,QB,QB,25,70,,Arkansas,san-francisco-49ers,,reserved: the pool holds few QBs
Charlotte Hornets,CAR,John Alexander,DE,DE,22,70,,Rutgers,miami-dolphins,,reserved: the pool holds few DEs
Charlotte Hornets,CAR,John Leypoldt,K,K,32,69,,Northern Virginia CC,new-orleans-saints,,reserved: the pool holds few Ks
Charlotte Hornets,CAR,Gary Anderson,OG,C,23,65,,Stanford,new-orleans-saints,,reserved: the pool holds few Cs
Charlotte Hornets,CAR,John Schuhmacher,OG,OG,23,60,,Southern California,houston-oilers,,reserved: the pool holds few OGs
Charlotte Hornets,CAR,Fred Biletnikoff,WR,WR,35,,,Florida State,oakland-raiders,RELEASED then CFL,"let go, not hurt"
Charlotte Hornets,CAR,Jim Mandich,TE,TE,30,,,Michigan,pittsburgh-steelers,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Hubert Ginn,RB,RB,31,,,Florida A&M,oakland-raiders,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Vince Papale,WR,WR,32,,,St. Joseph's (PA),philadelphia-eagles,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Paul Naumoff,LB,OLB,33,,,Tennessee,detroit-lions,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Pat Curran,TE,TE,33,,,Lakeland,san-diego-chargers,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Jake Scott,DB,S,33,,,Georgia,washington-redskins,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Jethro Pugh,DT,DT,34,,,Elizabeth City State,dallas-cowboys,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Pete Banaszak,RB,RB,34,,,Miami,oakland-raiders,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Elbert Drungo,OT,OT,35,,,Tennessee State,buffalo-bills,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Bobby Maples,C,C,35,,,Baylor,denver-broncos,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Emmitt Thomas,DB,S,35,,,Bishop,kansas-city-chiefs,,no Madden record; a name that had finished
Charlotte Hornets,CAR,Mike Curtis,LB,OLB,35,,,Duke,washington-redskins,,no Madden record; a name that had finished
Jacksonville Sharks,JAX,Harold McLinton,LB,MLB,31,82,,Southern,washington-redskins,CAREER ENDED AFTER 1978,reserved: the pool holds few MLBs
Jacksonville Sharks,JAX,John Woodcock,DT,DT,24,82,,Hawaii,detroit-lions,SOURCE CONFLICT,reserved: the pool holds few DTs
Jacksonville Sharks,JAX,Sidney Brown,DB,CB,22,81,,Oklahoma,new-england-patriots,UNRESOLVED,reserved: the pool holds few CBs
Jacksonville Sharks,JAX,Ken Payne,WR,WR,28,81,,Langston,philadelphia-eagles,UNRESOLVED,no doctrine claims him; placed on fit
Jacksonville Sharks,JAX,David Lee,P,P,34,79,,Louisiana Tech,baltimore-colts,RETIRED,reserved: the pool holds few Ps
Jacksonville Sharks,JAX,Troy Archer,DT,DT,23,78,,Colorado,new-york-giants,,reserved: the pool holds few DTs
Jacksonville Sharks,JAX,John Sawyer,TE,TE,25,77,,Southern Mississippi,seattle-seahawks,,reserved: the pool holds few TEs
Jacksonville Sharks,JAX,Lloyd Mumphord,DB,CB,31,76,,Texas Southern,baltimore-colts,,reserved: the pool holds few CBs
Jacksonville Sharks,JAX,Richard Neal,DE,DE,31,75,,Southern,new-orleans-saints,,reserved: the pool holds few DEs
Jacksonville Sharks,JAX,Tom Mack,OG,OG,35,74,,Michigan,los-angeles-rams,,reserved: the pool holds few OGs
Jacksonville Sharks,JAX,Jim Thaxton,TE,TE,29,73,,Tennessee State,st-louis-cardinals,,reserved: the pool holds few TEs
Jacksonville Sharks,JAX,Greg Marshall,DT,DE,22,72,,Oregon State,baltimore-colts,,reserved: the pool holds few DEs
Jacksonville Sharks,JAX,Tony Adams,QB,QB,28,71,,Utah State,kansas-city-chiefs,,reserved: the pool holds few QBs
Jacksonville Sharks,JAX,Greg Schaum,DE,DE,24,70,,Michigan State,new-england-patriots,,reserved: the pool holds few DEs
Jacksonville Sharks,JAX,Bobby Douglass,QB,QB,31,69,,Kansas,green-bay-packers,,reserved: the pool holds few QBs
Jacksonville Sharks,JAX,Rick Nuzum,C,C,26,69,,Kentucky,green-bay-packers,,reserved: the pool holds few Cs
Jacksonville Sharks,JAX,Leo Tierney,C,OG,24,69,,Georgia Tech,new-york-giants,,reserved: the pool holds few OGs
Jacksonville Sharks,JAX,Terry Anderson,WR,WR,23,68,,Bethune-Cookman,washington-redskins,,"cheap, and Southern"
Jacksonville Sharks,JAX,Paul Harris,LB,MLB,23,68,,Alabama,tampa-bay-buccaneers,,"cheap, and Southern"
Jacksonville Sharks,JAX,Marshall Johnson,WR,WR,26,67,,Houston,baltimore-colts,,"cheap, and Southern"
Jacksonville Sharks,JAX,Willie Brock,C,C,23,65,,Colorado,detroit-lions,,reserved: the pool holds few Cs
Jacksonville Sharks,JAX,Lewis Gilbert,TE,TE,22,65,,Florida,atlanta-falcons,,"cheap, and Southern"
Jacksonville Sharks,JAX,James Betterson,RB,RB,24,65,,North Carolina,philadelphia-eagles,,"cheap, and Southern"
Jacksonville Sharks,JAX,Errol Mann,K,K,37,63,,North Dakota,oakland-raiders,,reserved: the pool holds few Ks
Jacksonville Sharks,JAX,Larry Mallory,DB,S,26,63,,Tennessee State,new-york-giants,,"cheap, and Southern"
Jacksonville Sharks,JAX,Randy Johnson,OG,C,25,62,,Georgia,tampa-bay-buccaneers,,"cheap, and Southern"
Jacksonville Sharks,JAX,Mark Iwanowski,TE,TE,23,59,,Pennsylvania,new-york-jets,,"cheap, wherever from"
Jacksonville Sharks,JAX,Blake Whitlatch,LB,MLB,23,59,,Louisiana State,new-york-jets,,"cheap, wherever from"
Jacksonville Sharks,JAX,Charlie White,RB,RB,25,56,,Bethune-Cookman,tampa-bay-buccaneers,,"cheap, and Southern"
Jacksonville Sharks,JAX,Mark Kellar,RB,RB,26,55,,Northern Illinois,minnesota-vikings,,"cheap, wherever from"
Jacksonville Sharks,JAX,Robert Watts,LB,MLB,24,55,,Boston College,oakland-raiders,,"cheap, wherever from"
Jacksonville Sharks,JAX,Jim Earley,RB,RB,22,51,,Michigan State,new-york-jets,,"cheap, wherever from"
Jacksonville Sharks,JAX,John Sokolosky,C,C,22,48,,Wayne State (MI),detroit-lions,,"cheap, wherever from"
Jacksonville Sharks,JAX,Mel Mitchell,OG,OG,25,,,Tennessee State,miami-dolphins,,reserved: the pool holds few OGs
Jacksonville Sharks,JAX,Willie Taylor,WR,WR,22,,,Pittsburgh,green-bay-packers,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Tom Jurich,K,K,22,,,Northern Arizona,new-orleans-saints,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Rusty Rebowe,LB,OLB,22,,,Nicholls State,new-orleans-saints,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Randy Gill,LB,OLB,22,,,San Jose State,st-louis-cardinals,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Mark Manges,QB,QB,22,,,Maryland,st-louis-cardinals,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Leo Biedermann,OT,OT,23,,,California,cleveland-browns,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Frank Chesley,LB,OLB,23,,,Wyoming,green-bay-packers,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Danny Johnson,LB,OLB,23,,,Tennessee State,green-bay-packers,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,James Van Wagner,RB,RB,23,,,Michigan Tech,new-orleans-saints,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Warren Anderson,WR,WR,23,,,West Virginia State,st-louis-cardinals,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Larry Franklin,WR,WR,23,,,Jackson State,tampa-bay-buccaneers,,"no Madden record; young and unproven, which is cheap"
Jacksonville Sharks,JAX,Ken Moore,TE,TE,24,,,Northern Illinois,atlanta-falcons,,"no Madden record; young and unproven, which is cheap"
Indianapolis Racers,IND,Charlie Waters,DB,S,30,94,injury: rating 14 below potential,Clemson,dallas-cowboys,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,John Cappelletti,RB,RB,26,93,injury: rating 14 below potential,Penn State,los-angeles-rams,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,Bill Simpson,DB,S,26,93,,Michigan State,los-angeles-rams,GAP YEAR,the injury bet — his own team still wanted him
Indianapolis Racers,IND,Roland Harper,RB,RB,25,92,injury: rating 14 below potential,Louisiana Tech,chicago-bears,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,Don Testerman,RB,RB,25,84,injury: rating 14 below potential,Clemson,seattle-seahawks,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,Cody Jones,DE,DT,27,82,,San Jose State,los-angeles-rams,GAP YEAR,reserved: the pool holds few DTs
Indianapolis Racers,IND,George Kunz,OT,OT,31,81,injury: rating 14 below potential,Notre Dame,baltimore-colts,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,John Outlaw,DB,CB,33,80,,Jackson State,philadelphia-eagles,CAREER ENDED AFTER 1978,reserved: the pool holds few CBs
Indianapolis Racers,IND,Ray Pinney,OT,OT,24,80,injury: rating 14 below potential,Washington,pittsburgh-steelers,INJURY,the injury bet — his own team still wanted him
Indianapolis Racers,IND,Mike Michel,P,P,24,79,,Stanford,philadelphia-eagles,,reserved: the pool holds few Ps
Indianapolis Racers,IND,Tom Graham,LB,MLB,28,79,,Oregon,buffalo-bills,CAREER ENDED AFTER 1978,reserved: the pool holds few MLBs
Indianapolis Racers,IND,Drew Mahalic,LB,OLB,25,79,,Notre Dame,philadelphia-eagles,,"young, and they can wait"
Indianapolis Racers,IND,Ed Galigher,DE,DT,28,78,,UCLA,san-francisco-49ers,,reserved: the pool holds few DTs
Indianapolis Racers,IND,Doug Dennison,RB,RB,26,78,,Kutztown,dallas-cowboys,,"young, and they can wait"
Indianapolis Racers,IND,Glen Walker,P,P,26,77,,Southern California,los-angeles-rams,,"young, and they can wait"
Indianapolis Racers,IND,Louis Carter,RB,RB,25,77,,Maryland,tampa-bay-buccaneers,,"young, and they can wait"
Indianapolis Racers,IND,John McKay,WR,WR,25,77,,Southern California,tampa-bay-buccaneers,,"young, and they can wait"
Indianapolis Racers,IND,Rich McGeorge,TE,TE,30,76,,Elon,green-bay-packers,,reserved: the pool holds few TEs
Indianapolis Racers,IND,John Schultz,WR,WR,25,76,,Maryland,denver-broncos,,"young, and they can wait"
