season,week,home_team,home_score,away_team,away_score,home_coach,away_coach
2000,1,ATL,36,SF,28,Dan Reeves,Steve Mariucci
2000,1,CLE,7,JAX,27,Chris Palmer,Tom Coughlin
2000,1,KC,14,IND,27,Gunther Cunningham,Jim Mora
2000,1,MIN,30,CHI,27,Dennis Green,Dick Jauron
2000,1,NE,16,TB,21,Bill Belichick,Tony Dungy
2000,1,NO,10,DET,14,Jim Haslett,Bobby Ross
2000,1,NYG,21,ARI,16,Jim Fassel,Vince Tobin
2000,1,PIT,0,BAL,16,Bill Cowher,Brian Billick
2000,1,WAS,20,CAR,17,Norv Turner,George Seifert
2000,1,DAL,14,PHI,41,Dave Campo,Andy Reid
2000,1,GB,16,NYJ,20,Mike Sherman,Al Groh
2000,1,MIA,23,SEA,0,Dave Wannstedt,Mike Holmgren
2000,1,OAK,9,SD,6,Jon Gruden,Mike Riley
2000,1,BUF,16,TEN,13,Wade Phillips,Jeff Fisher
2000,1,STL,41,DEN,36,Mike Martz,Mike Shanahan
2000,2,IND,31,OAK,38,Jim Mora,Jon Gruden
2000,2,BAL,39,JAX,36,Brian Billick,Tom Coughlin
2000,2,BUF,27,GB,18,Wade Phillips,Mike Sherman
2000,2,CIN,7,CLE,24,Bruce Coslet,Chris Palmer
2000,2,MIN,13,MIA,7,Dennis Green,Dave Wannstedt
2000,2,PHI,18,NYG,33,Andy Reid,Jim Fassel
2000,2,TB,41,CHI,0,Tony Dungy,Dick Jauron
2000,2,TEN,17,KC,14,Jeff Fisher,Gunther Cunningham
2000,2,DEN,42,ATL,14,Mike Shanahan,Dan Reeves
2000,2,DET,15,WAS,10,Bobby Ross,Norv Turner
2000,2,SD,27,NO,28,Mike Riley,Jim Haslett
2000,2,SEA,34,STL,37,Mike Holmgren,Mike Martz
2000,2,SF,22,CAR,38,Steve Mariucci,George Seifert
2000,2,ARI,32,DAL,31,Vince Tobin,Dave Campo
2000,2,NYJ,20,NE,19,Al Groh,Bill Belichick
2000,3,CAR,10,ATL,15,George Seifert,Dan Reeves
2000,3,CLE,23,PIT,20,Chris Palmer,Bill Cowher
2000,3,DET,10,TB,31,Bobby Ross,Tony Dungy
2000,3,GB,6,PHI,3,Mike Sherman,Andy Reid
2000,3,JAX,13,CIN,0,Tom Coughlin,Bruce Coslet
2000,3,KC,42,SD,10,Gunther Cunningham,Mike Riley
2000,3,NYJ,27,BUF,14,Al Groh,Wade Phillips
2000,3,STL,41,SF,24,Mike Martz,Steve Mariucci
2000,3,OAK,24,DEN,33,Jon Gruden,Mike Shanahan
2000,3,CHI,7,NYG,14,Dick Jauron,Jim Fassel
2000,3,NE,13,MIN,21,Bill Belichick,Dennis Green
2000,3,SEA,20,NO,10,Mike Holmgren,Jim Haslett
2000,3,MIA,19,BAL,6,Dave Wannstedt,Brian Billick
2000,3,WAS,21,DAL,27,Norv Turner,Dave Campo
2000,4,ATL,20,STL,41,Dan Reeves,Mike Martz
2000,4,BAL,37,CIN,0,Brian Billick,Bruce Coslet
2000,4,CHI,14,DET,21,Dick Jauron,Bobby Ross
2000,4,DAL,24,SF,41,Dave Campo,Steve Mariucci
2000,4,MIA,10,NE,3,Dave Wannstedt,Bill Belichick
2000,4,NO,7,PHI,21,Jim Haslett,Andy Reid
2000,4,PIT,20,TEN,23,Bill Cowher,Jeff Fisher
2000,4,ARI,3,GB,29,Vince Tobin,Mike Sherman
2000,4,DEN,22,KC,23,Mike Shanahan,Gunther Cunningham
2000,4,OAK,36,CLE,10,Jon Gruden,Chris Palmer
2000,4,SD,12,SEA,20,Mike Riley,Mike Holmgren
2000,4,TB,17,NYJ,21,Tony Dungy,Al Groh
2000,4,NYG,6,WAS,16,Jim Fassel,Terry Robiskie
2000,4,IND,43,JAX,14,Jim Mora,Tom Coughlin
2000,5,BUF,16,IND,18,Wade Phillips,Jim Mora
