team,role,ours,generated,provenance,book_candidates,verdict
ARI,Off Co-ord,Harry Gilmer,,real (name i,,book silent
ARI,Def Co-ord,Tom Bettis,,real (name i,Tom Bettis; Rudy Feldman,AGREE
ARI,Special Teams,Jerry Thompson,,real (name i,Jerry Thompson; Cleveland Browns,AGREE
ATL,Off Co-ord,John North,,real (name i,,book silent
ATL,Def Co-ord,Jerry Glanville,,sourced,Secondary Glanville,AGREE
ATL,Special Teams,Matthew Trombley,[gen],invented,San Francisco,differs
BAL,Off Co-ord,Dick Bielski,,real (name i,,book silent
BAL,Def Co-ord,Maxie Baughan,,sourced,Linebackers URGES EMRE; Linebackers Maxie Baughan,AGREE
BAL,Special Teams,George Boutselis,,sourced,EERE Rais; George Boutselis; TD...Led Colts,AGREE
BUF,Off Co-ord,Ray Prochaska,,real (name i,RAY PROCHASKA; PERSONAL INFORMATION,AGREE
BUF,Def Co-ord,Tom Catlin,,real (name i,Moore TOM CATLIN; Linebackers An All-America,AGREE
BUF,Special Teams,Elijah Pitts,,real (name i,Curtis Brown's,differs
CHI,Off Co-ord,Ken Meyer,,real (name i,Dr. Clarence Fossier; Ken Meyer FOMNGE,AGREE
CHI,Def Co-ord,Buddy Ryan,,real (name i,Fred Caito; Buddy Ryan Assistant,AGREE
CHI,Special Teams,Hank Kuhlmann,,real (name i,Hank Kuhlmann Dir; Green Bay Packer,AGREE
CIN,Off Co-ord,Mike McCormack,,real (name i,,book silent
CIN,Def Co-ord,Howard Brinker,,sourced,Angela. HOWARD BRINKER; Linebackers Howard Brinker; ,AGREE
CIN,Special Teams,Frank Gansz,,sourced,FRANK GANSZ; Frank Gansz; Ross Browner,AGREE
CLE,Off Co-ord,Jim Shofner,,real (name i,,book silent
CLE,Def Co-ord,Chuck Weber,,real (name i,,book silent
CLE,Special Teams,Al Tabor,,sourced,,book silent
DAL,Off Co-ord,Dan Reeves,,real (name i,Dan Reeves,AGREE
DAL,Def Co-ord,Ernie Stautner,,real (name i,Ernie Stautner,AGREE
DAL,Special Teams,Mike Ditka,,real (name i,Receivers Mike Ditka; Alois Blackwell; Randy Hughes,AGREE
DEN,Off Co-ord,Whitey Dovell,,real (name i,,book silent
DEN,Def Co-ord,Joe Collier,,sourced,Joe Collier; JOE COLLIER,AGREE
DEN,Special Teams,Marv Braden,,sourced,Marv Braden; STAFF MARV BRADEN; Selected All- Southe,AGREE
DET,Off Co-ord,Bob Schnelker,,real (name i,,book silent
DET,Def Co-ord,Marty Schottenheimer,,real (name i,,book silent
DET,Special Teams,Larry Pasquale,,real (name i,,book silent
GB,Off Co-ord,Lew Carpenter,,real (name i,,book silent
GB,Def Co-ord,Dave Hanner,,sourced,ZEKE BRATKOWSKI Offensive; Joel David Hanner; Dave H,AGREE
GB,Special Teams,Dick Rehbein,,sourced,DICK REHBEIN Special,AGREE
HOU,Off Co-ord,King Hill,,real (name i,,book silent
HOU,Def Co-ord,Ed Biles,,sourced,ED BILES; Linebackers Since,AGREE
HOU,Special Teams,John Paul Young,,sourced,John Paul Young; JOHN PAUL YOUNG,AGREE
KC,Off Co-ord,Joe Spencer,,real (name i,,book silent
KC,Def Co-ord,Rod Rust,,real (name i,Marv Levy; Linebacker Coach.............. Rod,differs
KC,Special Teams,Bobby Ross,,real (name i,,book silent
LAC,Off Co-ord,Joe Gibbs,,real (name i,Joe Gibbs; Jackle Simpson; John David Crow,AGREE
LAC,Def Co-ord,Jacki Simpson,,real (name i,Jim Hanlfan; Jackle Simpson Offensive; Jackie Simpso,AGREE
LAC,Special Teams,Wayne Sevier,,real (name i,Wayne Sevier; COLLEGE Won,AGREE
LAR,Off Co-ord,Lionel Taylor,,sourced,,book silent
LAR,Def Co-ord,Bud Carson,,sourced,Bud Carson,AGREE
LAR,Special Teams,Paul Lanham,,sourced,,book silent
LV,Off Co-ord,Ollie Spencer,,real (name i,,book silent
LV,Def Co-ord,Charlie Sumner,,real (name i,,book silent
LV,Special Teams,Myrel Moore,,sourced,,book silent
MIA,Off Co-ord,John Sandusky,,real (name i,Carl Taseff; Howard Schnellenberger,differs
MIA,Def Co-ord,Tom Keane,,real (name i,Howard Schnellen; Bill Arnsparger; John Smith,differs
MIA,Special Teams,Steve Crosby,,sourced,WIOD Radio's; Moore WIOD-Rick Weaver; CB Lloyd Mumph,differs
MIN,Off Co-ord,Jerry Burns,,real (name i,,book silent
MIN,Def Co-ord,Bob Hollway,,real (name i,,book silent
MIN,Special Teams,Jared Gilbert,[gen],invented,,book silent
NE,Off Co-ord,Jim Ringo,,real (name i,Hank Bullough; JIM RINGO Syracuse; Ron Erhardt,AGREE
NE,Def Co-ord,Hank Bullough,,real (name i,Linebackers Born,differs
NE,Special Teams,Gino Cappelletti,,real (name i,Raymond Berry; Line Gino Cappelletti; Ae John Polonc,AGREE
NO,Off Co-ord,Ed Hughes,,sourced,A... Dick Nolan,differs
