"For each man below: look at the photos, then write one of these in the verdict column."
light   dark   middle   skip
Use middle if he is genuinely between the two. Use skip if the photos do not let you tell.

name,position,team,season,archive_says,archive_votes,archive_source,mike_says,mike_files,verdict,photos
Mosi Tatupu,RB,New England Patriots,1979,light,2 of 2,registry-1986,dark,"1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mosi%20Tatupu%20RB%20New%20England%20Patriots%201979%20NFL
Kent Hill,OG,Los Angeles Rams,1979,light,2 of 2,registry-1986,dark,"NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Kent%20Hill%20OG%20Los%20Angeles%20Rams%201979%20NFL
Reggie Roby,P,Miami Dolphins,1986,light,2 of 2,registry-1986,dark,"1976, 1996, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Reggie%20Roby%20P%20Miami%20Dolphins%201986%20NFL
Tony Galbreath,RB,New Orleans Saints,1979,light,2 of 2,registry-1986,dark,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Tony%20Galbreath%20RB%20New%20Orleans%20Saints%201979%20NFL
Marvin Powell,OT,New York Jets,1979,light,2 of 2,registry-1986,dark,"1978, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Marvin%20Powell%20OT%20New%20York%20Jets%201979%20NFL
Ron Baker,OG,Baltimore Colts,1979,light,2 of 2,registry-1986,dark,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Ron%20Baker%20OG%20Baltimore%20Colts%201979%20NFL
Emery Moorehead,TE,New York Giants,1979,light,2 of 2,registry-1986,dark,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Emery%20Moorehead%20TE%20New%20York%20Giants%201979%20NFL
Billy Shields,OT,San Diego Chargers,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Billy%20Shields%20OT%20San%20Diego%20Chargers%201979%20NFL
Dan Bunz,MLB,San Francisco 49ers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dan%20Bunz%20MLB%20San%20Francisco%2049ers%201979%20NFL
Brad Benson,OT,New York Giants,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Brad%20Benson%20OT%20New%20York%20Giants%201979%20NFL
Dave Studdard,OT,Denver Broncos,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dave%20Studdard%20OT%20Denver%20Broncos%201979%20NFL
Dan Doornink,RB,Seattle Seahawks,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dan%20Doornink%20RB%20Seattle%20Seahawks%201979%20NFL
Linden King,OLB,San Diego Chargers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Linden%20King%20OLB%20San%20Diego%20Chargers%201979%20NFL
Casey Merrill,DE,Green Bay Packers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Casey%20Merrill%20DE%20Green%20Bay%20Packers%201979%20NFL
Mike Stensrud,DT,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Stensrud%20DT%20Houston%20Oilers%201979%20NFL
Gary Spani,MLB,Kansas City Chiefs,1979,dark,2 of 2,registry-1986,light,1978,,https://www.google.com/search?tbm=isch&q=Gary%20Spani%20MLB%20Kansas%20City%20Chiefs%201979%20NFL
Mike Bell,DE,Kansas City Chiefs,1979,dark,2 of 2,registry-1986,light,MuscleLM67,,https://www.google.com/search?tbm=isch&q=Mike%20Bell%20DE%20Kansas%20City%20Chiefs%201979%20NFL
Kit Lathrop,DE,Denver Broncos,1979,dark,2 of 2,registry-1986,light,USFL_WFL,,https://www.google.com/search?tbm=isch&q=Kit%20Lathrop%20DE%20Denver%20Broncos%201979%20NFL
Guido Merkens,WR,Houston Oilers,1979,dark,2 of 2,registry-1986,light,NFL1980-1989,,https://www.google.com/search?tbm=isch&q=Guido%20Merkens%20WR%20Houston%20Oilers%201979%20NFL
Steve Nelson,MLB,New England Patriots,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Nelson%20MLB%20New%20England%20Patriots%201979%20NFL
Lyle Blackwood,S,Baltimore Colts,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Lyle%20Blackwood%20S%20Baltimore%20Colts%201979%20NFL
John Riggins,RB,Washington Redskins,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Riggins%20RB%20Washington%20Redskins%201979%20NFL
John Dutton,DT,Dallas Cowboys,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Dutton%20DT%20Dallas%20Cowboys%201979%20NFL
Nolan Cromwell,S,Los Angeles Rams,1979,dark,2 of 2,registry-1986,light,"1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Nolan%20Cromwell%20S%20Los%20Angeles%20Rams%201979%20NFL
Steve Freeman,S,Buffalo Bills,1979,dark,2 of 2,registry-1986,light,"1966, 1976, 1978, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Freeman%20S%20Buffalo%20Bills%201979%20NFL
Gary Fencik,S,Chicago Bears,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Gary%20Fencik%20S%20Chicago%20Bears%201979%20NFL
Mark Murphy,S,Washington Redskins,1979,dark,2 of 2,registry-1986,light,"1978, NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mark%20Murphy%20S%20Washington%20Redskins%201979%20NFL
Bruce Hardy,TE,Miami Dolphins,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Bruce%20Hardy%20TE%20Miami%20Dolphins%201979%20NFL
Mike Barber,TE,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Barber%20TE%20Houston%20Oilers%201979%20NFL
Jeff West,P,San Diego Chargers,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Jeff%20West%20P%20San%20Diego%20Chargers%201979%20NFL
Ken Jones,OT,Buffalo Bills,1979,dark,2 of 2,registry-1986,light,"1966, 1976, 1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Ken%20Jones%20OT%20Buffalo%20Bills%201979%20NFL
Carl Ekern,MLB,(expansion franchise),1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Carl%20Ekern%20MLB%201979%20NFL
Mike Hartenstine,DE,Chicago Bears,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Hartenstine%20DE%20Chicago%20Bears%201979%20NFL
Don Warren,TE,Washington Redskins,1979,dark,2 of 2,registry-1986,light,"NFL1970-1974, NFL1975-1979, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Don%20Warren%20TE%20Washington%20Redskins%201979%20NFL
John Hill,C,New Orleans Saints,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Hill%20C%20New%20Orleans%20Saints%201979%20NFL
Bob Thomas,K,Chicago Bears,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1970-1974, NFL1975-1979, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Bob%20Thomas%20K%20Chicago%20Bears%201979%20NFL
Mike Renfro,WR,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Renfro%20WR%20Houston%20Oilers%201979%20NFL
Rob Carpenter,RB,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Rob%20Carpenter%20RB%20Houston%20Oilers%201979%20NFL
Rich Milot,OLB,Washington Redskins,1979,dark,2 of 2,registry-1986,light,"NFL1970-1974, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Rich%20Milot%20OLB%20Washington%20Redskins%201979%20NFL
David Carter,C,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=David%20Carter%20C%20Houston%20Oilers%201979%20NFL
Don Hasselbeck,TE,New England Patriots,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Don%20Hasselbeck%20TE%20New%20England%20Patriots%201979%20NFL
Doug English,DT,Detroit Lions,1979,dark,2 of 2,registry-1986,light,"1976, 1978, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Doug%20English%20DT%20Detroit%20Lions%201979%20NFL
Pat McInally,P,Cincinnati Bengals,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Pat%20McInally%20P%20Cincinnati%20Bengals%201979%20NFL
Pete Cronan,MLB,Seattle Seahawks,1979,dark,2 of 2,registry-1986,light,"1978, NFL1970-1974, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Pete%20Cronan%20MLB%20Seattle%20Seahawks%201979%20NFL
Glenn Blackwood,S,Miami Dolphins,1979,dark,2 of 2,registry-1986,light,"1976, NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Glenn%20Blackwood%20S%20Miami%20Dolphins%201979%20NFL
Pat Tilley,WR,St. Louis Cardinals,1979,dark,2 of 2,registry-1986,light,"1976, 1978, NFL1980-1989",,https://www.google.com/search?tbm=isch&q=Pat%20Tilley%20WR%20St.%20Louis%20Cardinals%201979%20NFL
Dan Ross,TE,Cincinnati Bengals,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dan%20Ross%20TE%20Cincinnati%20Bengals%201979%20NFL
Tom Pridemore,S,Atlanta Falcons,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Tom%20Pridemore%20S%20Atlanta%20Falcons%201979%20NFL
Doug Cosbie,TE,Dallas Cowboys,1979,dark,2 of 2,registry-1986,light,"NFL1975-1979, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Doug%20Cosbie%20TE%20Dallas%20Cowboys%201979%20NFL
Mike Kozlowski,S,Miami Dolphins,1979,dark,2 of 2,registry-1986,light,"1976, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Mike%20Kozlowski%20S%20Miami%20Dolphins%201979%20NFL
Trey Junkin,TE,Los Angeles Raiders,1986,dark,2 of 2,registry-1986,light,"1996, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Trey%20Junkin%20TE%20Los%20Angeles%20Raiders%201986%20NFL
Steve Watson,WR,Denver Broncos,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Steve%20Watson%20WR%20Denver%20Broncos%201979%20NFL
Dwight Clark,WR,San Francisco 49ers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, USFL_WFL, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Dwight%20Clark%20WR%20San%20Francisco%2049ers%201979%20NFL
Rick Kane,RB,Detroit Lions,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Rick%20Kane%20RB%20Detroit%20Lions%201979%20NFL
Neil O'Donoghue,K,Tampa Bay Buccaneers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, NFL1980-1989",,https://www.google.com/search?tbm=isch&q=Neil%20O%27Donoghue%20K%20Tampa%20Bay%20Buccaneers%201979%20NFL
Tom Beasley,DE,Pittsburgh Steelers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1975-1979, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Tom%20Beasley%20DE%20Pittsburgh%20Steelers%201979%20NFL
Gordon King,OT,New York Giants,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Gordon%20King%20OT%20New%20York%20Giants%201979%20NFL
John Anderson,OLB,Green Bay Packers,1979,dark,2 of 2,registry-1986,light,"1978, NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=John%20Anderson%20OLB%20Green%20Bay%20Packers%201979%20NFL
Derrick Jensen,RB,Oakland Raiders,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Derrick%20Jensen%20RB%20Oakland%20Raiders%201979%20NFL
Jeff Groth,WR,Houston Oilers,1979,dark,2 of 2,registry-1986,light,"NFL1980-1989, MuscleLM67",,https://www.google.com/search?tbm=isch&q=Jeff%20Groth%20WR%20Houston%20Oilers%201979%20NFL
Matt Herkenhoff,OT,Kansas City Chiefs,1979,dark,2 of 2,registry-1986,light,"1976, 1978",,https://www.google.com/search?tbm=isch&q=Matt%20Herkenhoff%20OT%20Kansas%20City%20Chiefs%201979%20NFL
