season,league,source_file,teams,players,league_size,share,block_is,already_published,identifying_names,franchises
1941,NFL,Mike-NFL1941-1969,2,102,10,20%,notable teams,,"Bulldog Turner, Danny Fortmann, Joe Stydahar.",Chicago Bears; Chicago Bears-
1945,NFL,Mike-NFL1941-1969,1,50,10,10%,notable teams,,"Bob Waterfield, Jim Benton, Milan Lazetich.",Cleveland Rams
1948,NFL,Mike-NFL1941-1969,1,49,10,10%,notable teams,,"Steve Van Buren, Bucko Kilroy., Al Wistert",Philadelphia Eagles
1949,NFL,Mike-NFL1941-1969,1,52,10,10%,notable teams,,"Steve Van Buren, Bucko Kilroy., Al Wistert",Philadelphia Eagles
1950,NFL,Mike-NFL1941-1969,2,88,13,15%,notable teams,,"Marion Motley, Otto Graham, Lou Groza",Cleveland Browns; Cleveland Browns-
1951,NFL,Mike-NFL1941-1969,1,45,12,8%,notable teams,,"Dan Towler, Bob Waterfield, Tank Younger",Los Angeles Rams
1951,NFL,Mike-NFL1975-1979,1,45,12,8%,notable teams,,"Dan Towler, Bob Waterfield, Tank Younger",Los Angeles Rams
1952,NFL,Mike-NFL1941-1969,1,46,12,8%,notable teams,,"Art Donovan, Gino Marchetti, Dick Hoerner",Dallas Texans
1955,NFL,Mike-NFL1941-1969,2,90,12,17%,notable teams,,"Tank Younger, Norm Van Brocklin, Andy Robustelli",Cleveland Browns; Los Angeles Rams
1956,NFL,Mike-NFL1941-1969,1,46,12,8%,notable teams,,"Pat Summerall, Jack Simmons, Ollie Matson",Chicago Cardinals
1957,NFL,Mike-NFL1941-1969,2,91,12,17%,notable teams,,"John Henry Johnson, Joe Schmidt, Jack Christiansen",Detroit Lions; San Francisco 49ers
1957,NFL,MuscleMike-LM67,2,91,12,17%,notable teams,,"Joe Schmidt, Jack Christiansen, Frank Gatski",Detroit Lions; San Francisco 49ers
1958,NFL,Mike-NFL1941-1969,2,92,12,17%,notable teams,,"Alan Ameche, Gino Marchetti, Jim Parker",Baltimore Colts; New York Giants
