name,verdict
Mosi Tatupu,middle
Kent Hill,dark
Reggie Roby,dark
Tony Galbreath,dark
Marvin Powell,dark
Ron Baker,dark
Emery Moorehead,dark
Billy Shields,light
Dan Bunz,light
Brad Benson,light
Dave Studdard,light
Dan Doornink,light
Linden King,light
Casey Merrill,light
Mike Stensrud,light
Gary Spani,light
Mike Bell,light
Kit Lathrop,light
Guido Merkens,light
Steve Nelson,light
Lyle Blackwood,light
John Riggins,light
John Dutton,light
Nolan Cromwell,light
Steve Freeman,light
Gary Fencik,light
Mark Murphy,light
Bruce Hardy,light
Mike Barber,light
Jeff West,light
Ken Jones,light
Carl Ekern,light
Mike Hartenstine,light
Don Warren,light
John Hill,light
Bob Thomas,light
Mike Renfro,light
Rob Carpenter,light
Rich Milot,light
David Carter,light
Don Hasselbeck,light
Doug English,light
Pat McInally,light
Pete Cronan,light
Glenn Blackwood,light
Pat Tilley,light
Dan Ross,light
Tom Pridemore,light
Doug Cosbie,light
Mike Kozlowski,light
Trey Junkin,light
Steve Watson,light
Dwight Clark,light
Rick Kane,light
Neil O'Donoghue,light
Tom Beasley,light
Gordon King,light
John Anderson,light
Derrick Jensen,light
Jeff Groth,light
Matt Herkenhoff,light
Marty Lyons,light
Ken Fantetti,light
John Sawyer,light
Mark Dennard,light
Cliff Thrift,light
Tom Condon,light
Dennis Swilley,light
Steve Kreider,light
Kurt Allerman,light
Curtis Jordan,light
Derland Moore,light
Russ Francis,light
Neal Olkewicz,light
Bob Nelson,light
Russ Bolinger,light
Gary Danielson,light
Seth Joyner,dark
Steve Wallace,dark
Ken Lanier,dark
Roy Foster,dark
Bob Jury,light
Too Tall Jones,dark
Brian Holloway,dark
Phil Dokes,dark
Steve Jordan,dark
John Alexander,dark
Steve Moore,light
Andy Headen,dark
Robbie Jones,dark
James Davis,dark
Larry Flowers,dark
Donnie Hickman,dark
Herb Lusk,light
Byron Hunt,dark
Andy Bolton,dark
Darryl Haley,dark
Johnnie Johnson,dark
Lester Williams,dark
Irv Pankey,dark
