year,identifier,league_wide,restricted,title
1934,redskins-1934-media-guide-boston,False,,Boston Redskins 1934 Media Guide
1935,detroit-lions-1935-media-guide-cover,False,,Detroit Lions 1935 Media Guide Cover
1935,redskins-1935-media-guide-boston,False,,Boston Redskins 1935 Media Guide
1936,packers-1936-media-guide-green-bay-c,False,,Green Bay Packers 1936 Media Guide
1937,packers-1937,False,,Green Bay Packers 1937 Media Guide Cover
1939,bears-1939-media-guide-chicago-c,False,,Chicago Bears 1939 Media Guide
1939,cardinals-1939,False,,Chicago Cardinals 1939 Media Guide Cover
1939,packers-1939,False,,Green Bay Packers 1939 Media Guide Cover
1940,bears-1940,False,,Chicago Bears 1940 Media Guide Cover
1940,cardinals-1940,False,,Chicago Cardinals 1940 Media Guide
1940,packers-1940,False,,Green Bay Packers 1940 Media Guide
1941,bears-1941,False,,Chicago Bears 1941 Media Guide Cover
1941,new-york-giants-1941-media-guide-cover,False,,New York Giants 1941 Media Guide Cover
1941,packers-1941,False,,Green Bay Packers 1941 Media Guide
1942,bears-1942-media-guide-chicago,False,,Chicago Bears 1942 Media Guide
1942,lions-1942-media-guide-detroit-cv-2-x,False,,Detroit Lions 1942 Media Guide
1942,philadelphia-eagles-1942-media-guide-cover,False,,Philadelphia Eagles 1942 Media Guide Cover
1943,bears-1943-media-guide-chicago,False,,Chicago Bears 1943 Media Guide
1944,bears-1944-media-guide-chicago,False,,Chicago Bears 1944 Media Guide
1944,new-york-giants-1944-media-guide-cover,False,,New York Giants 1944 Media Guide Cover
1944,packers-1944-media-guide-green-bay-c,False,,Green Bay Packers 1944 Media Guide
1945,giants-1945-media-guide-new-york,False,,New York Giants 1945 Media Guide
1945,green-bay-packers-media-guide-1945-cover-front,False,,Green Bay Packers 1945 Media Guide Cover
1945,philadelphia-eagles-1945-media-guide-cover,False,,Philadelphia Eagles 1945 Media Guide Cover
1945,steelers-1945-media-guide-pittsburgh,False,,Pittsburgh Steelers 1945 Media Guide
1946,49ers-1946-media-guide-san-francisco,False,,San Francisco 49ers 1946 Media Guide
1946,bears-1946-media-guide-chicago-c,False,,Chicago Bears 1946 Media Guide
1946,boston-yanks-1946-media-guide-cover,False,,Boston Yanks 1946 Media Guide
1946,cardinals-1946,False,,Chicago Cardinals 1946 Media Guide
1946,cleveland-browns-1946-media-guide-cover-front,False,,Cleveland Browns 1946 Media Guide Cover
1946,giants-1946-media-guide-new-york-cbd,False,,New York Giants 1946 Media Guide
1946,lions-1946,False,,Detroit Lions 1946 Media Guide
1946,packers-1946-v-2,False,,Green Bay Packers 1946 Media Guide
1946,philadelphia-eagles-1946-media-guide-cover,False,,Philadelphia Eagles 1946 Media Guide
1946,rams-1946,False,,Los Angeles Rams 1946 Media Guide Cover
1946,steelers-1946,False,,Pittsburgh Steelers 1946 Media Guide
1946,washington-redskins-1946-media-guide-cover,False,,Washington Redskins 1946 Media Guide Cover
1947,49ers-1947-media-guide-san-francisco-c,False,,San Francisco 49ers 1947 Media Guide
1947,boston-yanks-1947-media-guide-cover,False,,Boston Yanks 1947 Media Guide
1947,browns-1947-media-guide-cleveland-c,False,,Cleveland Browns 1947 Media Guide
1947,cardinals-1947,False,,Chicago Cardinals 1947 Media Guide Cover
1947,colts-1947-media-guide-baltimore,False,,Baltimore Colts 1947 Media Guide
1947,giants-1947-media-guide-new-york-cbd,False,,New York Giants 1947 Media Guide
1947,lions-1947-media-guide-detroit-cv-2-x,False,,Detroit Lions 1947 Media Guide
1947,packers-1947,False,,Green Bay Packers 1947 Media Guide
1947,rams-1947,False,,Los Angeles Rams 1947 Media Guide
1947,redskins-1947-media-guide-washington-cbd,False,,Washington Redskins 1947 Media Guide
1947,steelers-1947,False,,Pittsburgh Steelers 1947 Media Guide Cover
1948,49ers-1948-media-guide-san-francisco-c,False,,San Francisco 49ers 1948 Media Guide
1948,boston-yanks-1948-media-guide-cover,False,,Boston Yanks 1948 Media Guide Cover
1948,cardinals-1948-rear.jpg,False,,Chicago Cardinals 1948 Media Guide Cover
1948,cleveland-browns-1948-media-guide-cover,False,,Cleveland Browns 1948 Media Guide
1948,colts-1948-media-guide-baltimore,False,,Baltimore Colts 1948 Media Guide
1948,giants-1948-media-guide-new-york-cbd,False,,New York Giants 1948 Media Guide
1948,lions-1948,False,,Detroit Lions 1948 Media Guide Cover
1948,packers-1948,False,,Green Bay Packers 1948 Media Guide
1948,philadelphia-eagles-1948-media-guide-cover,False,,Philadelphia Eagles 1948 Media Guide Cover
1948,rams-1948,False,,Los Angeles Rams 1948 Media Guide Cover
1948,redskins-1948-media-guide-washington-cbd,False,,Washington Redskins 1948 Media Guide
1949,49ers-1949-media-guide-san-francisco-c,False,,San Francisco 49ers 1949 Media Guide
1949,bears-1949,False,,Chicago Bears 1949 Media Guide
1949,cardinals-1949,False,,Chicago Cardinals 1949 Media Guide Cover
1949,cleveland-browns-1949-media-guide-cover-front-2,False,,Cleveland Browns 1949 Media Guide
1949,colts-1949-media-guide-baltimore,False,,Baltimore Colts 1949 Media Guide
1949,lions-1949,False,,Detroit Lions 1949 Media Guide
1949,new-york-bulldogs-1949-media-guide-cover,False,,New York Bulldogs 1949 Media Guide Cover
1949,new-york-giants-1949-media-guide-cover-front,False,,New York Giants 1949 Media Guide Cover
1949,packers-1949,False,,Green Bay Packers 1949 Media Guide
1949,rams-1949,False,,Los Angeles Rams 1949 Media Guide
1949,redskins-1949-media-guide-washington-a,False,,Washington Redskins 1949 Media Guide
1950,49ers-1950,False,,San Francisco 49ers 1950 Media Guide
1950,cardinals-1950,False,,Chicago Cardinals 1950 Media Guide Cover
1950,cleveland-browns-1950-media-guide-cover-rear,False,,Cleveland Browns 1950 Media Guide Cover
1950,colts-1950-media-guide-baltimore,False,,Baltimore Colts 1950 Media Guide
1950,lions-1950,False,,Detroit Lions 1950 Media Guide Cover
1950,new-york-giants-1950-media-guide-cover-rear,False,,New York Giants 1950 Media Guide Cover
1950,packers-1950,False,,Green Bay Packers 1950 Media Guide
1950,rams-1950,False,,Los Angeles Rams 1950 Media Guide
1950,redskins-1950-media-guide-washington-cbd,False,,Washington Redskins 1950 Media Guide
1950,yanks-1950,False,,New York Yanks 1950 Media Guide
1951,49ers-1951,False,,San Francisco 49ers 1951 Media Guide
1951,bears-1951-media-guide-chicago-b,False,,Chicago Bears 1951 Media Guide
1951,cardinals-1951,False,,Chicago Cardinals 1951 Media Guide Cover
1951,cleveland-browns-1951-media-guide-cover-front,False,,Cleveland Browns 1951 Media Guide
1951,giants-1951-media-guide-new-york-c,False,,New York Giants 1951 Media Guide
1951,lions-1951,False,,Detroit Lions 1951 Media Guide
1951,packers-1951,False,,Green Bay Packers 1951 Media Guide
1951,philadelphia-eagles-1951-yearbook-cover,False,,Philadelphia Eagles 1951 Yearbook Cover
1951,rams-1951,False,,Los Angeles Rams 1951 Media Guide Cover
1951,redskins-1951-media-guide-washington-b,False,,Washington Redskins 1951 Media Guide
1951,steelers-1951,False,,Pittsburgh Steelers 1951 Media Guide Cover
1951,yanks-1951-media-guide-new-york-c,False,,New York Yanks 1951 Media Guide
1952,49ers-1952,False,,San Francisco 49ers 1952 Media Guide
1952,bears-1952-media-guide-chicago,False,,Chicago Bears 1952 Media Guide
1952,cardinals-1952,False,,Chicago Cardinals 1952 Media Guide Cover
1952,cleveland-browns-1952-media-guide-cover-front,False,,Cleveland Browns 1952 Media Guide Cover
1952,dallas-texans-1952-media-guide-cover,False,,Dallas Texans 1952 Media Guide Cover
1952,eagles-1952-media-guide-philadelphia-c,False,,Philadelphia Eagles 1952 Yearbook
1952,giants-1952-media-guide-new-york-cbd,False,,New York Giants 1952 Media Guide
1952,green-bay-packers-1952-media-guide-cover,False,,Green Bay Packers 1952 Media Guide
1952,lions-1952,False,,Detroit Lions 1952 Media Guide
1952,rams-1952,False,,Los Angeles Rams 1952 Media Guide Cover
1952,redskins-1952-media-guide-washington,False,,Washington Redskins 1952 Media Guide
1952,steelers-1952,False,,Pittsburgh Steelers 1952 Media Guide
1953,49ers-1953,False,,San Francisco 49ers 1953 Media Guide
1953,bears-1953-media-guide-chicago,False,,Chicago Bears 1953 Media Guide
1953,cardinals-1953-media-guide-chicago-c,False,,Chicago Cardinals 1953 Media Guide
1953,cleveland-browns-1953-media-guide-cover-front,False,,Cleveland Browns 1953 Media Guide
1953,colts-1953-media-guide-baltimore,False,,Baltimore Colts 1953 Media Guide
1953,giants-1953-media-guide-new-york-cbd,False,,New York Giants 1953 Media Guide
1953,lions-1953,False,,Detroit Lions 1953 Media Guide Cover
1953,packers-1953,False,,Green Bay Packers 1953 Media Guide Cover
1953,philadelphia-eagles-1953-yearbook-cv-4,False,,Philadelphia Eagles 1953 Yearbook
1953,rams-1953,False,,Los Angeles Rams 1953 Media Guide
1953,redskins-1953-media-guide-washington-cbd,False,,Washington Redskins 1953 Media Guide
1953,steelers-1953,False,,Pittsburgh Steelers 1953 Media Guide
1954,49ers-1954,False,,San Francisco 49ers 1954 Media Guide
1954,bears-1954,False,,Chicago Bears 1954 Media Guide
1954,cardinals-1954-media-guide-chicago-c,False,,Chicago Cardinals 1954 Media Guide
1954,cleveland-browns-1954-media-guide-cover-front,False,,Cleveland Browns 1954 Media Guide
1954,colts-1954-media-guide-baltimore,False,,Baltimore Colts 1954 Media Guide
1954,eagles-1954-yearbook-philadelphia-c,False,,Philadelphia Eagles 1954 Yearbook
1954,giants-1954-media-guide-new-york-cbd,False,,New York Giants 1954 Media Guide
1954,lions-1954,False,,Detroit Lions 1954 Media Guide Cover
1954,packers-1954,False,,Green Bay Packers 1954 Media Guide
1954,rams-1954,False,,Los Angeles Rams 1954 Media Guide
1954,redskins-1964-media-guide-washington-c,False,,Washington Redskins 1954 Media Guide
1954,steelers-1954,False,,Pittsburgh Steelers 1954 Media Guide
1955,49ers-1955,False,,San Francisco 49ers 1955 Media Guide
1955,bears-1955-media-guide-chicago-b,False,,Chicago Bears 1955 Media Guide
1955,cardinals-1955-media-guide-st.-louis-c,False,,Chicago Cardinals 1955 Media Guide
1955,cleveland-browns-1955-media-guide-cover-rear,False,,Cleveland Browns 1955 Media Guide
