season,team,w,l,t,pf,pa,pf_rank,pa_rank,n_teams
1960,Houston Oilers,10,4,0,379,285,2,11,21
1960,New York Titans,7,7,0,382,399,1,21,21
1960,Buffalo Bills,5,8,1,296,303,10,14,21
1960,Boston Patriots,5,9,0,286,349,13,17,21
1960,Los Angeles Chargers,10,4,0,373,336,3,16,21
1960,Dallas Texans,8,6,0,362,253,4,8,21
1960,Oakland Raiders,6,8,0,319,388,8,19,21
1960,Denver Broncos,4,9,1,309,393,9,20,21
1960,Philadelphia Eagles,10,2,0,321,246,7,7,21
1960,Cleveland Browns,8,3,1,362,217,5,4,21
1960,New York Giants,6,4,2,271,261,14,9,21
1960,St. Louis Cardinals,6,5,1,288,230,11,5,21
1960,Pittsburgh Steelers,5,6,1,240,275,16,10,21
1960,Washington Redskins,1,9,2,178,309,20,15,21
1960,Green Bay Packers,8,4,0,332,209,6,2,21
1960,Detroit Lions,7,5,0,239,212,17,3,21
1960,San Francisco 49ers,7,5,0,208,205,18,1,21
1960,Baltimore Colts,6,6,0,288,234,12,6,21
1960,Chicago Bears,5,6,1,194,299,19,13,21
1960,Los Angeles Rams,4,7,1,265,297,15,12,21
1960,Dallas Cowboys,0,11,1,177,369,21,18,21
1961,Houston Oilers,10,3,1,513,242,1,4,22
1961,Boston Patriots,9,4,1,413,313,2,13,22
1961,New York Titans,7,7,0,301,390,12,18,22
1961,Buffalo Bills,6,8,0,294,342,14,15,22
1961,San Diego Chargers,12,2,0,396,219,3,1,22
1961,Dallas Texans,6,8,0,334,343,8,16,22
1961,Denver Broncos,3,11,0,251,432,19,21,22
1961,Oakland Raiders,2,12,0,237,458,20,22,22
1961,New York Giants,10,3,1,368,220,5,2,22
1961,Philadelphia Eagles,10,4,0,361,297,6,10,22
1961,Cleveland Browns,8,5,1,319,270,10,7,22
1961,St. Louis Cardinals,7,7,0,279,267,16,6,22
1961,Pittsburgh Steelers,6,8,0,295,287,13,9,22
1961,Dallas Cowboys,4,9,1,236,380,21,17,22
1961,Washington Redskins,1,12,1,174,392,22,19,22
1961,Green Bay Packers,11,3,0,391,223,4,3,22
1961,Detroit Lions,8,5,1,270,258,17,5,22
1961,Chicago Bears,8,6,0,326,302,9,11,22
1961,Baltimore Colts,8,6,0,302,307,11,12,22
1961,San Francisco 49ers,7,6,1,346,272,7,8,22
1961,Los Angeles Rams,4,10,0,263,333,18,14,22
1961,Minnesota Vikings,3,11,0,285,407,15,20,22
1962,Houston Oilers,11,3,0,387,270,5,5,22
1962,Boston Patriots,9,4,1,346,295,7,10,22
1962,Buffalo Bills,7,6,1,309,272,12,6,22
1962,New York Titans,5,9,0,278,423,19,22,22
1962,Dallas Texans,11,3,0,389,233,4,3,22
1962,Denver Broncos,7,7,0,353,334,6,12,22
1962,San Diego Chargers,4,10,0,314,392,10,19,22
1962,Oakland Raiders,1,13,0,213,370,22,17,22
1962,New York Giants,12,2,0,398,283,2,7,22
1962,Pittsburgh Steelers,9,5,0,312,363,11,16,22
1962,Cleveland Browns,7,6,1,291,257,15,4,22
1962,Washington Redskins,5,7,2,305,376,13,18,22
1962,Dallas Cowboys,5,8,1,398,402,3,20,22
1962,St. Louis Cardinals,4,9,1,287,361,16,15,22
1962,Philadelphia Eagles,3,10,1,282,356,17,14,22
1962,Green Bay Packers,13,1,0,415,148,1,1,22
1962,Detroit Lions,11,3,0,315,177,9,2,22
1962,Chicago Bears,9,5,0,321,287,8,8,22
1962,Baltimore Colts,7,7,0,293,288,14,9,22
1962,San Francisco 49ers,6,8,0,282,331,18,11,22
1962,Minnesota Vikings,2,11,1,254,410,20,21,22
1962,Los Angeles Rams,1,12,1,220,334,21,13,22
1963,Boston Patriots,7,6,1,327,257,8,4,22
1963,Buffalo Bills,7,6,1,304,291,14,12,22
1963,Houston Oilers,6,8,0,302,372,15,15,22
1963,New York Jets,5,8,1,249,399,19,21,22
1963,San Diego Chargers,11,3,0,399,255,2,3,22
1963,Oakland Raiders,10,4,0,363,282,4,9,22
1963,Kansas City Chiefs,5,7,2,347,263,5,6,22
1963,Denver Broncos,2,11,1,301,473,16,22,22
1963,New York Giants,11,3,0,448,280,1,8,22
1963,Cleveland Browns,10,4,0,343,262,6,5,22
1963,St. Louis Cardinals,9,5,0,341,283,7,10,22
1963,Pittsburgh Steelers,7,4,3,321,295,10,13,22
1963,Dallas Cowboys,4,10,0,305,378,13,16,22
1963,Washington Redskins,3,11,0,279,398,18,20,22
1963,Philadelphia Eagles,2,10,2,242,381,20,17,22
1963,Chicago Bears,11,1,2,301,144,17,1,22
1963,Green Bay Packers,11,2,1,369,206,3,2,22
1963,Baltimore Colts,8,6,0,316,285,11,11,22
1963,Detroit Lions,5,8,1,326,265,9,7,22
1963,Minnesota Vikings,5,8,1,309,390,12,18,22
1963,Los Angeles Rams,5,9,0,210,350,21,14,22
1963,San Francisco 49ers,2,12,0,198,391,22,19,22
1964,Buffalo Bills,12,2,0,400,242,3,2,22
1964,Boston Patriots,10,3,1,365,297,5,8,22
1964,New York Jets,5,8,1,278,315,16,13,22
1964,Houston Oilers,4,10,0,310,355,11,19,22
1964,San Diego Chargers,8,5,1,341,300,9,9,22
1964,Kansas City Chiefs,7,7,0,366,306,4,11,22
1964,Oakland Raiders,5,7,2,303,350,13,18,22
1964,Denver Broncos,2,11,1,240,438,21,22,22
1964,Cleveland Browns,10,3,1,415,293,2,6,22
1964,St. Louis Cardinals,9,3,2,357,331,6,16,22
1964,Philadelphia Eagles,6,8,0,312,313,10,12,22
1964,Washington Redskins,6,8,0,307,305,12,10,22
1964,Dallas Cowboys,5,8,1,250,289,19,5,22
1964,Pittsburgh Steelers,5,9,0,253,315,18,14,22
1964,New York Giants,2,10,2,241,399,20,21,22
1964,Baltimore Colts,12,2,0,428,225,1,1,22
1964,Green Bay Packers,8,5,1,342,245,8,3,22
1964,Minnesota Vikings,8,5,1,355,296,7,7,22
1964,Detroit Lions,7,5,2,280,260,15,4,22
1964,Los Angeles Rams,5,7,2,283,339,14,17,22
1964,Chicago Bears,5,9,0,260,379,17,20,22
1964,San Francisco 49ers,4,10,0,236,330,22,15,22
1965,Buffalo Bills,10,3,1,313,226,11,2,22
1965,New York Jets,5,8,1,285,303,16,12,22
1965,Boston Patriots,4,8,2,244,302,21,11,22
1965,Houston Oilers,4,10,0,298,429,13,22,22
1965,San Diego Chargers,9,2,3,340,227,7,3,22
1965,Oakland Raiders,8,5,1,298,239,14,4,22
1965,Kansas City Chiefs,7,5,2,322,285,9,8,22
1965,Denver Broncos,4,10,0,303,392,12,18,22
1965,Cleveland Browns,11,3,0,363,325,5,14,22
1965,Dallas Cowboys,7,7,0,325,280,8,6,22
1965,New York Giants,7,7,0,270,338,17,16,22
1965,Washington Redskins,6,8,0,257,301,19,10,22
1965,Philadelphia Eagles,5,9,0,363,359,6,17,22
1965,St. Louis Cardinals,5,9,0,296,309,15,13,22
1965,Pittsburgh Steelers,2,12,0,202,397,22,19,22
1965,Green Bay Packers,10,3,1,316,224,10,1,22
1965,Baltimore Colts,10,3,1,389,284,3,7,22
1965,Chicago Bears,9,5,0,409,275,2,5,22
1965,San Francisco 49ers,7,6,1,421,402,1,20,22
1965,Minnesota Vikings,7,7,0,383,403,4,21,22
1965,Detroit Lions,6,7,1,257,295,20,9,22
1965,Los Angeles Rams,4,10,0,269,328,18,15,22
1966,Buffalo Bills,9,4,1,358,255,4,5,24
1966,Boston Patriots,8,4,2,315,283,13,10,24
1966,New York Jets,6,6,2,322,312,10,14,24
1966,Houston Oilers,3,11,0,335,396,6,22,24
1966,Miami Dolphins,3,11,0,213,362,21,20,24
1966,Kansas City Chiefs,11,2,1,448,276,1,9,24
1966,Oakland Raiders,8,5,1,315,288,14,12,24
1966,San Diego Chargers,7,6,1,335,284,7,11,24
1966,Denver Broncos,4,10,0,196,381,24,21,24
1966,Dallas Cowboys,10,3,1,445,239,2,4,24
1966,Cleveland Browns,9,5,0,403,259,3,6,24
1966,Philadelphia Eagles,9,5,0,326,340,9,17,24
1966,St. Louis Cardinals,8,5,1,264,265,18,7,24
1966,Washington Redskins,7,7,0,351,355,5,19,24
1966,Pittsburgh Steelers,5,8,1,316,347,12,18,24
1966,Atlanta Falcons,3,11,0,204,437,23,23,24
1966,New York Giants,1,12,1,263,501,19,24,24
1966,Green Bay Packers,12,2,0,335,163,8,1,24
1966,Baltimore Colts,9,5,0,314,226,15,3,24
