name,age,rating
Frankie Albert,59,78
Bill Austin,43,64
Herman Ball,69,42
Sammy Baugh,65,71
Phil Bengtson,66,72
Paul Brown,71,88
Blanton Collier,73,90
Red Conkright,65,50
Milan Creighton,71,66
J. D. Roberts,47,41
Al Davis,50,83
Dan Devine,55,72
Hugh Devore,69,61
Aldo Donelli,72,50
Jim Dooley,49,66
Forrest Douds,74,50
Bill Edwards,74,50
Weeb Ewbank,72,76
Chuck Fairbanks,46,80
Jack Faulkner,53,60
Tom Fears,57,58
Marty Feldman,57,35
Frank Filchock,63,54
Rick Forzano,51,73
Benny Friedman,74,50
Abe Gibron,54,55
Otto Graham,58,69
Norb Hecker,52,36
Ernie Hefferle,64,50
Red Hickey,62,76
Mike Holovak,60,75
Lou Holtz,42,50
Tommy Hudspeth,48,73
Cecil Isbell,64,50
Pop Ivy,63,70
Bill Johnson,33,82
Harvey Johnson,41,34
Luke Johnsos,74,87
Ed Khayat,44,65
Joe Kuharich,62,69
Jim Lee Howell,65,86
Wally Lemm,60,75
John Mazur,49,62
Pete McCulley,31,50
Bill McPeak,53,63
John Michelosen,63,70
Dick Modzelewski,48,50
Mike Nixon,68,39
Fred O'Connor,40,50
Buddy Parker,66,84
Pat Peppler,57,50
Bill Peterson,59,32
Hamp Pool,64,89
Tommy Prothro,59,69
John Ralston,52,76
Buster Ramsey,59,68
John Rauch,52,84
Clive Rush,48,50
Lou Rymkus,60,85
Lou Saban,58,74
Joe Schmidt,47,77
Howard Schnellenberger,45,49
Allie Sherman,56,77
Ken Shipp,50,50
Nick Skorich,58,73
Jerry Smith,49,50
Bob Snyder,66,50
Mac Speedie,59,47
Hank Stram,56,83
Harland Svare,49,59
Hugh Taylor,56,50
Joe Thomas,35,50
Dick Todd,65,50
Bulldog Turner,60,50
Norm Van Brocklin,53,67
Charlie Waller,58,75
Ron Waller,46,50
Bob Waterfield,59,58
Alex Webster,48,70
Damon Wetzel,69,50
Jerry Williams,56,45
Charley Winner,55,74
