team,name,pgm3_pos,years_pro,rating,potential,headroom
atlanta-falcons,Alfred Jackson,WR,1,71,75,4
atlanta-falcons,Alfred Jenkins,WR,4,80,81,1
atlanta-falcons,Billy Ryckman,WR,2,68,71,3
atlanta-falcons,Bob Glazebrook,S,1,65,69,4
atlanta-falcons,Brian Cabral,MLB,0,61,65,4
atlanta-falcons,Bubba Bean,RB,3,77,79,2
atlanta-falcons,Dave Scott,OG,3,76,78,2
atlanta-falcons,Dennis Pearson,WR,1,66,70,4
atlanta-falcons,Dewey McClain,OLB,3,63,65,2
atlanta-falcons,Don Smith,DE,0,62,66,4
atlanta-falcons,Edgar Fields,DT,2,74,77,3
atlanta-falcons,Frank Reed,S,3,77,79,2
atlanta-falcons,Fulton Kuykendall,OLB,4,81,82,1
atlanta-falcons,Greg Brezina,OLB,10,79,79,0
atlanta-falcons,Haskel Stanback,RB,5,74,75,1
atlanta-falcons,James Mayberry,RB,0,63,67,4
atlanta-falcons,Jeff Merrow,DE,4,75,76,1
atlanta-falcons,Jeff Van Note,C,10,88,88,0
atlanta-falcons,Jeff Yeates,DE,5,83,84,1
atlanta-falcons,Jerome King,CB,0,54,58,4
atlanta-falcons,Jim Mitchell,TE,10,83,83,0
atlanta-falcons,Joel Williams,OLB,0,52,56,4
atlanta-falcons,John James,P,7,86,86,0
atlanta-falcons,June Jones,QB,2,67,70,3
atlanta-falcons,Lynn Cain,RB,0,74,78,4
atlanta-falcons,Mike Kenn,OT,1,82,86,4
atlanta-falcons,Mike Lewis,DT,8,74,74,0
atlanta-falcons,Mike Moroski,QB,0,72,76,4
atlanta-falcons,Mike Zele,DT,0,61,65,4
atlanta-falcons,Pat Howell,OG,0,63,67,4
atlanta-falcons,Paul Ryczek,C,5,63,64,1
atlanta-falcons,Phil McKinnely,OT,3,62,64,2
atlanta-falcons,R.C. Thielemann,OG,2,82,85,3
atlanta-falcons,Ray Easterling,S,7,69,69,0
atlanta-falcons,Ray Strong,RB,1,65,69,4
atlanta-falcons,Rick Byas,CB,5,82,83,1
atlanta-falcons,Robert Pennywell,MLB,2,77,80,3
atlanta-falcons,Rolland Lawrence,CB,6,87,87,0
atlanta-falcons,Ronnie McCartney,MLB,2,62,65,3
atlanta-falcons,Russ Mikeska,TE,0,54,58,4
atlanta-falcons,Steve Bartkowski,QB,4,91,92,1
atlanta-falcons,Tim Mazzetti,K,1,72,76,4
atlanta-falcons,Tom Moriarty,CB,2,62,65,3
atlanta-falcons,Tom Pridemore,S,1,72,76,4
atlanta-falcons,Tony Daykin,OLB,2,61,64,3
atlanta-falcons,Wally Francis,WR,6,82,82,0
atlanta-falcons,Warren Bryant,OT,2,73,76,3
atlanta-falcons,William Andrews,RB,0,72,76,4
atlanta-falcons,Wilson Faumuina,DT,2,74,77,3
baltimore-colts,Barry Krauss,MLB,0,58,62,4
baltimore-colts,Ben Garry,RB,0,54,58,4
baltimore-colts,Bert Jones,QB,6,76,76,0
baltimore-colts,Bob Pratt,OG,5,72,73,1
baltimore-colts,Bob Van Duyne,OT,5,68,69,1
baltimore-colts,Brian DeRoo,WR,0,63,67,4
baltimore-colts,Bruce Laird,S,7,93,93,0
baltimore-colts,Bucky Dilts,P,2,72,75,3
baltimore-colts,David Taylor,OT,6,71,71,0
baltimore-colts,Don Hardeman,RB,4,70,71,1
baltimore-colts,Don McCauley,RB,8,72,72,0
baltimore-colts,Doug Nettles,CB,4,72,73,1
baltimore-colts,Dwight Harrison,CB,8,68,68,0
baltimore-colts,Ed Simonini,MLB,3,80,82,2
baltimore-colts,Fred Cook,DE,5,79,80,1
baltimore-colts,Glenn Doughty,WR,7,84,84,0
baltimore-colts,Greg Fields,DE,0,51,55,4
baltimore-colts,Greg Landry,QB,11,73,73,0
baltimore-colts,Herb Orvis,DT,6,65,65,0
baltimore-colts,Jeff Hart,OT,3,70,72,2
baltimore-colts,Jerry Golsteyn,QB,2,60,63,3
baltimore-colts,Jim Krahl,DT,1,52,56,4
baltimore-colts,Joe Ehrmann,DT,6,78,78,0
baltimore-colts,Joe Washington,RB,3,85,87,2
baltimore-colts,Ken Huff,OG,4,79,80,1
baltimore-colts,Ken Mendenhall,C,8,77,77,0
baltimore-colts,Larry Braziel,CB,0,72,76,4
baltimore-colts,Lee Gross,C,3,47,49,2
baltimore-colts,Lyle Blackwood,S,7,82,82,0
