season,roster_file,players,in_real_name_pool,real_share,modern_given_names_pre1960
0,rosfictional,1947,134,7%,256
1940,Ros40,1985,49,2%,154
1941,Ros41,1944,67,3%,217
1943,Ros43,1963,53,3%,236
1944,Ros44,1942,130,7%,135
1946,ros1946,1943,180,9%,206
1950,ros1950,1944,259,13%,242
1952,ros1952,1944,286,15%,219
1953,ros1953,1939,311,16%,228
1954,Ros1954,1943,350,18%,168
1955,Ros1955,1944,421,22%,175
1956,Ros1956,1944,421,22%,175
1960,ros1960,1944,750,39%,
1961,Ros1961,1943,690,36%,
1962,Ros1962,1944,953,49%,
1963,Ros1963,1941,842,43%,
1964,Ros1964,1944,1104,57%,
1965,Ros1965,1944,1150,59%,
1966,Ros1966,1944,1266,65%,
1968,Ros1968,1944,1287,66%,
1969,Ros1969,1944,1285,66%,
1970,ros1970,1944,1292,66%,
1971,ros1971,1944,1207,62%,
1972,ros1972,1944,1233,63%,
1973,ros1973,1944,1284,66%,
1974,ros1974,1944,1239,64%,
1976,ros1976,1943,1421,73%,
1977,ros1977,1943,1353,70%,
1978,Ros1978,1944,1433,74%,
1979,Ros1979,1944,1358,70%,
1980,ros1980,1944,1537,79%,
1981,ros1981,1944,1455,75%,
1982,ros1982,1944,1462,75%,
1983,ros1983,1944,1563,80%,
1984,ros1984,1944,1430,74%,
1985,ros1985,1944,1398,72%,
1986,ros1986,1944,1373,71%,
1987,ros1987,1944,1383,71%,
1988,ros1988,1944,1321,68%,
1989,ros1989,1943,1650,85%,
1990,ros1990,1944,1492,77%,
1991,ros1991,1944,1457,75%,
1992,ros1992,1944,1467,75%,
1993,ros1993,1944,1372,71%,
1994,ros1994,1944,1332,69%,
1995,ros1995,1940,1471,76%,
1997,ros1997,1941,1434,74%,
1998,ros1998,1942,1516,78%,
2001,Ros2k1,2030,1796,88%,
2002,Ros2k2,2025,1796,89%,
2003,Ros2k3,1940,1793,92%,
2004,Ros2k4,1941,1830,94%,
2006,Ros2k6,1940,1853,96%,
2007,Ros2k7,1961,1850,94%,
2008,ros2k8,1972,1862,94%,
2009,ros2k9,1982,1909,96%,
2010,ros2k10,2038,1786,88%,
2011,ros2k11,2020,1876,93%,
2012,ros2k12,2031,1838,90%,
2013,ros2k13,1976,1872,95%,
2015,ros2k15,2043,1841,90%,
2016,Ros2k16,2061,1854,90%,
2017,Ros2k17,2055,1872,91%,
2018,ros2k18,2101,1907,91%,
2019,Ros2k19,1988,1880,95%,
2019,ros2019,2055,1784,87%,
2020,Ros2k20,2109,1787,85%,
2021,Ros2k21,2061,1839,89%,
2022,Ros2k22,2124,1779,84%,
