file,city,nick,abbr,coach,photo
1940_NFL,Brooklyn,Dodgers,BKN,Jock Sutherland,jock_sutherland.jpg
1940_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1940_NFL,Philadelphia,Eagles,PHI,Bert Bell,bert_bell.jpg
1940_NFL,Pittsburgh,Steelers,PIT,Walt Kiesling,walt_kiesling.jpg
1940_NFL,Washington,Redskins,WAS,Ray Flaherty,ray_flaherty.jpg
1940_NFL,Cleveland,Rams,CLE,Dutch Clark,dutch_clark.jpg
1940_NFL,Detroit,Lions,DET,Potsy Clark,potsy_clark.jpg
1940_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1941_NFL,Brooklyn,Dodgers,BKN,Jock Sutherland,jock_sutherland.jpg
1941_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1941_NFL,Philadelphia,Eagles,PHI,Greasy Neale,greasy_neale.jpg
1941_NFL,Pittsburgh,Steelers,PIT,Walt Kiesling,walt_kiesling.jpg
1941_NFL,Washington,Redskins,WAS,Ray Flaherty,ray_flaherty.jpg
1941_NFL,Cleveland,Rams,CLE,Dutch Clark,dutch_clark.jpg
1941_NFL,Detroit,Lions,DET,Bill Edwards,bill_edwards.jpg
1941_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1942_NFL,Brooklyn,Dodgers,BKN,Mike Getto,mike_getto.jpg
1942_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1942_NFL,Philadelphia,Eagles,PHI,Greasy Neale,greasy_neale.jpg
1942_NFL,Pittsburgh,Steelers,PIT,Walt Kiesling,walt_kiesling.jpg
1942_NFL,Washington,Redskins,WAS,Ray Flaherty,ray_flaherty.jpg
1942_NFL,Cleveland,Rams,CLE,Dutch Clark,dutch_clark.jpg
1942_NFL,Detroit,Lions,DET,Bull Karcis,bull_karcis.jpg
1942_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1943_NFL,Brooklyn,Dodgers,BKN,Pete Cawthon,pete_cawthon.jpg
1943_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1943_NFL,Washington,Redskins,WAS,Dutch Bergman,dutch_bergman.jpg
1943_NFL,Detroit,Lions,DET,Gus Dorais,gus_dorias.jpg
1943_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1944_NFL,Boston,Yanks,BOS,Herb Kopf,herb_kopf.jpg
1944_NFL,Brooklyn,Tigers,BKN,Frank Bridges,frank_bridges.jpg
1944_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1944_NFL,Philadelphia,Eagles,PHI,Greasy Neale,greasy_neale.jpg
1944_NFL,Washington,Redskins,WAS,Dudley DeGroot,dudley_degroot.jpg
1944_NFL,Cleveland,Rams,CLE,Aldo Donelli,aldo_donelli.jpg
1944_NFL,Detroit,Lions,DET,Gus Dorais,gus_dorais.jpg
1944_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1945_NFL,New York,Giants,NY,Steve Owen,steve_owen.jpg
1945_NFL,Philadelphia,Eagles,PHI,Greasy Neale,greasy_neale.jpg
1945_NFL,Pittsburgh,Steelers,PIT,Jim Leonard,jim_leonard.jpg
1945_NFL,Washington,Redskins,WAS,Dudley DeGroot,dudley_degroot.jpg
1945_NFL,Cleveland,Rams,CLE,Adam Walsh,adam_walsh.jpg
1945_NFL,Detroit,Lions,DET,Gus Dorais,gus_dorais.jpg
1945_NFL,Green Bay,Packers,GB,Curly Lambeau,curly_lambeau.jpg
1946_AAFC,Brooklyn,Dodgers,BKN,Cliff Battles,cliff_battles.jpg
1946_AAFC,Buffalo,Bisons,BUF,Red Dawson,red_dawson.jpg
1946_AAFC,Miami,Seahawks,MIA,Hampton Pool,hampton_pool.jpg
1946_AAFC,New York,Yankees,NY,Ray Flaherty,ray_flaherty.jpg
