file,year,league,teams,records,players,per_team,photo_slots,photo_pct,photo_real,photo_real_pct,photo_resolved,photo_resolved_pct,nophoto_slots,nophoto_real,placeholder,teams_list
1940_NFL,1940,NFL,0,570,570,570.0,430,75.4,91,21.2,406,94.4,140,1,0,
1941_NFL,1941,NFL,0,570,570,570.0,430,75.4,93,21.6,381,88.6,140,3,0,
1942_NFL,1942,NFL,0,570,570,570.0,430,75.4,90,20.9,372,86.5,140,2,0,
1943_NFL,1943,NFL,0,456,456,456.0,343,75.2,69,20.1,302,88.0,113,2,0,
1944_NFL,1944,NFL,0,570,570,570.0,430,75.4,81,18.8,348,80.9,140,1,0,
1945_NFL,1945,NFL,0,570,570,570.0,430,75.4,104,24.2,378,87.9,140,5,0,
1946_AAFC,1946,AAFC,0,456,456,456.0,344,75.4,53,15.4,295,85.8,112,1,0,
1946_NFL,1946,NFL,0,570,570,570.0,430,75.4,118,27.4,379,88.1,140,2,0,
1947_AAFC,1947,AAFC,0,456,456,456.0,344,75.4,78,22.7,321,93.3,112,1,0,
1947_NFL,1947,NFL,0,570,570,570.0,430,75.4,116,27.0,398,92.6,140,2,0,
1948_AAFC,1948,AAFC,0,456,456,456.0,344,75.4,86,25.0,322,93.6,112,1,0,
1948_NFL,1948,NFL,0,570,570,570.0,430,75.4,120,27.9,388,90.2,140,1,0,
1949_AAFC,1949,AAFC,0,399,399,399.0,301,75.4,93,30.9,282,93.7,98,0,0,
1949_NFL,1949,NFL,0,570,570,570.0,430,75.4,122,28.4,384,89.3,140,0,0,
1950_NFL,1950,NFL,0,741,741,741.0,559,75.4,220,39.4,523,93.6,182,1,0,
1951_NFL,1951,NFL,0,684,684,684.0,516,75.4,242,46.9,476,92.2,168,1,0,
1952_NFL,1952,NFL,0,684,684,684.0,516,75.4,253,49.0,481,93.2,168,0,0,
1953_NFL,1953,NFL,0,684,684,684.0,516,75.4,253,49.0,478,92.6,168,4,0,
1954_NFL,1954,NFL,0,684,684,684.0,516,75.4,263,51.0,481,93.2,168,2,0,
1955_NFL,1955,NFL,0,684,684,684.0,516,75.4,310,60.1,467,90.5,168,1,0,
1956_NFL,1956,NFL,0,684,684,684.0,516,75.4,332,64.3,462,89.5,168,1,0,
1957_NFL,1957,NFL,0,684,684,684.0,516,75.4,366,70.9,473,91.7,168,2,0,
1958_NFL,1958,NFL,0,684,684,684.0,516,75.4,399,77.3,477,92.4,168,2,0,
1959_NFL,1959,NFL,0,684,684,684.0,516,75.4,415,80.4,472,91.5,168,0,0,
1960_AFL-NFL,1960,AFL-NFL,0,1197,1197,1197.0,903,75.4,683,75.6,828,91.7,294,3,0,
1961_AFL-NFL,1961,AFL-NFL,0,1254,1254,1254.0,946,75.4,804,85.0,879,92.9,308,3,0,
1962_AFL-NFL,1962,AFL-NFL,0,1254,1254,1254.0,946,75.4,847,89.5,865,91.4,308,4,0,
1963_AFL-NFL,1963,AFL-NFL,0,1254,1254,1254.0,946,75.4,880,93.0,875,92.5,308,1,0,
1964_AFL-NFL,1964,AFL-NFL,0,1254,1254,1254.0,946,75.4,907,95.9,870,92.0,308,5,0,
1965_AFL-NFL,1965,AFL-NFL,0,1254,1254,1254.0,946,75.4,902,95.3,876,92.6,308,6,0,
1966_AFL-NFL,1966,AFL-NFL,0,1368,1368,1368.0,1032,75.4,1006,97.5,958,92.8,336,4,0,
1967_AFL-NFL,1967,AFL-NFL,0,1425,1425,1425.0,1075,75.4,1037,96.5,996,92.7,350,1,0,
1968_AFL-NFL,1968,AFL-NFL,0,1482,1482,1482.0,1118,75.4,1068,95.5,1019,91.1,364,5,0,
1969_AFL-NFL,1969,AFL-NFL,0,1482,1482,1482.0,1118,75.4,1082,96.8,1042,93.2,364,5,0,
1970_NFL,1970,NFL,0,1482,1482,1482.0,1118,75.4,1077,96.3,1045,93.5,364,2,0,
1971_NFL,1971,NFL,0,1482,1482,1482.0,1118,75.4,1085,97.0,1054,94.3,364,5,0,
1972_NFL,1972,NFL,0,1482,1482,1482.0,1118,75.4,1090,97.5,1044,93.4,364,3,0,
1973_NFL,1973,NFL,0,1482,1482,1482.0,1118,75.4,1107,99.0,1038,92.8,364,3,0,
1974_NFL,1974,NFL,0,1482,1482,1482.0,1118,75.4,1103,98.7,1039,92.9,364,1,0,
1975_NFL,1975,NFL,0,1482,1482,1482.0,1118,75.4,1103,98.7,1037,92.8,364,6,0,
1976_NFL,1976,NFL,0,1596,1596,1596.0,1204,75.4,1199,99.6,1120,93.0,392,1,0,
1977_NFL,1977,NFL,0,1596,1596,1596.0,1204,75.4,1195,99.3,1122,93.2,392,7,0,
1978_NFL,1978,NFL,0,1596,1596,1596.0,1204,75.4,1201,99.8,1111,92.3,392,4,0,
1979_NFL,1979,NFL,0,1596,1596,1596.0,1204,75.4,1200,99.7,1110,92.2,392,9,0,
1980_NFL,1980,NFL,0,1596,1596,1596.0,1204,75.4,1190,98.8,1093,90.8,392,1,0,
1981_NFL,1981,NFL,0,1596,1596,1596.0,1204,75.4,1196,99.3,1114,92.5,392,0,0,
1982_NFL,1982,NFL,0,1596,1596,1596.0,1204,75.4,1196,99.3,1118,92.9,392,2,0,
1983_NFL,1983,NFL,0,1596,1596,1596.0,1204,75.4,1192,99.0,1099,91.3,392,7,0,
1984_NFL,1984,NFL,0,1596,1596,1596.0,1204,75.4,1185,98.4,1089,90.4,392,8,0,
1985_NFL,1985,NFL,0,1596,1596,1596.0,1204,75.4,1197,99.4,1100,91.4,392,4,0,
1986_NFL,1986,NFL,0,1596,1596,1596.0,1204,75.4,1195,99.3,1111,92.3,392,1,0,
1987_NFL,1987,NFL,0,1596,1596,1596.0,1204,75.4,1169,97.1,1105,91.8,392,2,0,
1988_NFL,1988,NFL,0,1596,1596,1596.0,1204,75.4,1171,97.3,1111,92.3,392,3,0,
1989_NFL,1989,NFL,0,1596,1596,1596.0,1204,75.4,1169,97.1,1108,92.0,392,2,0,
1990_NFL,1990,NFL,0,1596,1596,1596.0,1204,75.4,1161,96.4,1113,92.4,392,4,0,
1991_NFL,1991,NFL,0,1596,1596,1596.0,1204,75.4,1167,96.9,1121,93.1,392,4,0,
1992_NFL,1992,NFL,0,1596,1596,1596.0,1204,75.4,1173,97.4,1123,93.3,392,6,0,
1993_NFL,1993,NFL,0,1596,1596,1596.0,1204,75.4,1171,97.3,1129,93.8,392,8,0,
1994_NFL,1994,NFL,0,1596,1596,1596.0,1204,75.4,1162,96.5,1121,93.1,392,4,0,
1995_NFL,1995,NFL,0,1710,1710,1710.0,1290,75.4,1245,96.5,1217,94.3,420,1,0,
1996_NFL,1996,NFL,0,1710,1710,1710.0,1290,75.4,1278,99.1,1219,94.5,420,3,0,
1997_NFL,1997,NFL,0,1710,1710,1710.0,1290,75.4,1260,97.7,1220,94.6,420,6,0,
1998_NFL,1998,NFL,0,1710,1710,1710.0,1290,75.4,1263,97.9,1228,95.2,420,3,0,
1999_NFL,1999,NFL,0,1767,1767,1767.0,1333,75.4,1308,98.1,1274,95.6,434,4,0,
