team,name,fdb_pos,mod_pos,pgm3_pos,povr,rating,join_tier,pos_note
atlanta-falcons,Alfred Jackson,WR,WR,WR,79,71,team+name,
atlanta-falcons,Alfred Jenkins,WR,WR,WR,85,80,team+name,
atlanta-falcons,Billy Ryckman,WR,WR,WR,77,68,team+name,
atlanta-falcons,Bob Glazebrook,DB,SS,S,75,64,team+name,
atlanta-falcons,Brian Cabral,LB,MLB,MLB,70,61,team+name,
atlanta-falcons,Bubba Bean,RB,RB,RB,80,77,team+name,
atlanta-falcons,Dave Scott,OG,LG,OG,83,76,team+name,
atlanta-falcons,Dennis Pearson,WR,WR,WR,76,67,team+name,
atlanta-falcons,Dewey McClain,LB,LOLB,OLB,73,63,team+name,
atlanta-falcons,Don Smith,DT,RE,DE,76,62,team+name,
atlanta-falcons,Edgar Fields,DE,DT,DT,83,74,team+name,
atlanta-falcons,Frank Reed,DB,SS,S,85,77,team+name,
atlanta-falcons,Fulton Kuykendall,LB,LOLB,OLB,84,81,team+name,
atlanta-falcons,Greg Brezina,LB,ROLB,OLB,83,79,team+name,
atlanta-falcons,Haskel Stanback,RB,RB,RB,79,74,team+name,
atlanta-falcons,James Mayberry,RB,RB,RB,73,63,team+name,
atlanta-falcons,Jeff Merrow,DE,RE,DE,86,76,team+name,
atlanta-falcons,Jeff Van Note,C,C,C,93,88,team+name,
atlanta-falcons,Jeff Yeates,DE,LE,DE,88,83,team+name,
atlanta-falcons,Jerome King,DB,CB,CB,69,54,team+name,
atlanta-falcons,Jim Mitchell,TE,TE,TE,89,83,team+name,
atlanta-falcons,Joel Williams,LB,ROLB,OLB,61,52,team+name,
atlanta-falcons,John James,P,P,P,97,86,team+name,
atlanta-falcons,June Jones,QB,QB,QB,71,67,team+name,
atlanta-falcons,Lynn Cain,RB,RB,RB,79,74,team+name,
atlanta-falcons,Mike Kenn,OT,LT,OT,87,82,team+name,
atlanta-falcons,Mike Lewis,DT,DT,DT,83,74,team+name,
