key,name,registry_pos,archive_pos,registry_band,archive_band,n_sources,agreement,era_certain,files,registry_head,checked,verdict
laurent duvernay tardif|OG,laurent duvernay tardif,OG,G,dark,light,10,1.0,True,010. 017. 021.,Head4d,,
phil haynes|OG,phil haynes,OG,G,light,dark,10,1.0,True,017. 021.,Head2b,,
anthony walker|MLB,anthony walker,MLB,ILB,light,dark,9,1.0,True,013. 017. 021.,Head1a,,
ethan brooks|OT,ethan brooks,OT,T,dark,light,9,1.0,True,000. 004.,Head4d,,
tremaine edmunds|MLB,tremaine edmunds,MLB,ILB,light,dark,9,1.0,True,017. 021.,Head2a,,
tyler polumbus|OT,tyler polumbus,OT,T,dark,light,9,1.0,True,010. 013.,Head4b,,
eugene monroe|OT,eugene monroe,OT,T,light,dark,8,1.0,True,007. 010. 013.,Head3b,,
jalen thompson|S,jalen thompson,S,FS,light,dark,8,1.0,True,021.,Head2a,,
james daniels|OG,james daniels,OG,G,light,dark,8,1.0,True,021.,Head2b,,
jawaan taylor|OT,jawaan taylor,OT,T,light,dark,8,1.0,True,017. 021.,Head2b,,
jonah williams|OT,jonah williams,OT,T,dark,light,8,1.0,True,021.,Head4b,,
juan thornhill|S,juan thornhill,S,FS,light,dark,8,1.0,True,017. 021.,Head2a,,
mike mcglynn|OG,mike mcglynn,OG,G,dark,light,8,1.0,True,013.,Head4b,,
rashaan evans|MLB,rashaan evans,MLB,ILB,light,dark,8,1.0,True,017. 021.,Head2a,,
antoine winfield|S,antoine winfield,S,FS,light,dark,7,1.0,True,017. 021.,Head3a,,
bobby okereke|MLB,bobby okereke,MLB,ILB,light,dark,7,1.0,True,017. 021.,Head2a,,
brandon parker|OT,brandon parker,OT,T,light,dark,7,1.0,True,017. 021.,Head2b,,
cody ford|OG,cody ford,OG,G,light,dark,7,1.0,True,021.,Head2b,,
corey mcintyre|RB,corey mcintyre,RB,FB,light,dark,7,1.0,True,007. 010.,Head3c,,
donovan wilson|S,donovan wilson,S,SS,light,dark,7,1.0,True,017. 021.,Head2a,,
germaine pratt|MLB,germaine pratt,MLB,ILB,light,dark,7,1.0,True,017. 021.,Head2a,,
husain abdullah|S,husain abdullah,S,FS,light,dark,7,1.0,True,010. 013.,Head3a,,
isaiah wynn|OT,isaiah wynn,OT,T,light,dark,7,1.0,True,017. 021.,Head2b,,
jayon brown|MLB,jayon brown,MLB,ILB,light,dark,7,1.0,True,013. 017. 021.,Head2a,,
reggie gilliam|RB,reggie gilliam,RB,FB,light,dark,7,1.0,True,021.,Head2a,,
ronnie harrison|S,ronnie harrison,S,SS,light,dark,7,1.0,True,017. 021.,Head2a,,
siddeeq shabazz|S,siddeeq shabazz,S,SS,light,dark,7,1.0,True,000. 004.,Head1a,,
tanner vallejo|MLB,tanner vallejo,MLB,ILB,dark,light,7,1.0,True,021.,Head4a,,
trey pipkins|OT,trey pipkins,OT,T,light,dark,7,1.0,True,017. 021.,Head2b,,
tristan wirfs|OT,tristan wirfs,OT,T,light,dark,7,1.0,True,017. 021.,Head2b,,
alex armah|RB,alex armah,RB,FB,light,dark,6,1.0,True,013. 017. 021.,Head1a,,
amani hooker|S,amani hooker,S,SS,light,dark,6,1.0,True,017. 021.,Head2a,,
chris clemons|S,chris clemons,S,FS,light,dark,6,1.0,True,010. 013.,Head3a,,
chris horton|S,chris horton,S,SS,light,dark,6,1.0,True,004. 007. 010.,Head3a,,
chuma edoga|OT,chuma edoga,OT,T,light,dark,6,1.0,True,017. 021.,Head2b,,
darnell savage|S,darnell savage,S,FS,light,dark,6,1.0,True,017. 021.,Head2a,,
darrin smith|MLB,darrin smith,MLB,ILB,light,dark,6,1.0,True,004.,Head3c,,
david long|MLB,david long,MLB,ILB,light,dark,6,1.0,True,021.,Head2a,,
devin bush|MLB,devin bush,MLB,ILB,light,dark,6,1.0,True,017. 021.,Head3a,,
devin white|MLB,devin white,MLB,ILB,light,dark,6,1.0,True,017. 021.,Head2a,,
elijhaa penny|RB,elijhaa penny,RB,FB,light,dark,6,1.0,True,017. 021.,Head2a,,
jakob johnson|RB,jakob johnson,RB,FB,light,dark,6,1.0,True,021.,Head2a,,
james lynch|RB,james lynch,RB,FB,light,dark,6,1.0,True,004.,Head1b,,
jarrod baxter|RB,jarrod baxter,RB,FB,light,dark,6,1.0,True,000. 004.,Head3a,,
joe bachie|MLB,joe bachie,MLB,ILB,light,dark,6,1.0,True,021.,Head2a,,
justin reid|S,justin reid,S,FS,light,dark,6,1.0,True,017. 021.,Head2a,,
mike cox|RB,mike cox,RB,FB,dark,light,6,1.0,True,010.,Head4a,,
owen schmitt|RB,owen schmitt,RB,FB,dark,light,6,1.0,True,004. 007. 010.,Head4a,,
robert hunt|OG,robert hunt,OG,G,light,dark,6,1.0,True,000. 017. 021.,Head3b,,
antoine caldwell|OG,antoine caldwell,OG,G,light,dark,5,1.0,True,007. 010.,Head3b,,
barry richardson|OT,barry richardson,OT,T,light,dark,5,1.0,True,004. 007. 010. 013.,Head3b,,
calvin anderson|OT,calvin anderson,OT,T,light,dark,5,1.0,True,021.,Head2b,,
dennis daley|OG,dennis daley,OG,G,light,dark,5,1.0,True,021.,Head2b,,
foyesade oluokun|MLB,foyesade oluokun,MLB,ILB,light,dark,5,1.0,True,021.,Head3a,,
giovanni ricci|RB,giovanni ricci,RB,FB,dark,light,5,1.0,True,021.,Head4a,,
greg little|OT,greg little,OT,T,light,dark,5,1.0,True,017.,Head2a,,
joshua miles|OT,joshua miles,OT,T,light,dark,5,1.0,True,017. 021.,Head2b,,
julian love|S,julian love,S,SS,light,dark,5,1.0,True,021.,Head2a,,
kenny young|MLB,kenny young,MLB,ILB,light,dark,5,1.0,True,017. 021.,Head2a,,
khari blasingame|RB,khari blasingame,RB,FB,light,dark,5,1.0,True,021.,Head2a,,
korey cunningham|OT,korey cunningham,OT,T,light,dark,5,1.0,True,017.,Head2b,,
lucas niang|OT,lucas niang,OT,T,light,dark,5,1.0,True,017. 021.,Head2b,,
matt pryor|OT,matt pryor,OT,T,light,dark,5,1.0,True,017. 021.,Head2b,,
mike edwards|S,mike edwards,S,FS,light,dark,5,1.0,True,017. 021.,Head2a,,
nasir adderley|S,nasir adderley,S,FS,light,dark,5,1.0,True,017. 021.,Head2a,,
penei sewell|OT,penei sewell,OT,T,light,dark,5,1.0,True,017. 021.,Head2b,,
rashawn slater|OT,rashawn slater,OT,T,light,dark,5,1.0,True,017. 021.,Head2b,,
seth olsen|OG,seth olsen,OG,G,dark,light,5,1.0,True,007. 013.,Head4b,,
tyrel dodson|MLB,tyrel dodson,MLB,ILB,light,dark,5,1.0,True,021.,Head2a,,
tyrell crosby|OT,tyrell crosby,OT,T,light,dark,5,1.0,True,017.,Head2b,,
tytus howard|OG,tytus howard,OG,G,light,dark,5,1.0,True,021.,Head2b,,
zach banner|OT,zach banner,OT,T,light,dark,5,1.0,True,013. 017. 021.,Head2b,,
brad jones|MLB,brad jones,MLB,ILB,light,dark,4,1.0,True,013.,Head3a,,
brandon jones|S,brandon jones,S,SS,light,dark,4,1.0,True,017. 021.,Head3a,,
chris pressley|RB,chris pressley,RB,FB,light,dark,4,1.0,True,010. 013.,Head3a,,
cole strange|OG,cole strange,OG,G,dark,light,4,1.0,True,021.,Head4c,,
corey mays|MLB,corey mays,MLB,ILB,light,dark,4,1.0,True,010.,Head3a,,
darrell stuckey|S,darrell stuckey,S,FS,light,dark,4,1.0,True,007. 010. 013. 017.,Head3c,,
demetrius bell|OT,demetrius bell,OT,T,light,dark,4,1.0,True,010.,Head3b,,
dominique barber|S,dominique barber,S,SS,light,dark,4,1.0,True,004. 007. 010.,Head3a,,
edwin williams|OG,edwin williams,OG,G,light,dark,4,1.0,True,013.,Head3b,,
fernando velasco|OG,fernando velasco,OG,G,light,dark,4,1.0,True,010.,Head3b,,
frank summers|RB,frank summers,RB,FB,light,dark,4,1.0,True,007. 010. 013.,Head3a,,
gary guyton|MLB,gary guyton,MLB,ILB,light,dark,4,1.0,True,010.,Head3a,,
greg comella|RB,greg comella,RB,FB,dark,light,4,1.0,True,000. 004.,Head5a,,
herbert taylor|OT,herbert taylor,OT,T,light,dark,4,1.0,True,004. 007.,Head2b,,
isa abdul quddus|S,isa abdul quddus,S,FS,light,dark,4,1.0,True,013.,Head3a,,
isaiah simmons|S,isaiah simmons,S,SS,light,dark,4,1.0,True,017.,Head2a,,
jackson barton|OT,jackson barton,OT,T,light,dark,4,1.0,True,017. 021.,Head2b,,
jahlani tavai|MLB,jahlani tavai,MLB,ILB,light,dark,4,1.0,True,017. 021.,Head2a,,
jake curhan|OT,jake curhan,OT,T,light,dark,4,1.0,True,021.,Head1b,,
jameel mcclain|MLB,jameel mcclain,MLB,ILB,light,dark,4,1.0,True,010. 013.,Head3a,,
joe toledo|OT,joe toledo,OT,T,dark,light,4,1.0,True,004.,Head4b,,
kawika mitchell|MLB,kawika mitchell,MLB,ILB,light,dark,4,1.0,True,000. 004.,Head3a,,
khari willis|S,khari willis,S,SS,light,dark,4,1.0,True,017. 021.,Head2a,,
kyle devan|OG,kyle devan,OG,G,dark,light,4,1.0,True,010.,Head4b,,
lonnie johnson|S,lonnie johnson,S,SS,light,dark,4,1.0,True,021.,Head2a,,
mack wilson|MLB,mack wilson,MLB,ILB,light,dark,4,1.0,True,017.,Head2a,,
manuel ramirez|OG,manuel ramirez,OG,G,light,dark,4,1.0,True,004. 007.,Head1b,,
marcus epps|S,marcus epps,S,SS,light,dark,4,1.0,True,017. 021.,Head2a,,
nate herbig|OG,nate herbig,OG,G,light,dark,4,1.0,True,021.,Head2b,,
ryan durand|OG,ryan durand,OG,G,dark,light,4,1.0,True,007. 010. 013.,Head4b,,
ryan neal|S,ryan neal,S,SS,light,dark,4,1.0,True,021.,Head2a,,
shawn mayer|S,shawn mayer,S,FS,light,dark,4,1.0,True,004.,Head1a,,
