forename,surname,player_id,skin,band,ethnicity,features,head_id
Israel,Abanikanda,22741,6,dark,M,G,01
Ameer,Abdullah,2402,7,dark,BHM,MG,001
Yasir,Abdullah,22984,7,dark,B,N,013
Keith,Abney II,16233,5,dark,H,BD,02
Micah,Abraham,1116,7,dark,B,B,009
Kris,Abrams-Draine,14954,5,dark,B,BD,03
Devon,Achane,22692,7,dark,B,G,005
BJ,Adams,15315,7,dark,B,N,016
Davante,Adams,10823,7,dark,M,MG,025
Isaiah,Adams,14716,5,dark,H,BD,01
Jamal,Adams,12524,6,dark,M,N,02
Myles,Adams,21963,7,dark,H,G,009
Tony,Adams,22642,7,dark,B,N,013
Nasir,Adderley,20455,6,dark,BMH,G,010
Tucker,Addington,22680,1,light,B,G,01
Jordan,Addison,22693,7,dark,M,N,005
Adetomiwa,Adebawore,22928,7,dark,H,G,02
Paulson,Adebo,21445,7,dark,BMT,MG,002
Hakeem,Adeniji,21108,7,dark,H,G,004
Nate,Adkins,23348,2,light,BMH,S,003
Cal,Adomitis,22250,1,light,M,N,02
McTelvin,Agim,21118,7,dark,M,N,024
Mitchell,Agude,22966,6,dark,B,N,02
Joey,Aguilar,10190,3,abstain,H,S,001
Salvon,Ahmed,20930,6,dark,B,N,03
Brandon,Aiyuk,21069,7,dark,T,G,007
Austin,Ajiake,4742,5,dark,T,GM,003
Cam,Akers,20919,7,dark,BMH,MG,020
Tommy,Akingbesote,15233,7,dark,T,G,007
Darius,Alexander,15214,7,dark,H,G,009
Maurice,Alexander,22662,7,dark,M,N,001
Dee,Alford,22628,7,dark,BMH,MG,001
Rasheen,Ali,14638,6,dark,B,N,0010
Mo,Alie-Cox,13872,7,dark,M,N,024
Drew,Allar,16211,2,light,B,N,0017
Nick,Allegretti,20724,2,light,BMH,S,010
Braelon,Allen,14631,4,dark,B,N,004
Brandon,Allen,17606,2,light,H,B,010
CJ,Allen,16172,6,dark,B,G,03
Cyrus,Allen,16325,5,dark,H,BD,02
Davis,Allen,22840,2,light,T,N,02
Jonathan,Allen,12521,7,dark,BMH,MG,001
Josh,Allen,13197,2,light,M,S,011
Kaytron,Allen,16213,6,dark,B,G,03
Keenan,Allen,505,5,dark,M,B,001
Kyle,Allen,13691,2,light,B,B,004
Marcus,Allen,16358,7,dark,BMH,MG,001
Zach,Allen,20419,2,light,BMH,S,002
Tyler,Allgeier,22315,4,dark,B,N,005
Azeez,Al-Shaair,20688,7,dark,BMH,GS,005
Joe,Alt,14694,6,dark,B,N,006
Luke,Altmyer,16295,2,light,B,B,005
Ugochukwu,Amadi,20623,7,dark,B,G,009
Kiran,Amegadjie,1071,7,dark,H,N,006
Trey,Amos,15287,7,dark,M,B,01
