team,jersey,name,pos,games,age,college,mover,also,resolved
atlanta-falcons,85,Alfred Jackson,WR,12,24,Texas,,,
atlanta-falcons,84,Alfred Jenkins,WR,16,27,Morris Brown,,,
atlanta-falcons,82,Billy Ryckman,WR,14,24,Louisiana Tech,,,
atlanta-falcons,36,Bob Glazebrook,DB,13,23,Fresno State,,,
atlanta-falcons,51,Brian Cabral,LB,3,23,Colorado,,,
atlanta-falcons,44,Bubba Bean,RB,11,25,Texas A&M,,,
atlanta-falcons,70,Dave Scott,OG,16,25,Kansas,,,
atlanta-falcons,81,Dennis Pearson,WR,16,24,San Diego State,,,
atlanta-falcons,52,Dewey McClain,LB,15,25,East Central (OK),,,
atlanta-falcons,65,Don Smith,DT,16,22,Miami,,,
atlanta-falcons,77,Edgar Fields,DE,16,25,Texas A&M,,,
atlanta-falcons,28,Frank Reed,DB,11,25,Washington,,,
atlanta-falcons,54,Fulton Kuykendall,LB,16,26,UCLA,,,
atlanta-falcons,50,Greg Brezina,LB,16,33,Houston,,,
atlanta-falcons,24,Haskel Stanback,RB,13,27,Tennessee,,,
atlanta-falcons,39,James Mayberry,RB,16,21,Colorado,,,
atlanta-falcons,75,Jeff Merrow,DE,3,26,West Virginia,,,
atlanta-falcons,57,Jeff Van Note,C,16,33,Kentucky,,,
atlanta-falcons,79,Jeff Yeates,DE,16,28,Boston College,,,
atlanta-falcons,--,Jerome King,DB,1,24,Purdue,,,
atlanta-falcons,86,Jim Mitchell,TE,16,32,Prairie View A&M,,,
atlanta-falcons,54,Joel Williams,LB,16,22,Wisconsin-LaCrosse,,,
atlanta-falcons,6,John James,P,16,30,Florida,,,
atlanta-falcons,14,June Jones,QB,5,26,Portland State,,,
atlanta-falcons,21,Lynn Cain,RB,10,24,Southern California,,,
atlanta-falcons,78,Mike Kenn,OT,16,23,Michigan,,,
atlanta-falcons,69,Mike Lewis,DT,13,30,Arkansas-Pine Bluff,,,
atlanta-falcons,15,Mike Moroski,QB,2,22,California-Davis,,,
atlanta-falcons,63,Mike Zele,DT,13,23,Kent State,,,
atlanta-falcons,64,Pat Howell,OG,15,22,Southern California,,,
atlanta-falcons,53,Paul Ryczek,C,16,27,Virginia,,,
atlanta-falcons,73,Phil McKinnely,OT,15,25,UCLA,,,
atlanta-falcons,68,R.C. Thielemann,OG,11,24,Arkansas,,,
atlanta-falcons,32,Ray Easterling,DB,16,30,Richmond,,,
atlanta-falcons,25,Ray Strong,RB,6,23,Nevada-Las Vegas,,,
atlanta-falcons,38,Rick Byas,DB,16,29,Wayne State (MI),,,
atlanta-falcons,59,Robert Pennywell,LB,16,24,Grambling,,,
atlanta-falcons,22,Rolland Lawrence,DB,16,28,Tabor,,,
atlanta-falcons,56,Ronnie McCartney,LB,16,25,Tennessee,,,
atlanta-falcons,87,Russ Mikeska,TE,16,24,Texas A&M,,,
atlanta-falcons,10,Steve Bartkowski,QB,14,26,California,,,
atlanta-falcons,4,Tim Mazzetti,K,16,23,Pennsylvania,,,
atlanta-falcons,45,Tom Moriarty,DB,16,26,Bowling Green,,,
atlanta-falcons,27,Tom Pridemore,DB,16,23,West Virginia,,,
atlanta-falcons,55,Tony Daykin,LB,11,24,Georgia Tech,,,
atlanta-falcons,89,Wally Francis,WR,16,27,Arkansas-Pine Bluff,,,
atlanta-falcons,66,Warren Bryant,OT,16,23,Kentucky,,,
atlanta-falcons,31,William Andrews,RB,15,23,Auburn,,,
atlanta-falcons,74,Wilson Faumuina,DT,14,25,San Jose State,,,
baltimore-colts,55,Barry Krauss,LB,15,22,Alabama,,,
baltimore-colts,29,Ben Garry,RB,11,23,Southern Mississippi,,,
baltimore-colts,7,Bert Jones,QB,4,28,Louisiana State,,,
baltimore-colts,61,Bob Pratt,OG,16,28,North Carolina,,,
baltimore-colts,67,Bob Van Duyne,OG,16,27,Idaho,,,
baltimore-colts,87,Brian DeRoo,WR,16,23,Redlands,,,
baltimore-colts,40,Bruce Laird,DB,15,29,American International,,,
baltimore-colts,10,Bucky Dilts,P,16,25,Georgia,,,
baltimore-colts,64,David Taylor,OT,3,30,Catawba,,,
baltimore-colts,36,Don Hardeman,RB,13,27,Texas A&M-Kingsville,,,
baltimore-colts,23,Don McCauley,RB,15,30,North Carolina,,,
baltimore-colts,30,Doug Nettles,DB,15,28,Vanderbilt,,,
baltimore-colts,28,Dwight Harrison,DB,7,31,Texas A&M-Kingsville,,,
baltimore-colts,56,Ed Simonini,LB,13,25,Texas A&M,,,
baltimore-colts,72,Fred Cook,DE,16,27,Southern Mississippi,,,
baltimore-colts,35,Glenn Doughty,WR,15,32,Michigan,,,
baltimore-colts,79,Greg Fields,DE,16,24,Grambling,,,
baltimore-colts,11,Greg Landry,QB,16,32,Massachusetts,,,
baltimore-colts,88,Herb Orvis,DE,16,33,Colorado,,,
baltimore-colts,68,Jeff Hart,OT,16,26,Oregon State,,,
baltimore-colts,12,Jerry Golsteyn,QB,2,25,Northern Illinois,yes,detroit-lions:1,"HAND: started the season in Baltimore; 1 game each, no 2K5 record, no rule reaches it"
baltimore-colts,90,Jim Krahl,DT,1,25,Texas Tech,,,
baltimore-colts,76,Joe Ehrmann,DT,15,30,Syracuse,,,
baltimore-colts,20,Joe Washington,RB,15,26,Oklahoma,,,
baltimore-colts,62,Ken Huff,OG,14,26,North Carolina,,,
baltimore-colts,57,Ken Mendenhall,C,16,31,Oklahoma,,,
baltimore-colts,47,Larry Braziel,DB,16,25,Southern California,,,
baltimore-colts,52,Lee Gross,C,16,26,Auburn,,,
baltimore-colts,44,Lyle Blackwood,DB,16,28,Texas Christian,,,
baltimore-colts,83,Mack Alston,TE,14,32,Maryland Eastern Shore,,,
baltimore-colts,63,Mike Barnes,DT,14,28,Miami,,,
baltimore-colts,51,Mike Ozdowski,DE,11,24,Virginia,,,
baltimore-colts,45,Mike Siani,WR,10,29,Villanova,,,
baltimore-colts,59,Mike Woods,LB,16,25,Cincinnati,,,
baltimore-colts,25,Nesby Glasgow,DB,16,22,Washington,,,
baltimore-colts,43,Norm Thompson,DB,12,34,Utah,,,
baltimore-colts,84,Randy Burke,WR,16,24,Kentucky,,,
baltimore-colts,86,Reese McCall,TE,14,23,Auburn,,,
baltimore-colts,37,Reggie Pinkney,DB,16,24,East Carolina,,,
baltimore-colts,81,Roger Carr,WR,9,27,Louisiana Tech,,,
baltimore-colts,60,Ron Baker,OG,16,24,Oklahoma State,,,
baltimore-colts,73,Ron Fernandes,DE,13,28,Eastern Michigan,,,
baltimore-colts,48,Roosevelt Leaks,RB,7,26,Texas,,,
baltimore-colts,54,Sanders Shiver,LB,16,25,Carson-Newman,,,
baltimore-colts,53,Stan White,LB,16,30,Ohio State,,,
baltimore-colts,5,Steve Mike-Mayer,K,13,32,Maryland,,,
baltimore-colts,58,Steve Zabel,LB,15,31,Oklahoma,,,
baltimore-colts,69,Wade Griffin,OT,16,25,Mississippi,,,
buffalo-bills,77,Ben Williams,DE,16,25,Mississippi,,,
