team,head_coach,born,w1979,l1979,t1979,wiki_off_coord,wiki_def_coord,wiki_special_teams,wiki_personnel
ATL,Leeman Bennett,1938,6,10,0,,Jerry Glanville,,Tom Braatz
BAL,Ted Marchibroda,1931,5,11,0,,Maxie Baughan,George Boutselis,
BUF,Chuck Knox,1932,7,9,0,,,,
CHI,Neill Armstrong,1926,10,6,0,,,,
CIN,Homer Rice,1927,4,12,0,,Howard Brinker,Frank Gansz,Pete Brown
CLE,Sam Rutigliano,1931,9,7,0,,Marty Schottenheimer,Al Tabor & John Petercuskie,
DAL,Tom Landry,1924,11,5,0,,,,
DEN,Red Miller,1927,10,6,0,,Joe Collier,Marv Braden,Carroll Hardy
DET,Monte Clark,1937,2,14,0,,,,
GB,Bart Starr,1934,5,11,0,,Dave Hanner,Dick Rehbein,Dick Corrick
HOU,Bum Phillips,1923,11,5,0,,Ed Biles,John Paul Young,Joe Woolley
KC,Marv Levy,1925,7,9,0,,,,
LA,Ray Malavasi,1930,9,7,0,Lionel Taylor,Bud Carson,Paul Lanham,John Math
MIA,Don Shula,1930,10,6,0,,,"Steve Crosby, Carl Taseff",Chuck Connor
MIN,Bud Grant,1927,7,9,0,,,,
NE,Ron Erhardt,1931,9,7,0,,,,
NO,Dick Nolan,1932,8,8,0,Ed Hughes,Paul Wiggin,Whitey Campbell,
NYG,Ray Perkins,1941,6,10,0,,Ralph Hawkins,Bill Belichick,Jim Trimble
NYJ,Walt Michaels,1929,8,8,0,,,,
OAK,Tom Flores,1937,9,7,0,,,Myrel Moore,
PHI,Dick Vermeil,1936,11,5,0,,Marion Campbell,"Lynn Stiles, Ken Iman",
PIT,Chuck Noll,1932,12,4,0,,,,
SD,Don Coryell,1924,12,4,0,,,,
SEA,Jack Patera,1933,9,7,0,,,Rusty Tillman,Dick Mansperger
SF,Bill Walsh,1931,2,14,0,,Chuck Studley,Dennis Green,John McVay
STL,Bud Wilkinson,1916,5,11,0,,,,
TB,John McKay,1923,10,6,0,,,,
WAS,Jack Pardee,1936,10,6,0,Joe Walton,Doc Urich,John Hilton,Mike Allman
