name,miss,detail,files,ages,roles
frank gansz,49,1979 aged 61 vs 2007 aged 40,1979;1986;2000;2004;2007,1979:61;1986:48;2000:62;2004:40;2007:40,1979:Special Teams;1986:Special Teams;2000:Special Teams;2004:Special Teams;2007:Special Teams
jerry mitchell,49,1979 aged 64 vs 2004 aged 40,1979;2004,1979:64;2004:40,1979:Head Scout;2004:Head Physio
george allen,42,1979 aged 61 vs 2004 aged 44,1979;2004,1979:61;2004:44,1979:Head Coach;2004:Def Co-ord
hal hunter,38,1986 aged 54 vs 2010 aged 40,1986;2010,1986:54;2010:40,1986:Head Coach;2010:Off Scout
joe brady,38,2013 aged 62 vs 2021 aged 32,2013;2021;2026,2013:62;2021:32;2026:37,2013:Head Scout;2021:Off Co-ord;2026:Head Coach
rusty tillman,31,1979 aged 64 vs 1986 aged 40,1979;1986;2004,1979:64;1986:40;2004:58,1979:Special Teams;1986:Special Teams;2004:Special Teams
pete carmichael,30,2000 aged 59 vs 2013 aged 42,2000;2010;2013;2017;2021;2026,2000:59;2010:69;2013:42;2017:76;2021:80;2026:85,2000:Off Co-ord;2010:Off Co-ord;2013:Off Co-ord;2017:Off Co-ord;2021:Off Co-ord;2026:Off Co-ord
jim mora,27,2000 aged 65 vs 2010 aged 48,1986;2000;2004;2007;2010,1986:25;2000:65;2000:39;2004:43;2007:72;2010:48,1986:Head Coach;2000:Head Coach;2000:Def Co-ord;2004:Head Coach;2007:Head Coach;2010:Head Coach
steve spagnuolo,26,2010 aged 61 vs 2026 aged 51,2007;2010;2017;2021;2026,2007:48;2010:61;2017:56;2021:62;2026:51,2007:Def Co-ord;2010:Head Coach;2017:Def Co-ord;2021:Def Co-ord;2026:Def Co-ord
marcus brady,26,2013 aged 60 vs 2021 aged 42,2013;2021,2013:60;2021:42,2013:Def Co-ord;2021:Off Co-ord
clarence shelmon,25,2007 aged 55 vs 2010 aged 33,2007;2010,2007:55;2010:33,2007:Off Co-ord;2010:Off Co-ord
richard hightower,25,2017 aged 62 vs 2026 aged 46,2017;2021;2026,2017:62;2021:52;2026:46,2017:Special Teams;2021:Special Teams;2026:Special Teams
ted marchibroda,24,1979 aged 48 vs 2004 aged 49,1979;1986;2004,1979:48;1986:41;2004:49,1979:Head Coach;1986:Off Co-ord;2004:Head Coach
