name,statscrew_id,born
Al Tabor,,
Bart Starr,starrbar001,"January 9, 1934"
Bill Arnsparger,,
Bill Belichick,,
Bill Nelsen,nelsebil001,"January 29, 1941"
Bill Walsh,walshbil001,"September 8, 1927"
Bob Hollway,,
Bob Schnelker,schnebob001,"October 17, 1928"
Bobb McKittrick,,
Bobby Ross,,
Bud Carson,,
Bud Grant,grantbud001,"May 20, 1927"
Bud Wilkinson,,
Buddy Ryan,,
Bum Phillips,,
Carroll Hardy,hardycar001,"May 18, 1933"
Charlie Sumner,sumnecha001,"October 19, 1930"
Chuck Connor,,
Chuck Knox,,
Chuck Noll,nollchu001,"January 5, 1932"
Chuck Studley,,
Chuck Weber,weberchu001,"March 25, 1930"
Dan Reeves,reevedan001,"January 19, 1944"
Dave Hanner,hannedav001,"May 22, 1930"
Dennis Green,,
Dick Bielski,bielsdic001,"September 7, 1932"
Dick Corrick,,
Dick Mansperger,,
Dick Nolan,nolandic001,"March 26, 1932"
Dick Rehbein,,
Dick Vermeil,,
Doc Urich,,
Don Coryell,,
Don Shula,shuladon001,"January 4, 1930"
Ed Biles,,
Ed Hughes,hugheed001,"October 23, 1927"
Elijah Pitts,pittseli001,"February 3, 1938"
Ernie Adams,,
Ernie Stautner,stautern001,"April 20, 1925"
Frank Gansz,,
George Allen,allengeo002,"April 4, 1944"
George Boutselis,,
George Perles,,
Gino Cappelletti,cappegin001,"March 26, 1934"
Hank Bullough,bullohan001,"January 24, 1934"
Hank Kuhlmann,,
Harry Gilmer,gilmehar001,"April 14, 1926"
Homer Rice,,
Howard Brinker,,
Howard Mudd,muddhow001,"February 10, 1942"
Jack Christiansen,chrisjac001,"December 20, 1928"
Jack Pardee,pardejac001,"April 19, 1936"
Jack Patera,paterjac001,"August 1, 1933"
Jacki Simpson,simpsjac002,"August 20, 1936"
Jerry Burns,,
Jerry Glanville,,
Jerry Thompson,,
Jim Ringo,ringojim001,"November 21, 1931"
Jim Shofner,shofnjim001,"December 18, 1935"
Jim Trimble,,
Joe Collier,,
Joe Gibbs,,
Joe Haering,,
Joe Spencer,spencjoe001,"August 15, 1923"
Joe Walton,waltojoe001,"December 15, 1935"
Joe Woolley,,
John Hilton,hiltojoh001,"March 12, 1942"
John Idzik,,
John Madden,,
John Math,,
John McKay,mckayjoh002,"March 28, 1953"
John McVay,,
John North,northjoh001,"June 17, 1921"
John Paul Young,,
John Sandusky,sandujoh001,"December 28, 1925"
Johnny Mazur,mazurjoh001,"June 17, 1930"
Ken Meyer,,
King Hill,hillkin001,"November 8, 1936"
Larry Pasquale,,
Leeman Bennett,,
Lew Carpenter,carpelew001,"January 12, 1932"
Lionel Taylor,taylolio001,"August 15, 1935"
Lynn Stiles,,
Marion Campbell,,
Marty Schottenheimer,schotmar001,"September 23, 1943"
Marv Braden,,
Marv Levy,,
Maxie Baughan,baughmax001,"August 3, 1938"
Mike Allman,,
Mike Ditka,ditkamik001,"October 18, 1939"
Mike McCormack,mccormik001,"June 21, 1930"
Monte Clark,clarkmon001,"January 24, 1937"
Myrel Moore,,
Neill Armstrong,,
Ollie Spencer,spencoll001,"April 17, 1931"
Pat Dye,dyepat001,"November 6, 1939"
Paul Lanham,,
Paul Wiggin,wiggipau001,"November 18, 1934"
Pete Brown,brownpet001,"December 19, 1930"
Phil Krueger,,
Ralph Hawkins,,
Ray Malavasi,,
Ray Perkins,perkiray001,"December 6, 1941"
Ray Prochaska,prochray001,"August 9, 1919"
Red Miller,,
Rod Rust,,
Rollie Dotsch,,
Ron Erhardt,,
Rusty Tillman,tillmrus001,"February 27, 1946"
Sam Rutigliano,,
Sid Gillman,,
Steve Crosby,crosbste001,"July 3, 1950"
Ted Marchibroda,marchted001,"March 15, 1931"
Tom Bass,,
Tom Bettis,bettitom001,"March 17, 1933"
Tom Braatz,braattom001,"May 12, 1933"
Tom Catlin,catlitom001,"September 8, 1931"
Tom Flores,floretom001,"March 21, 1937"
Tom Keane,keanetom001,"September 7, 1926"
Tom Landry,landrtom001,"September 11, 1924"
Walt Michaels,michawal001,"October 16, 1929"
Wayne Sevier,,
Whitey Campbell,,
Whitey Dovell,,
